DATE,GDPC1,PCECC96,GPDIC1,PCECTPI
1947-01-01,1934.471,1199.413,222.679,13.04
1947-04-01,1932.281,1219.329,205.623,13.145
1947-07-01,1930.315,1223.266,199.573,13.39
1947-10-01,1960.705,1223.649,238.192,13.723
1948-01-01,1989.535,1229.757,262.632,13.875
1948-04-01,2021.851,1244.06,278.885,14.018
1948-07-01,2033.155,1245.894,281.741,14.233
1948-10-01,2035.329,1255.835,268.267,14.188
1949-01-01,2007.522,1257.87,228.041,14.076
1949-04-01,2000.788,1277.136,197.725,13.99
1949-07-01,2022.798,1280.03,214.117,13.91
1949-10-01,2004.653,1298.778,203.585,13.899
1950-01-01,2084.559,1320.391,251.917,13.876
1950-04-01,2147.592,1342.114,278.877,13.943
1950-07-01,2230.362,1410.954,302.85,14.235
1950-10-01,2273.435,1368.416,341.332,14.488
1951-01-01,2304.542,1401.484,306.454,14.949
1951-04-01,2344.517,1361.885,313.558,15.068
1951-07-01,2392.808,1377.727,290.47,15.088
1951-10-01,2398.105,1385.761,267.326,15.288
1952-01-01,2423.457,1388.853,274.301,15.353
1952-04-01,2428.516,1416.125,253.621,15.35
1952-07-01,2446.081,1423.01,267.217,15.451
1952-10-01,2526.359,1473.263,286.467,15.477
1953-01-01,2573.372,1490.814,292.632,15.536
1953-04-01,2593.456,1499.827,294.299,15.56
1953-07-01,2578.922,1496.32,288.145,15.644
1953-10-01,2539.786,1486.391,267.328,15.713
1954-01-01,2528.043,1491.828,265.414,15.792
1954-04-01,2530.689,1511.285,264.787,15.77
1954-07-01,2559.397,1531.792,277.56,15.718
1954-10-01,2609.272,1563.95,289.723,15.703
1955-01-01,2683.766,1599.061,318.651,15.755
1955-04-01,2727.452,1629.682,337.941,15.771
1955-07-01,2764.128,1649.807,343.122,15.834
1955-10-01,2780.762,1670.505,351.08,15.878
1956-01-01,2770.032,1673.234,341.063,15.943
1956-04-01,2792.872,1678.808,338.385,16.051
1956-07-01,2790.588,1682.6,335.358,16.208
1956-10-01,2836.238,1705.751,332.248,16.303
1957-01-01,2854.517,1717.525,327.088,16.45
1957-04-01,2848.186,1720.527,326.755,16.554
1957-07-01,2875.927,1734.116,334.246,16.687
1957-10-01,2846.446,1734.863,308.547,16.773
1958-01-01,2772.654,1711.05,287.7,16.979
1958-04-01,2790.948,1725.12,281.906,17.009
1958-07-01,2855.472,1753.536,303.543,17.023
1958-10-01,2922.264,1777.092,329.424,17.018
1959-01-01,2976.629,1809.422,347.373,17.137
1959-04-01,3049.011,1837.338,374.394,17.204
1959-07-01,3043.139,1856.508,350.215,17.307
1959-10-01,3055.104,1858.602,361.612,17.401
1960-01-01,3123.162,1876.347,397.964,17.424
1960-04-01,3111.31,1900.059,360.873,17.516
1960-07-01,3119.057,1892.452,359.955,17.583
1960-10-01,3081.3,1894.944,320.079,17.661
1961-01-01,3102.251,1894.409,328.386,17.694
1961-04-01,3159.918,1922.639,351.395,17.692
1961-07-01,3212.606,1931.998,378.713,17.757
1961-10-01,3277.717,1970.746,384.98,17.777
1962-01-01,3336.753,1991.679,405.737,17.856
1962-04-01,3372.706,2016.143,402.536,17.918
1962-07-01,3404.833,2032.474,409.376,17.965
1962-10-01,3418.046,2061.298,397.4,18.018
1963-01-01,3456.08,2075.231,418.307,18.069
1963-04-01,3501.134,2095.103,424.962,18.095
1963-07-01,3569.479,2123.67,438.047,18.181
1963-10-01,3594.954,2141.367,443.366,18.249
1964-01-01,3672.708,2183.579,459.958,18.336
1964-04-01,3716.382,2221.988,458.301,18.378
1964-07-01,3766.862,2262.827,468.997,18.44
1964-10-01,3780.219,2269.204,473.452,18.503
1965-01-01,3873.452,2319.788,518.593,18.562
1965-04-01,3926.406,2345.506,519.955,18.655
1965-07-01,4006.152,2385.882,538.059,18.725
