DATE,GDPCTPI
1947-01-01,12.607
1947-04-01,12.779
1947-07-01,12.979
1947-10-01,13.246
1948-01-01,13.395
1948-04-01,13.552
1948-07-01,13.788
1948-10-01,13.782
1949-01-01,13.738
1949-04-01,13.652
1949-07-01,13.547
1949-10-01,13.551
1950-01-01,13.506
1950-04-01,13.564
1950-07-01,13.847
1950-10-01,14.067
1951-01-01,14.539
1951-04-01,14.623
1951-07-01,14.671
1951-10-01,14.865
1952-01-01,14.883
1952-04-01,14.941
1952-07-01,15.053
1952-10-01,15.107
1953-01-01,15.124
1953-04-01,15.158
1953-07-01,15.215
1953-10-01,15.262
1954-01-01,15.326
1954-04-01,15.355
1954-07-01,15.341
1954-10-01,15.363
1955-01-01,15.422
1955-04-01,15.509
1955-07-01,15.616
1955-10-01,15.719
1956-01-01,15.875
1956-04-01,16.025
1956-07-01,16.201
1956-10-01,16.303
1957-01-01,16.487
1957-04-01,16.604
1957-07-01,16.733
1957-10-01,16.830
1958-01-01,16.970
1958-04-01,17.042
1958-07-01,17.083
1958-10-01,17.104
1959-01-01,17.189
1959-04-01,17.237
1959-07-01,17.308
1959-10-01,17.375
1960-01-01,17.410
1960-04-01,17.473
1960-07-01,17.552
1960-10-01,17.631
1961-01-01,17.651
1961-04-01,17.688
1961-07-01,17.727
1961-10-01,17.769
1962-01-01,17.859
1962-04-01,17.908
1962-07-01,17.950
1962-10-01,17.992
1963-01-01,18.080
1963-04-01,18.094
1963-07-01,18.112
1963-10-01,18.231
1964-01-01,18.300
1964-04-01,18.355
1964-07-01,18.447
1964-10-01,18.526
1965-01-01,18.606
1965-04-01,18.692
1965-07-01,18.778
1965-10-01,18.900
1966-01-01,19.016
1966-04-01,19.189
1966-07-01,19.359
1966-10-01,19.518
1967-01-01,19.600
1967-04-01,19.717
1967-07-01,19.894
1967-10-01,20.112
1968-01-01,20.332
1968-04-01,20.559
1968-07-01,20.757
1968-10-01,21.047
1969-01-01,21.259
1969-04-01,21.540
1969-07-01,21.847
1969-10-01,22.120
1970-01-01,22.425
1970-04-01,22.749
1970-07-01,22.935
1970-10-01,23.234
1971-01-01,23.589
1971-04-01,23.905
1971-07-01,24.146
1971-10-01,24.345
1972-01-01,24.742
1972-04-01,24.891
1972-07-01,25.111
1972-10-01,25.394
1973-01-01,25.720
1973-04-01,26.142
1973-07-01,26.631
1973-10-01,27.092
1974-01-01,27.644
1974-04-01,28.262
1974-07-01,29.124
1974-10-01,30.008
1975-01-01,30.686
1975-04-01,31.134
1975-07-01,31.688
1975-10-01,32.216
1976-01-01,32.563
1976-04-01,32.889
1976-07-01,33.309
1976-10-01,33.868
1977-01-01,34.411
1977-04-01,34.952
1977-07-01,35.437
1977-10-01,36.034
1978-01-01,36.637
1978-04-01,37.338
1978-07-01,37.987
1978-10-01,38.759
1979-01-01,39.470
1979-04-01,40.411
1979-07-01,41.235
1979-10-01,42.044
1980-01-01,42.955
1980-04-01,43.895
1980-07-01,44.903
1980-10-01,46.165
1981-01-01,47.358
1981-04-01,48.197
1981-07-01,49.096
1981-10-01,49.980
1982-01-01,50.652
1982-04-01,51.278
1982-07-01,52.001
1982-10-01,52.566
1983-01-01,53.013
1983-04-01,53.371
1983-07-01,53.929
1983-10-01,54.320
1984-01-01,54.885
1984-04-01,55.370
1984-07-01,55.827
1984-10-01,56.174
1985-01-01,56.839
1985-04-01,57.161
1985-07-01,57.528
1985-10-01,57.837
1986-01-01,58.118
1986-04-01,58.334
1986-07-01,58.606
1986-10-01,58.960
1987-01-01,59.306
1987-04-01,59.694
1987-07-01,60.135
1987-10-01,60.605
1988-01-01,61.075
1988-04-01,61.681
1988-07-01,62.426
1988-10-01,62.961
1989-01-01,63.602
1989-04-01,64.271
1989-07-01,64.744
1989-10-01,65.174
1990-01-01,65.901
1990-04-01,66.580
1990-07-01,67.180
1990-10-01,67.702
1991-01-01,68.373
1991-04-01,68.832
1991-07-01,69.328
1991-10-01,69.694
1992-01-01,70.014
1992-04-01,70.457
1992-07-01,70.785
1992-10-01,71.275
1993-01-01,71.704
1993-04-01,72.136
1993-07-01,72.504
1993-10-01,72.913
1994-01-01,73.291
1994-04-01,73.652
1994-07-01,74.021
1994-10-01,74.440
1995-01-01,74.890
1995-04-01,75.226
1995-07-01,75.548
