DATE,INDPRO
1919-01-01,5.0346
1919-02-01,4.8121
1919-03-01,4.6730
1919-04-01,4.7565
1919-05-01,4.7843
1919-06-01,5.0902
1919-07-01,5.3962
1919-08-01,5.4797
1919-09-01,5.3684
1919-10-01,5.3128
1919-11-01,5.2293
1919-12-01,5.3128
1920-01-01,5.8134
1920-02-01,5.8134
1920-03-01,5.7022
1920-04-01,5.3962
1920-05-01,5.5353
1920-06-01,5.5909
1920-07-01,5.4518
1920-08-01,5.4797
1920-09-01,5.2849
1920-10-01,5.0624
1920-11-01,4.6452
1920-12-01,4.3670
1921-01-01,4.1167
1921-02-01,4.0332
1921-03-01,3.9220
1921-04-01,3.9220
1921-05-01,4.0332
1921-06-01,4.0054
1921-07-01,3.9776
1921-08-01,4.1167
1921-09-01,4.1445
1921-10-01,4.3948
1921-11-01,4.3392
1921-12-01,4.3114
1922-01-01,4.4783
1922-02-01,4.6730
1922-03-01,4.9233
1922-04-01,4.7564
1922-05-01,5.0068
1922-06-01,5.2571
1922-07-01,5.2571
1922-08-01,5.1459
1922-09-01,5.4240
1922-10-01,5.7300
1922-11-01,5.9803
1922-12-01,6.1472
1923-01-01,6.0081
1923-02-01,6.0916
1923-03-01,6.2863
1923-04-01,6.4254
1923-05-01,6.5088
1923-06-01,6.4532
1923-07-01,6.3976
1923-08-01,6.2863
1923-09-01,6.1472
1923-10-01,6.1194
1923-11-01,6.1194
1923-12-01,5.9803
1924-01-01,6.1194
1924-02-01,6.2307
1924-03-01,6.1194
1924-04-01,5.9247
1924-05-01,5.6744
1924-06-01,5.4240
1924-07-01,5.3406
1924-08-01,5.5353
1924-09-01,5.7300
1924-10-01,5.8691
1924-11-01,5.9803
1924-12-01,6.1472
1925-01-01,6.3419
1925-02-01,6.3419
1925-03-01,6.3419
1925-04-01,6.3976
1925-05-01,6.3698
1925-06-01,6.3141
1925-07-01,6.4810
1925-08-01,6.3698
1925-09-01,6.2863
1925-10-01,6.5366
1925-11-01,6.6757
1925-12-01,6.7592
1926-01-01,6.6479
1926-02-01,6.6479
1926-03-01,6.7314
1926-04-01,6.7314
1926-05-01,6.6757
1926-06-01,6.7592
1926-07-01,6.7870
1926-08-01,6.8704
1926-09-01,6.9817
1926-10-01,6.9817
1926-11-01,6.9539
1926-12-01,6.9261
1927-01-01,6.8982
1927-02-01,6.9539
1927-03-01,7.0373
1927-04-01,6.8704
1927-05-01,6.9261
1927-06-01,6.8982
1927-07-01,6.8148
1927-08-01,6.8148
1927-09-01,6.7035
1927-10-01,6.5645
1927-11-01,6.5645
1927-12-01,6.5923
1928-01-01,6.7313
1928-02-01,6.7870
1928-03-01,6.8426
1928-04-01,6.8148
1928-05-01,6.8982
1928-06-01,6.9539
1928-07-01,7.0373
1928-08-01,7.1764
1928-09-01,7.2320
1928-10-01,7.3711
1928-11-01,7.5102
1928-12-01,7.6493
1929-01-01,7.7605
1929-02-01,7.7327
1929-03-01,7.7605
1929-04-01,7.8996
1929-05-01,8.0387
1929-06-01,8.0943
1929-07-01,8.2056
1929-08-01,8.1221
1929-09-01,8.0665
1929-10-01,7.9274
1929-11-01,7.5380
1929-12-01,7.2042
1930-01-01,7.2042
1930-02-01,7.1764
1930-03-01,7.0651
1930-04-01,7.0095
1930-05-01,6.8982
1930-06-01,6.7035
1930-07-01,6.3976
1930-08-01,6.2585
1930-09-01,6.1472
1930-10-01,5.9803
1930-11-01,5.8413
1930-12-01,5.7022
1931-01-01,5.6744
1931-02-01,5.7022
1931-03-01,5.8134
1931-04-01,5.8413
1931-05-01,5.7578
1931-06-01,5.6187
1931-07-01,5.5353
1931-08-01,5.3406
1931-09-01,5.0902
1931-10-01,4.8955
1931-11-01,4.8399
1931-12-01,4.8121
1932-01-01,4.6730
1932-02-01,4.5617
1932-03-01,4.5061
1932-04-01,4.2001
1932-05-01,4.0611
1932-06-01,3.9220
1932-07-01,3.8107
1932-08-01,3.9220
1932-09-01,4.1723
1932-10-01,4.3114
1932-11-01,4.3114
1932-12-01,4.2280
1933-01-01,4.1445
1933-02-01,4.1723
1933-03-01,3.9220
1933-04-01,4.2001
1933-05-01,4.8955
1933-06-01,5.6466
1933-07-01,6.1750
1933-08-01,5.9247
1933-09-01,5.5909
1933-10-01,5.3128
1933-11-01,5.0068
1933-12-01,5.0346
1934-01-01,5.2015
1934-02-01,5.4518
1934-03-01,5.7022
1934-04-01,5.7022
1934-05-01,5.8134
1934-06-01,5.7022
1934-07-01,5.3128
1934-08-01,5.2571
1934-09-01,4.9512
1934-10-01,5.1737
1934-11-01,5.2293
1934-12-01,5.5631
1935-01-01,6.0081
1935-02-01,6.1194
1935-03-01,6.0916
1935-04-01,5.9803
1935-05-01,5.9803
1935-06-01,6.0638
1935-07-01,6.0638
1935-08-01,6.2863
1935-09-01,6.4532
1935-10-01,6.6479
1935-11-01,6.7870
1935-12-01,6.8704
1936-01-01,6.7592
1936-02-01,6.5923
1936-03-01,6.6757
1936-04-01,7.0930
1936-05-01,7.2320
1936-06-01,7.3711
1936-07-01,7.5102
1936-08-01,7.6214
1936-09-01,7.7605
1936-10-01,7.8718
1936-11-01,8.0943
1936-12-01,8.3447
1937-01-01,8.3168
1937-02-01,8.4281
1937-03-01,8.6228
1937-04-01,8.6228
1937-05-01,8.6506
1937-06-01,8.5394
1937-07-01,8.5950
1937-08-01,8.5394
1937-09-01,8.2612
1937-10-01,7.6493
1937-11-01,6.8982
1937-12-01,6.2863
1938-01-01,6.1472
1938-02-01,6.0916
1938-03-01,6.0916
1938-04-01,5.9803
1938-05-01,5.8413
1938-06-01,5.8969
1938-07-01,6.2307
1938-08-01,6.5645
1938-09-01,6.7592
1938-10-01,6.9261
1938-11-01,7.2042
1938-12-01,7.2877
1939-01-01,7.2877
1939-02-01,7.3433
1939-03-01,7.3711
1939-04-01,7.3433
1939-05-01,7.3155
1939-06-01,7.4824
1939-07-01,7.7049
1939-08-01,7.8162
1939-09-01,8.2890
1939-10-01,8.7063
1939-11-01,8.9288
1939-12-01,8.9288
1940-01-01,8.8175
1940-02-01,8.5394
1940-03-01,8.3446
1940-04-01,8.5115
1940-05-01,8.7619
1940-06-01,9.0400
1940-07-01,9.1513
1940-08-01,9.2069
1940-09-01,9.4016
1940-10-01,9.5407
1940-11-01,9.7632
