DATE,RNDEBIS
1964-01-01,100.12
1964-02-01,100.29
1964-03-01,100.12
1964-04-01,99.30
1964-05-01,99.98
1964-06-01,99.56
1964-07-01,99.34
1964-08-01,98.97
1964-09-01,98.41
1964-10-01,98.28
1964-11-01,98.48
1964-12-01,98.99
1965-01-01,98.57
1965-02-01,98.39
1965-03-01,98.69
1965-04-01,98.33
1965-05-01,97.95
1965-06-01,97.78
1965-07-01,97.85
1965-08-01,97.45
1965-09-01,97.15
1965-10-01,97.53
1965-11-01,97.88
1965-12-01,97.95
1966-01-01,97.73
1966-02-01,97.66
1966-03-01,97.74
1966-04-01,97.81
1966-05-01,97.44
1966-06-01,97.50
1966-07-01,97.77
1966-08-01,97.39
1966-09-01,97.24
1966-10-01,97.38
1966-11-01,98.18
1966-12-01,98.36
1967-01-01,98.03
1967-02-01,97.93
1967-03-01,97.82
1967-04-01,97.42
1967-05-01,97.32
1967-06-01,97.04
1967-07-01,96.28
1967-08-01,95.39
1967-09-01,94.98
1967-10-01,95.15
1967-11-01,96.23
1967-12-01,97.42
1968-01-01,97.44
1968-02-01,97.49
1968-03-01,97.61
1968-04-01,97.41
1968-05-01,97.31
1968-06-01,96.91
1968-07-01,96.44
1968-08-01,95.75
1968-09-01,96.40
1968-10-01,95.97
1968-11-01,96.52
1968-12-01,95.98
1969-01-01,95.28
1969-02-01,95.12
1969-03-01,94.90
1969-04-01,94.58
1969-05-01,95.25
1969-06-01,94.74
1969-07-01,94.44
1969-08-01,95.26
1969-09-01,95.83
1969-10-01,101.51
1969-11-01,102.53
1969-12-01,102.90
1970-01-01,103.30
1970-02-01,103.07
1970-03-01,103.35
1970-04-01,104.01
1970-05-01,104.09
1970-06-01,103.97
1970-07-01,103.51
1970-08-01,103.09
1970-09-01,102.48
1970-10-01,102.23
1970-11-01,102.30
1970-12-01,102.19
1971-01-01,102.59
1971-02-01,103.19
1971-03-01,103.05
1971-04-01,102.95
1971-05-01,104.66
1971-06-01,105.82
1971-07-01,106.76
1971-08-01,107.52
1971-09-01,107.52
1971-10-01,107.89
1971-11-01,107.34
1971-12-01,107.53
1972-01-01,107.72
1972-02-01,108.04
1972-03-01,108.24
1972-04-01,108.04
1972-05-01,107.30
1972-06-01,107.33
1972-07-01,108.29
1972-08-01,106.83
1972-09-01,107.19
1972-10-01,106.71
1972-11-01,107.14
1972-12-01,107.24
1973-01-01,107.69
1973-02-01,109.27
1973-03-01,112.32
1973-04-01,112.37
1973-05-01,112.70
1973-06-01,118.66
1973-07-01,126.48
1973-08-01,123.33
1973-09-01,122.23
1973-10-01,121.24
1973-11-01,118.20
1973-12-01,117.43
1974-01-01,115.38
1974-02-01,116.45
1974-03-01,116.58
1974-04-01,118.79
1974-05-01,119.73
1974-06-01,114.97
1974-07-01,114.58
1974-08-01,112.22
1974-09-01,109.86
1974-10-01,110.83
1974-11-01,112.54
1974-12-01,112.86
1975-01-01,114.53
1975-02-01,114.21
1975-03-01,113.40
1975-04-01,111.55
1975-05-01,111.17
