Month,Cocoa,Rice
1980M1,3167.1569824219,395
1980M2,3236.8229980469,399
1980M3,3091.09765625,415
1980M4,2910.0983886719,419
1980M5,2585.798828125,433
1980M6,2498.0549316406,442
1980M7,2464.7651367188,442
1980M8,2312.2055664063,442
1980M9,2386.0603027344,442
1980M10,2305.37109375,442
1980M11,2173.7553710938,463
1980M12,2109.8212890625,470
1981M1,2093.0661621094,470
1981M2,2040.8166503906,480
1981M3,2115.7739257813,505
1981M4,2109.6008300781,515
1981M5,1933.0107421875,519
1981M6,1660.2993164063,535
1981M7,2048.3125,523
1981M8,2246.9487304688,498
1981M9,2337.1176757813,487
1981M10,2172.6530761719,455
1981M11,2056.4694824219,428
1981M12,2104.5302734375,379
1982M1,2188.0854492188,343
1982M2,2087.1137695313,324
1982M3,1947.7817382813,325
1982M4,1745.3977050781,312.5
1982M5,1714.9738769531,299
1982M6,1571.6735839844,292
1982M7,1578.2873535156,290
1982M8,1559.5480957031,287
1982M9,1686.0932617188,270
1982M10,1638.0327148438,254
1982M11,1541.2497558594,258
1982M12,1643.5441894531,266
1983M1,1784.1989746094,260
1983M2,1942.2702636719,270
1983M3,1859.3764648438,282
1983M4,1877.2338867188,282
1983M5,2065.0676269531,280
1983M6,2297.6550292969,269
1983M7,2302.7255859375,260
1983M8,2302.9460449219,275
1983M9,2138.0405273438,298
1983M10,2094.3889160156,290
1983M11,2219.611328125,283
1983M12,2540.8244628906,273
1984M1,2621.9545898438,257
1984M2,2497.3935546875,253
1984M3,2536.1948242188,253
1984M4,2536.4152832031,256
1984M5,2677.5109863281,253
1984M6,2485.0476074219,256
1984M7,2216.5249023438,273
1984M8,2213.6589355469,272
1984M9,2311.1030273438,252
1984M10,2257.3103027344,250
1984M11,2255.1057128906,228
1984M12,2140.4655761719,224
1985M1,2219.611328125,225
1985M2,2273.4040527344,220
1985M3,2232.3981933594,221
1985M4,2240.7758789063,222
1985M5,2129.0014648438,223
1985M6,2091.7434082031,223
1985M7,2209.9111328125,210
1985M8,2275.3881835938,210
1985M9,2342.1882324219,210
1985M10,2363.1320800781,210
1985M11,2297.6550292969,210
1985M12,2379.4462890625,225
1986M1,2323.6694335938,240
1986M2,2218.5090332031,230
1986M3,2107.17578125,216
1986M4,1989.6694335938,202
1986M5,1905.6735839844,200
1986M6,1905.6735839844,204
1986M7,2022.2978515625,181
1986M8,2068,186
1986M9,2206,173
1986M10,2073,175
1986M11,2024,174
1986M12,1976,167
1987M1,1976,173
1987M2,1965,187
1987M3,2011,198
1987M4,2072,199
1987M5,2068,198
1987M6,1997,196
1987M7,2127.1000976563,191
1987M8,2022,204
1987M9,1988,250
1987M10,1913,267
1987M11,1938,254
1987M12,1896,256
1988M1,1973,292
1988M2,1799,306
1988M3,1685,294
1988M4,1649,288
1988M5,1698,257
1988M6,1624,269
1988M7,1610,274
1988M8,1448,269
1988M9,1239,273
1988M10,1304,273
1988M11,1473,272
1988M12,1503,260
1989M1,1435,264
1989M2,1483.8850097656,271
1989M3,1413,277
1989M4,1290,293
1989M5,1205,311
1989M6,1252,331
1989M7,1351.4899902344,351
1989M8,1292,332
1989M9,1140,321
1989M10,1064,304
1989M11,1010,270
1989M12,970,272
1990M1,995,276
1990M2,1022,300
1990M3,1131,289
1990M4,1336,276
1990M5,1443,260
1990M6,1330,255
1990M7,1346,256
1990M8,1284,260
1990M9,1371,259
1990M10,1309,281
1990M11,1352,272
1990M12,1297,264
