ym,rate
1999-01,4.63
1999-02,4.76
1999-03,4.81
1999-04,4.74
1999-05,4.74
1999-06,4.76
1999-07,4.99
1999-08,5.07
1999-09,5.22
1999-10,5.2
1999-11,5.42
1999-12,5.3
2000-01,5.45
2000-02,5.73
2000-03,5.85
2000-04,6.02
2000-05,6.27
2000-06,6.53
2000-07,6.54
2000-08,6.5
2000-09,6.52
2000-10,6.51
2000-11,6.51
2000-12,6.4
2001-01,5.98
2001-02,5.49
2001-03,5.31
2001-04,4.8
2001-05,4.21
2001-06,3.97
2001-07,3.77
2001-08,3.65
2001-09,3.07
2001-10,2.49
2001-11,2.09
2001-12,1.82
2002-01,1.73
2002-02,1.74
2002-03,1.73
2002-04,1.75
2002-05,1.75
2002-06,1.75
2002-07,1.73
2002-08,1.74
2002-09,1.75
2002-10,1.75
2002-11,1.34
2002-12,1.24
2003-01,1.24
2003-02,1.26
2003-03,1.25
2003-04,1.26
2003-05,1.26
2003-06,1.22
2003-07,1.01
2003-08,1.03
2003-09,1.01
2003-10,1.01
2003-11,1
2003-12,0.98
2004-01,1
2004-02,1.01
2004-03,1
2004-04,1
2004-05,1
2004-06,1.03
2004-07,1.26
2004-08,1.43
2004-09,1.61
2004-10,1.76
2004-11,1.93
2004-12,2.16
2005-01,2.28
2005-02,2.5
2005-03,2.63
2005-04,2.79
2005-05,3
2005-06,3.04
2005-07,3.26
2005-08,3.5
2005-09,3.62
2005-10,3.78
2005-11,4
2005-12,4.16
2006-01,4.29
2006-02,4.49
2006-03,4.59
2006-04,4.79
2006-05,4.94
2006-06,4.99
2006-07,5.24
2006-08,5.25
2006-09,5.25
2006-10,5.25
2006-11,5.25
2006-12,5.24
2007-01,5.25
2007-02,5.26
2007-03,5.26
2007-04,5.25
2007-05,5.25
2007-06,5.25
2007-07,5.26
2007-08,5.02
2007-09,4.94
2007-10,4.76
2007-11,4.49
2007-12,4.24
2008-01,3.94
2008-02,2.98
2008-03,2.61
2008-04,2.28
2008-05,1.98
2008-06,2
2008-07,2.01
2008-08,2
2008-09,1.81
2008-10,0.97
2008-11,0.39
2008-12,0.16
2009-01,0.15
2009-02,0.22
2009-03,0.18
2009-04,0.15
2009-05,0.18
2009-06,0.21
2009-07,0.16
2009-08,0.16
2009-09,0.15
2009-10,0.12
2009-11,0.12
2009-12,0.12
2010-01,0.11
2010-02,0.13
2010-03,0.16
2010-04,0.2
2010-05,0.2
2010-06,0.18
2010-07,0.18
2010-08,0.19
2010-09,0.19
2010-10,0.19
2010-11,0.19
2010-12,0.18
2011-01,0.17
2011-02,0.16
2011-03,0.14
2011-04,0.1
2011-05,0.09
2011-06,0.09
2011-07,0.07
2011-08,0.1
2011-09,0.08
2011-10,0.07
2011-11,0.08
2011-12,0.07
2012-01,0.08
2012-02,0.1
2012-03,0.13
2012-04,0.14
2012-05,0.16
2012-06,0.16
2012-07,0.16
2012-08,0.13
2012-09,0.14
2012-10,0.16
2012-11,0.16
2012-12,0.16
2013-01,0.14
2013-02,0.15
2013-03,0.14
2013-04,0.15
2013-05,0.11
2013-06,0.09
2013-07,0.09
2013-08,0.08
2013-09,0.08
2013-10,0.09
2013-11,0.08
2013-12,0.09
2014-01,0.07
2014-02,0.07
2014-03,0.08
2014-04,0.09
2014-05,0.09
2014-06,0.1
2014-07,0.09
2014-08,0.09
2014-09,0.09
2014-10,0.09
2014-11,0.09
2014-12,0.12
2015-01,0.11
2015-02,0.11
2015-03,0.11
2015-04,0.12
2015-05,0.12
2015-06,0.13
2015-07,0.13
2015-08,0.14
2015-09,0.14
2015-10,0.12
2015-11,0.12
2015-12,0.24
2016-01,0.34
2016-02,0.38
2016-03,0.36
2016-04,0.37
2016-05,0.37
2016-06,0.38
2016-07,0.39
2016-08,0.4
2016-09,0.4
2016-10,0.4
2016-11,0.41
2016-12,0.54
2017-01,0.65
2017-02,0.66
2017-03,0.79
2017-04,0.9
2017-05,0.91
2017-06,1.04
2017-07,1.15
2017-08,1.16
2017-09,1.15
2017-10,1.15
2017-11,1.16
