Entity,Code,Year,"Military expenditure (1914-2007, real prices) (Correlates of War: National Material Capabilities (v4.0)) (US-$)"
Afghanistan,AFG,1931,43444800
Afghanistan,AFG,1932,40467760.260000005
Afghanistan,AFG,1935,74249694.05999999
Afghanistan,AFG,1936,75275414.48
Afghanistan,AFG,1938,68490736.13000001
Afghanistan,AFG,1950,27717531.64
Afghanistan,AFG,1951,31470905.57
Afghanistan,AFG,1952,36814943.22
Afghanistan,AFG,1953,51834857.519999996
Afghanistan,AFG,1954,26825665.36
Afghanistan,AFG,1955,34229598.97
Afghanistan,AFG,1956,24500836.54
Afghanistan,AFG,1957,35587434.16
Afghanistan,AFG,1958,30116251.759999998
Afghanistan,AFG,1959,52596750
Afghanistan,AFG,1960,66711304.35000001
Afghanistan,AFG,1961,65734451.61000001
Afghanistan,AFG,1962,60078605.37
Afghanistan,AFG,1963,66974159.76
Afghanistan,AFG,1964,64834412.629999995
Afghanistan,AFG,1965,60716836.9
Afghanistan,AFG,1966,71622876.24
Afghanistan,AFG,1967,74201691.76
Afghanistan,AFG,1968,79655192.92
Afghanistan,AFG,1969,79146457.95
Afghanistan,AFG,1970,69956841.16
Afghanistan,AFG,1971,102085428.6
Afghanistan,AFG,1972,105850528.8
Afghanistan,AFG,1973,100730296.10000001
Afghanistan,AFG,1974,99104019.86
Afghanistan,AFG,1975,105900795.6
Afghanistan,AFG,1976,105016250.9
Afghanistan,AFG,1977,121853904.7
Afghanistan,AFG,1978,129368776.6
Afghanistan,AFG,1979,116669614.3
Afghanistan,AFG,1980,439318261.2
Afghanistan,AFG,1981,550220800.3
Afghanistan,AFG,1982,519455619.59999996
Afghanistan,AFG,1983,454075157.40000004
Afghanistan,AFG,1984,310068874.7
Afghanistan,AFG,1985,409965031.4
Afghanistan,AFG,1990,527373071.7
Afghanistan,AFG,1995,217445565.6
Afghanistan,AFG,1996,222074576.29999998
Afghanistan,AFG,1997,219395077.6
Afghanistan,AFG,1998,264797742.8
Afghanistan,AFG,1999,255682527.8
Afghanistan,AFG,2000,250000000
Afghanistan,AFG,2001,239558806
Afghanistan,AFG,2004,111183684.89999999
Afghanistan,AFG,2005,103263833
Afghanistan,AFG,2006,103647294.6
Afghanistan,AFG,2007,128715533.2
Albania,ALB,1914,22107641.23
Albania,ALB,1915,20788453.54
Albania,ALB,1916,18276567.040000003
Albania,ALB,1917,14532460.93
Albania,ALB,1918,12295437.32
Albania,ALB,1919,11832871.92
Albania,ALB,1920,10179997.5
Albania,ALB,1921,11531775.39
Albania,ALB,1922,11948995.860000001
Albania,ALB,1923,9993216.297999999
Albania,ALB,1924,9206370.671999998
Albania,ALB,1925,8483804
Albania,ALB,1926,7952465.1389999995
Albania,ALB,1927,9676389.796
Albania,ALB,1928,19486173.080000002
Albania,ALB,1929,23624024.24
Albania,ALB,1930,24223645.7
Albania,ALB,1931,28656711.11
Albania,ALB,1932,30716884.77
Albania,ALB,1933,27519496.599999998
Albania,ALB,1934,24746629.68
Albania,ALB,1935,22755274.34
Albania,ALB,1936,25415548.060000002
Albania,ALB,1937,27610872.9
Albania,ALB,1938,31736161.53
Albania,ALB,1939,71134298.50999999
Albania,ALB,1944,74754221.34
Albania,ALB,1945,81603504.36999999
Albania,ALB,1946,84187430.29
