Series Id,Year,Period,Value
WPU012,1980,M01,101.8
WPU012,1980,M02,105.9
WPU012,1980,M03,103.3
WPU012,1980,M04,99.9
WPU012,1980,M05,103.8
WPU012,1980,M06,102.1
WPU012,1980,M07,116.1
WPU012,1980,M08,121.6
WPU012,1980,M09,123.6
WPU012,1980,M10,127.7
WPU012,1980,M11,128.5
WPU012,1980,M12,125.7
WPU012,1981,M01,131.7
WPU012,1981,M02,126.8
WPU012,1981,M03,124.1
WPU012,1981,M04,125.5
WPU012,1981,M05,122.2
WPU012,1981,M06,121.9
WPU012,1981,M07,122.0
WPU012,1981,M08,115.1
WPU012,1981,M09,107.7
WPU012,1981,M10,107.9
WPU012,1981,M11,107.4
WPU012,1981,M12,101.3
WPU012,1982,M01,106.8
WPU012,1982,M02,105.8
WPU012,1982,M03,104.7
WPU012,1982,M04,107.1
WPU012,1982,M05,108.2
WPU012,1982,M06,107.0
WPU012,1982,M07,100.9
WPU012,1982,M08,93.5
WPU012,1982,M09,88.8
WPU012,1982,M10,86.9
WPU012,1982,M11,94.2
WPU012,1982,M12,95.9
WPU012,1983,M01,97.8
WPU012,1983,M02,105.4
WPU012,1983,M03,107.8
WPU012,1983,M04,115.6
WPU012,1983,M05,114.8
WPU012,1983,M06,114.5
WPU012,1983,M07,112.2
WPU012,1983,M08,119.4
WPU012,1983,M09,122.3
WPU012,1983,M10,120.3
WPU012,1983,M11,122.1
WPU012,1983,M12,115.5
WPU012,1984,M01,116.4
WPU012,1984,M02,111.6
WPU012,1984,M03,119.0
WPU012,1984,M04,124.3
WPU012,1984,M05,121.5
WPU012,1984,M06,122.3
WPU012,1984,M07,118.0
WPU012,1984,M08,112.3
WPU012,1984,M09,109.7
WPU012,1984,M10,103.9
WPU012,1984,M11,104.2
WPU012,1984,M12,100.8
WPU012,1985,M01,103.1
WPU012,1985,M02,103.0
WPU012,1985,M03,102.5
WPU012,1985,M04,104.6
WPU012,1985,M05,101.5
WPU012,1985,M06,100.9
WPU012,1985,M07,97.2
WPU012,1985,M08,87.8
WPU012,1985,M09,85.9
WPU012,1985,M10,83.6
WPU012,1985,M11,91.0
WPU012,1985,M12,92.8
WPU012,1986,M01,91.7
WPU012,1986,M02,91.8
WPU012,1986,M03,90.8
WPU012,1986,M04,90.7
WPU012,1986,M05,94.6
WPU012,1986,M06,86.4
WPU012,1986,M07,72.2
WPU012,1986,M08,65.9
WPU012,1986,M09,62.9
WPU012,1986,M10,63.9
WPU012,1986,M11,69.4
WPU012,1986,M12,71.0
WPU012,1987,M01,66.8
WPU012,1987,M02,66.7
WPU012,1987,M03,67.5
WPU012,1987,M04,71.0
WPU012,1987,M05,79.0
WPU012,1987,M06,74.0
WPU012,1987,M07,68.8
WPU012,1987,M08,63.4
WPU012,1987,M09,69.5
WPU012,1987,M10,72.8
WPU012,1987,M11,74.9
WPU012,1987,M12,78.9
WPU012,1988,M01,77.5
WPU012,1988,M02,83.5
WPU012,1988,M03,80.6
WPU012,1988,M04,82.3
WPU012,1988,M05,82.9
WPU012,1988,M06,103.4
WPU012,1988,M07,111.5
WPU012,1988,M08,109.9
WPU012,1988,M09,112.9
WPU012,1988,M10,114.2
WPU012,1988,M11,107.4
WPU012,1988,M12,108.9
WPU012,1989,M01,115.2
WPU012,1989,M02,111.3
WPU012,1989,M03,115.1
WPU012,1989,M04,109.8
WPU012,1989,M05,114.1
WPU012,1989,M06,105.8
WPU012,1989,M07,105.1
WPU012,1989,M08,100.3
WPU012,1989,M09,100.1
WPU012,1989,M10,98.2
WPU012,1989,M11,101.1
WPU012,1989,M12,101.0
WPU012,1990,M01,100.8
WPU012,1990,M02,100.4
WPU012,1990,M03,100.2
WPU012,1990,M04,107.2
WPU012,1990,M05,108.6
WPU012,1990,M06,110.4
WPU012,1990,M07,103.1
WPU012,1990,M08,92.1
WPU012,1990,M09,88.3
WPU012,1990,M10,85.8
WPU012,1990,M11,85.1
WPU012,1990,M12,87.0
WPU012,1991,M01,85.9
WPU012,1991,M02,88.0
WPU012,1991,M03,94.0
WPU012,1991,M04,94.1
WPU012,1991,M05,92.7
WPU012,1991,M06,90.2
WPU012,1991,M07,84.3
WPU012,1991,M08,93.2
WPU012,1991,M09,92.4
WPU012,1991,M10,94.8
WPU012,1991,M11,96.4
WPU012,1991,M12,97.7
WPU012,1992,M01,103.1
WPU012,1992,M02,106.2
WPU012,1992,M03,108.5
WPU012,1992,M04,102.7
WPU012,1992,M05,103.5
WPU012,1992,M06,105.7
WPU012,1992,M07,95.0
WPU012,1992,M08,88.5
WPU012,1992,M09,90.6
WPU012,1992,M10,87.8
WPU012,1992,M11,86.6
WPU012,1992,M12,89.2
WPU012,1993,M01,89.9
WPU012,1993,M02,88.1
WPU012,1993,M03,89.3
WPU012,1993,M04,93.7
WPU012,1993,M05,91.1
WPU012,1993,M06,85.3
WPU012,1993,M07,91.2
WPU012,1993,M08,93.9
WPU012,1993,M09,92.2
WPU012,1993,M10,96.4
WPU012,1993,M11,106.1
WPU012,1993,M12,116.4
WPU012,1994,M01,118.0
WPU012,1994,M02,116.8
WPU012,1994,M03,112.5
WPU012,1994,M04,109.3
WPU012,1994,M05,106.8
WPU012,1994,M06,110.1
WPU012,1994,M07,96.4
WPU012,1994,M08,90.2
WPU012,1994,M09,94.2
WPU012,1994,M10,91.1
WPU012,1994,M11,91.2
WPU012,1994,M12,95.3
WPU012,1995,M01,95.5
WPU012,1995,M02,96.9
WPU012,1995,M03,98.2
WPU012,1995,M04,101.1
WPU012,1995,M05,104.2
WPU012,1995,M06,110.5
WPU012,1995,M07,116.2
WPU012,1995,M08,114.0
WPU012,1995,M09,119.3
WPU012,1995,M10,126.2
WPU012,1995,M11,131.1
WPU012,1995,M12,137.6
WPU012,1996,M01,141.4
WPU012,1996,M02,146.5
WPU012,1996,M03,151.5
WPU012,1996,M04,166.9
WPU012,1996,M05,190.5
WPU012,1996,M06,181.9
WPU012,1996,M07,184.9
WPU012,1996,M08,170.6
WPU012,1996,M09,138.7
WPU012,1996,M10,118.8
WPU012,1996,M11,112.2
WPU012,1996,M12,109.6
WPU012,1997,M01,111.1
WPU012,1997,M02,111.0
WPU012,1997,M03,119.3
WPU012,1997,M04,121.2
WPU012,1997,M05,116.6
WPU012,1997,M06,112.4
WPU012,1997,M07,105.9
WPU012,1997,M08,106.3
WPU012,1997,M09,107.2
WPU012,1997,M10,109.1
WPU012,1997,M11,107.1
WPU012,1997,M12,107.4
WPU012,1998,M01,104.4
WPU012,1998,M02,105.2
WPU012,1998,M03,107.2
WPU012,1998,M04,99.8
WPU012,1998,M05,98.7
WPU012,1998,M06,94.0
WPU012,1998,M07,92.0
WPU012,1998,M08,82.5
WPU012,1998,M09,76.3
WPU012,1998,M10,84.6
WPU012,1998,M11,88.5
WPU012,1998,M12,87.1
WPU012,1999,M01,87.0
WPU012,1999,M02,86.4
WPU012,1999,M03,84.9
WPU012,1999,M04,83.1
WPU012,1999,M05,84.6
WPU012,1999,M06,82.2
WPU012,1999,M07,71.7
WPU012,1999,M08,80.9
WPU012,1999,M09,75.9
WPU012,1999,M10,72.7
WPU012,1999,M11,77.2
WPU012,1999,M12,74.0
WPU012,2000,M01,77.8
WPU012,2000,M02,82.4
WPU012,2000,M03,85.9
WPU012,2000,M04,82.6
WPU012,2000,M05,85.8
WPU012,2000,M06,78.6
WPU012,2000,M07,71.0
WPU012,2000,M08,66.8
WPU012,2000,M09,70.1
WPU012,2000,M10,76.3
WPU012,2000,M11,81.2
WPU012,2000,M12,81.2
WPU012,2001,M01,85.7
WPU012,2001,M02,80.1
WPU012,2001,M03,84.0
WPU012,2001,M04,80.4
WPU012,2001,M05,79.7
WPU012,2001,M06,77.6
WPU012,2001,M07,81.0
WPU012,2001,M08,83.1
WPU012,2001,M09,81.7
WPU012,2001,M10,78.5
