year,population,agri_output
1086,1.71,
1087,1.7198097029,
1088,1.7296756809,
1089,1.7395982566,
1090,1.749577755,
1091,1.7596145023,
1092,1.7697088272,
1093,1.7798610599,
1094,1.7900715325,
1095,1.8003405793,
1096,1.8106685361,
1097,1.8210557411,
1098,1.831502534,
1099,1.8420092566,
1100,1.8525762529,
1101,1.8632038685,
1102,1.8738924512,
1103,1.8846423508,
1104,1.8954539189,
1105,1.9063275095,
1106,1.9172634782,
1107,1.928262183,
1108,1.9393239837,
1109,1.9504492423,
1110,1.9616383228,
1111,1.9728915913,
1112,1.9842094161,
1113,1.9955921675,
1114,2.007040218,
1115,2.0185539421,
1116,2.0301337167,
1117,2.0417799206,
1118,2.0534929349,
1119,2.0652731429,
1120,2.07712093,
1121,2.089036684,
1122,2.1010207946,
1123,2.1130736542,
1124,2.125195657,
1125,2.1373871997,
1126,2.1496486813,
1127,2.1619805029,
1128,2.1743830681,
1129,2.1868567827,
1130,2.1994020548,
1131,2.212019295,
1132,2.2247089162,
1133,2.2374713335,
1134,2.2503069645,
1135,2.2632162293,
1136,2.2761995503,
1137,2.2892573523,
1138,2.3023900625,
1139,2.3155981108,
1140,2.3288819292,
1141,2.3422419526,
1142,2.3556786179,
1143,2.3691923649,
1144,2.3827836359,
1145,2.3964528754,
1146,2.4102005308,
1147,2.424027052,
1148,2.4379328913,
1149,2.4519185038,
1150,2.4659843472,
1151,2.4801308816,
1152,2.49435857,
1153,2.5086678779,
1154,2.5230592736,
1155,2.537533228,
1156,2.5520902146,
1157,2.5667307098,
1158,2.5814551927,
1159,2.5962641451,
1160,2.6111580515,
1161,2.6261373993,
1162,2.6412026787,
1163,2.6563543826,
1164,2.6715930068,
1165,2.6869190499,
1166,2.7023330134,
1167,2.7178354018,
1168,2.7334267222,
1169,2.7491074848,
1170,2.7648782028,
1171,2.7807393921,
1172,2.7966915719,
1173,2.812735264,
1174,2.8288709934,
1175,2.8450992882,
1176,2.8614206793,
1177,2.8778357008,
1178,2.8943448899,
1179,2.9109487867,
1180,2.9276479345,
1181,2.9444428799,
1182,2.9613341722,
1183,2.9783223643,
1184,2.9954080121,
1185,3.0125916745,
1186,3.0298739139,
1187,3.0472552957,
1188,3.0647363888,
1189,3.0823177651,
1190,3.1,
1191,3.1256666161,
1192,3.1515457404,
1193,3.1776391322,
1194,3.2039485657,
1195,3.2304758295,
1196,3.2572227273,
1197,3.2841910774,
1198,3.3113827134,
1199,3.338799484,
1200,3.3664432533,
1201,3.3943159006,
1202,3.422419321,
1203,3.4507554251,
1204,3.4793261396,
1205,3.5081334068,
1206,3.5371791853,
1207,3.56646545,
1208,3.5959941918,
1209,3.6257674184,
1210,3.655787154,
1211,3.6860554397,
1212,3.7165743332,
1213,3.7473459096,
1214,3.7783722608,
1215,3.8096554964,
1216,3.8411977433,
1217,3.8730011458,
1218,3.9050678663,
1219,3.937400085,
1220,3.97,
1221,3.9784093856,
1222,3.9868365842,
1223,3.9952816336,
1224,4.0037445716,
1225,4.0122254361,
1226,4.020724265,
1227,4.0292410964,
1228,4.0377759684,
1229,4.0463289193,
1230,4.0548999874,
1231,4.0634892109,
1232,4.0720966285,
1233,4.0807222785,
1234,4.0893661997,
1235,4.0980284308,
1236,4.1067090104,
1237,4.1154079776,
1238,4.1241253712,
1239,4.1328612302,
1240,4.1416155939,
1241,4.1503885013,
1242,4.1591799918,
1243,4.1679901047,
1244,4.1768188795,
1245,4.1856663557,
1246,4.1945325729,
1247,4.2034175709,
1248,4.2123213893,
1249,4.2212440681,
1250,4.2301856472,
1251,4.2368216885,
1252,4.2434681401,
1253,4.2501250182,
1254,4.2567923391,
1255,4.2634701193,
1256,4.2701583752,
1257,4.2768571232,
1258,4.2835663798,
1259,4.2902861614,
1260,4.2970164845,
1261,4.3037573658,
1262,4.3105088217,
1263,4.3172708688,
1264,4.3240435238,
1265,4.3308268034,
1266,4.3376207241,
1267,4.3444253026,
1268,4.3512405557,
1269,4.3580665002,
1270,4.3649031528,64.5967636872
1271,4.3717505302,63.9227709036
1272,4.3786086494,69.0288772895
1273,4.3854775272,61.4028331944
1274,4.3923571804,60.4875788629
1275,4.3992476259,76.8682188943
1276,4.4061488808,62.2872240869
1277,4.4130609619,71.1096480551
1278,4.4199838862,77.6212401026
1279,4.4269176707,56.8743581901
1280,4.4554843932,59.3161689367
1281,4.4842354555,67.1180254086
1282,4.5131720473,64.0448761401
1283,4.5422953657,57.8432890839
1284,4.5716066158,62.8566397014
1285,4.6011070102,65.2167827468
1286,4.6307977694,62.6159735679
1287,4.6606801219,72.9516621657
1288,4.6907553041,69.7700772905
1289,4.7210245602,61.1785449566
1290,4.7514891426,61.6784230589
1291,4.7489771153,60.7480143062
1292,4.746466416,64.5943061755
1293,4.7439570441,65.4388623972
1294,4.7414489989,63.7635396507
1295,4.7389422796,69.9807694028
1296,4.7364368856,73.9276075306
1297,4.7339328161,68.7488649844
1298,4.7314300705,77.4494885105
1299,4.728928648,71.2194776988
1300,4.726428548,69.9587768665
1301,4.7239297698,73.0438922656
1302,4.7214323126,72.0789231873
1303,4.7189361758,74.9191455193
1304,4.7164413587,64.7887331981
1305,4.7139478605,69.8733597363
1306,4.7114556806,67.4569982705
1307,4.7089648182,72.5456359394
1308,4.7064752727,72.7512377771
1309,4.7039870434,75.3386387693
1310,4.7015001296,72.150138415
1311,4.6990145306,76.0314251046
1312,4.6965302457,73.1230836979
1313,4.6940472741,75.6527204072
1314,4.6915656153,73.1088805649
1315,4.6890852685,58.7676970945
1316,4.6282919693,54.1662354248
