"date","conf","s1"
"1999-01-30 24:00:00","",6.2
"1999-02-27 24:00:00","",5.58
"1999-03-30 24:00:00","",5.65
"1999-04-29 24:00:00","",5.41
"1999-05-30 24:00:00","",5.62
"1999-06-29 24:00:00","",5.68
"1999-07-30 24:00:00","",5.9
"1999-08-30 24:00:00","",5.83
"1999-09-29 24:00:00","",5.9
"1999-10-30 24:00:00","",5.35
"1999-11-29 24:00:00","",5.84
"1999-12-30 24:00:00","",5.73
"2000-01-30 24:00:00","",4.98
"2000-02-28 24:00:00","",5.84
"2000-03-30 24:00:00","",5.99
"2000-04-29 24:00:00","",5.81
"2000-05-30 24:00:00","",5.37
"2000-06-29 24:00:00","",4.61
"2000-07-30 24:00:00","",4.23
"2000-08-30 24:00:00","",4.58
"2000-09-29 24:00:00","",4.23
"2000-10-30 24:00:00","",4.12
"2000-11-29 24:00:00","",3.79
"2000-12-30 24:00:00","",4.05
"2001-01-30 24:00:00","",3.78
"2001-02-27 24:00:00","",3.78
"2001-03-30 24:00:00","",3.77
"2001-04-29 24:00:00","",3.92
"2001-05-30 24:00:00","",4.37
"2001-06-29 24:00:00","",5.47
"2001-07-30 24:00:00","",5.66
"2001-08-30 24:00:00","",5.92
"2001-09-29 24:00:00","",6.84
"2001-10-30 24:00:00","",7.35
"2001-11-29 24:00:00","",7.83
"2001-12-30 24:00:00","",8.01
"2002-01-30 24:00:00","",7.84
"2002-02-27 24:00:00","",7.45
"2002-03-30 24:00:00","",7.35
"2002-04-29 24:00:00","",7.36
"2002-05-30 24:00:00","",7.7
"2002-06-29 24:00:00","",7.14
"2002-07-30 24:00:00","",7.04
"2002-08-30 24:00:00","",7.01
"2002-09-29 24:00:00","",7.15
"2002-10-30 24:00:00","",6.93
"2002-11-29 24:00:00","",7.11
"2002-12-30 24:00:00","",6.98
"2003-01-30 24:00:00","",7.43
"2003-02-27 24:00:00","",8.19
"2003-03-30 24:00:00","",8.26
"2003-04-29 24:00:00","",9.03
"2003-05-30 24:00:00","",8.65
"2003-06-29 24:00:00","",8.57
"2003-07-30 24:00:00","",8.83
"2003-08-30 24:00:00","",8.34
"2003-09-29 24:00:00","",7.6
"2003-10-30 24:00:00","",7.98
"2003-11-29 24:00:00","",7.38
"2003-12-30 24:00:00","",7.23
"2004-01-30 24:00:00","",6.39
"2004-02-28 24:00:00","",6.18
"2004-03-30 24:00:00","",6.31
"2004-04-29 24:00:00","",5.31
"2004-05-30 24:00:00","",4.99
"2004-06-29 24:00:00","",5.43
"2004-07-30 24:00:00","",5.26
"2004-08-30 24:00:00","",5.5
"2004-09-29 24:00:00","",5.92
"2004-10-30 24:00:00","",5.76
"2004-11-29 24:00:00","",6.02
"2004-12-30 24:00:00","",6.55
"2005-01-30 24:00:00","",6.89
"2005-02-27 24:00:00","",6.65
"2005-03-30 24:00:00","",6.4
"2005-04-29 24:00:00","",6.74
"2005-05-30 24:00:00","",7.36
"2005-06-29 24:00:00","",7.55
"2005-07-30 24:00:00","",7.99
"2005-08-30 24:00:00","",8.17
"2005-09-29 24:00:00","",8.26
"2005-10-30 24:00:00","",7.89
"2005-11-29 24:00:00","",7.6
"2005-12-30 24:00:00","",7.26
"2006-01-30 24:00:00","",7.5
"2006-02-27 24:00:00","",7.84
"2006-03-30 24:00:00","",8.34
"2006-04-29 24:00:00","",8.87
"2006-05-30 24:00:00","",8.89
"2006-06-29 24:00:00","",8.39
"2006-07-30 24:00:00","",7.73
"2006-08-30 24:00:00","",8.02
"2006-09-29 24:00:00","",8.33
"2006-10-30 24:00:00","",8.51
"2006-11-29 24:00:00","",9.25
"2006-12-30 24:00:00","",10.04
"2007-01-30 24:00:00","",10.26
"2007-02-27 24:00:00","",10.3
"2007-03-30 24:00:00","",10.96
"2007-04-29 24:00:00","",10.24
"2007-05-30 24:00:00","",10.65
"2007-06-29 24:00:00","",10.96
"2007-07-30 24:00:00","",11.9
"2007-08-30 24:00:00","",11.58
"2007-09-29 24:00:00","",11.5
"2007-10-30 24:00:00","",12.5
"2007-11-29 24:00:00","",12.44
"2007-12-30 24:00:00","",11.58
"2008-01-30 24:00:00","",11.63
"2008-02-28 24:00:00","",11.42
"2008-03-30 24:00:00","",10.22
"2008-04-29 24:00:00","",10.62
"2008-05-30 24:00:00","",10.13
"2008-06-29 24:00:00","",9.74
"2008-07-30 24:00:00","",9.25
"2008-08-30 24:00:00","",8.82
"2008-09-29 24:00:00","",8.64
"2008-10-30 24:00:00","",8.53
"2008-11-29 24:00:00","",7.67
"2008-12-30 24:00:00","",7.71
"2009-01-30 24:00:00","",5.89
"2009-02-27 24:00:00","",5.7
"2009-03-30 24:00:00","",5.14
"2009-04-29 24:00:00","",4.78
"2009-05-30 24:00:00","",3.87
"2009-06-29 24:00:00","",3.66
"2009-07-30 24:00:00","",2.9
"2009-08-30 24:00:00","",2.33
"2009-09-29 24:00:00","",1.83
"2009-10-30 24:00:00","",0.27
"2009-11-29 24:00:00","",-0.15
"2009-12-30 24:00:00","",-0.32
"2010-01-30 24:00:00","",0.15
"2010-02-27 24:00:00","",-0.36
"2010-03-30 24:00:00","",-0.12
"2010-04-29 24:00:00","",-0.31
"2010-05-30 24:00:00","",-0.08
"2010-06-29 24:00:00","",0.1
"2010-07-30 24:00:00","",0.06
"2010-08-30 24:00:00","",0.89
"2010-09-29 24:00:00","",0.74
"2010-10-30 24:00:00","",1.06
"2010-11-29 24:00:00","",1.44
"2010-12-30 24:00:00","",1.12
"2011-01-30 24:00:00","",1.47
"2011-02-27 24:00:00","",1.63
"2011-03-30 24:00:00","",1.77
"2011-04-29 24:00:00","",1.57
"2011-05-30 24:00:00","",1.42
"2011-06-29 24:00:00","",1.23
"2011-07-30 24:00:00","",1.38
"2011-08-30 24:00:00","",1.66
"2011-09-29 24:00:00","",1.64
"2011-10-30 24:00:00","",1.41
"2011-11-29 24:00:00","",1.42
"2011-12-30 24:00:00","",1.68
"2012-01-30 24:00:00","",1.92
"2012-02-28 24:00:00","",2.38
"2012-03-30 24:00:00","",2.94
"2012-04-29 24:00:00","",2.41
"2012-05-30 24:00:00","",2.95
"2012-06-29 24:00:00","",3.12
"2012-07-30 24:00:00","",3.42
"2012-08-30 24:00:00","",2.71
"2012-09-29 24:00:00","",2.88
"2012-10-30 24:00:00","",3.77
"2012-11-29 24:00:00","",3.69
"2012-12-30 24:00:00","",3.53
"2013-01-30 24:00:00","",3.44
"2013-02-27 24:00:00","",3.02
"2013-03-30 24:00:00","",2.45
"2013-04-29 24:00:00","",3.05
"2013-05-30 24:00:00","",2.74
"2013-06-29 24:00:00","",2.33
