GEO,TIME,INTRT,Value,Flag and Footnotes
European Union (28 countries),1980M01,EMU convergence criterion bond yields, ,
European Union (28 countries),1980M02,EMU convergence criterion bond yields, ,
European Union (28 countries),1980M03,EMU convergence criterion bond yields, ,
European Union (28 countries),1980M04,EMU convergence criterion bond yields, ,
European Union (28 countries),1980M05,EMU convergence criterion bond yields, ,
European Union (28 countries),1980M06,EMU convergence criterion bond yields, ,
European Union (28 countries),1980M07,EMU convergence criterion bond yields, ,
European Union (28 countries),1980M08,EMU convergence criterion bond yields, ,
European Union (28 countries),1980M09,EMU convergence criterion bond yields, ,
European Union (28 countries),1980M10,EMU convergence criterion bond yields, ,
European Union (28 countries),1980M11,EMU convergence criterion bond yields, ,
European Union (28 countries),1980M12,EMU convergence criterion bond yields, ,
European Union (28 countries),1981M01,EMU convergence criterion bond yields, ,
European Union (28 countries),1981M02,EMU convergence criterion bond yields, ,
European Union (28 countries),1981M03,EMU convergence criterion bond yields, ,
European Union (28 countries),1981M04,EMU convergence criterion bond yields, ,
European Union (28 countries),1981M05,EMU convergence criterion bond yields, ,
European Union (28 countries),1981M06,EMU convergence criterion bond yields, ,
European Union (28 countries),1981M07,EMU convergence criterion bond yields, ,
European Union (28 countries),1981M08,EMU convergence criterion bond yields, ,
European Union (28 countries),1981M09,EMU convergence criterion bond yields, ,
European Union (28 countries),1981M10,EMU convergence criterion bond yields, ,
European Union (28 countries),1981M11,EMU convergence criterion bond yields, ,
European Union (28 countries),1981M12,EMU convergence criterion bond yields, ,
European Union (28 countries),1982M01,EMU convergence criterion bond yields, ,
European Union (28 countries),1982M02,EMU convergence criterion bond yields, ,
European Union (28 countries),1982M03,EMU convergence criterion bond yields, ,
European Union (28 countries),1982M04,EMU convergence criterion bond yields, ,
European Union (28 countries),1982M05,EMU convergence criterion bond yields, ,
European Union (28 countries),1982M06,EMU convergence criterion bond yields, ,
European Union (28 countries),1982M07,EMU convergence criterion bond yields, ,
European Union (28 countries),1982M08,EMU convergence criterion bond yields, ,
European Union (28 countries),1982M09,EMU convergence criterion bond yields, ,
European Union (28 countries),1982M10,EMU convergence criterion bond yields, ,
European Union (28 countries),1982M11,EMU convergence criterion bond yields, ,
European Union (28 countries),1982M12,EMU convergence criterion bond yields, ,
European Union (28 countries),1983M01,EMU convergence criterion bond yields, ,
European Union (28 countries),1983M02,EMU convergence criterion bond yields, ,
European Union (28 countries),1983M03,EMU convergence criterion bond yields, ,
European Union (28 countries),1983M04,EMU convergence criterion bond yields, ,
European Union (28 countries),1983M05,EMU convergence criterion bond yields, ,
European Union (28 countries),1983M06,EMU convergence criterion bond yields, ,
European Union (28 countries),1983M07,EMU convergence criterion bond yields, ,
European Union (28 countries),1983M08,EMU convergence criterion bond yields, ,
European Union (28 countries),1983M09,EMU convergence criterion bond yields, ,
European Union (28 countries),1983M10,EMU convergence criterion bond yields, ,
European Union (28 countries),1983M11,EMU convergence criterion bond yields, ,
European Union (28 countries),1983M12,EMU convergence criterion bond yields, ,
European Union (28 countries),1984M01,EMU convergence criterion bond yields, ,
European Union (28 countries),1984M02,EMU convergence criterion bond yields, ,
European Union (28 countries),1984M03,EMU convergence criterion bond yields, ,
European Union (28 countries),1984M04,EMU convergence criterion bond yields, ,
European Union (28 countries),1984M05,EMU convergence criterion bond yields, ,
European Union (28 countries),1984M06,EMU convergence criterion bond yields, ,
European Union (28 countries),1984M07,EMU convergence criterion bond yields, ,
European Union (28 countries),1984M08,EMU convergence criterion bond yields, ,
European Union (28 countries),1984M09,EMU convergence criterion bond yields, ,
European Union (28 countries),1984M10,EMU convergence criterion bond yields, ,
European Union (28 countries),1984M11,EMU convergence criterion bond yields, ,
European Union (28 countries),1984M12,EMU convergence criterion bond yields, ,
European Union (28 countries),1985M01,EMU convergence criterion bond yields, ,
European Union (28 countries),1985M02,EMU convergence criterion bond yields, ,
European Union (28 countries),1985M03,EMU convergence criterion bond yields, ,
European Union (28 countries),1985M04,EMU convergence criterion bond yields, ,
European Union (28 countries),1985M05,EMU convergence criterion bond yields, ,
European Union (28 countries),1985M06,EMU convergence criterion bond yields, ,
European Union (28 countries),1985M07,EMU convergence criterion bond yields, ,
European Union (28 countries),1985M08,EMU convergence criterion bond yields, ,
European Union (28 countries),1985M09,EMU convergence criterion bond yields, ,
European Union (28 countries),1985M10,EMU convergence criterion bond yields, ,
European Union (28 countries),1985M11,EMU convergence criterion bond yields, ,
European Union (28 countries),1985M12,EMU convergence criterion bond yields, ,
European Union (28 countries),1986M01,EMU convergence criterion bond yields, ,
European Union (28 countries),1986M02,EMU convergence criterion bond yields, ,
European Union (28 countries),1986M03,EMU convergence criterion bond yields, ,
European Union (28 countries),1986M04,EMU convergence criterion bond yields, ,
European Union (28 countries),1986M05,EMU convergence criterion bond yields, ,
European Union (28 countries),1986M06,EMU convergence criterion bond yields, ,
European Union (28 countries),1986M07,EMU convergence criterion bond yields, ,
European Union (28 countries),1986M08,EMU convergence criterion bond yields, ,
European Union (28 countries),1986M09,EMU convergence criterion bond yields, ,
European Union (28 countries),1986M10,EMU convergence criterion bond yields, ,
European Union (28 countries),1986M11,EMU convergence criterion bond yields, ,
European Union (28 countries),1986M12,EMU convergence criterion bond yields, ,
European Union (28 countries),1987M01,EMU convergence criterion bond yields, ,
European Union (28 countries),1987M02,EMU convergence criterion bond yields, ,
European Union (28 countries),1987M03,EMU convergence criterion bond yields, ,
European Union (28 countries),1987M04,EMU convergence criterion bond yields, ,
European Union (28 countries),1987M05,EMU convergence criterion bond yields, ,
European Union (28 countries),1987M06,EMU convergence criterion bond yields, ,
European Union (28 countries),1987M07,EMU convergence criterion bond yields, ,
European Union (28 countries),1987M08,EMU convergence criterion bond yields, ,
European Union (28 countries),1987M09,EMU convergence criterion bond yields, ,
European Union (28 countries),1987M10,EMU convergence criterion bond yields, ,
European Union (28 countries),1987M11,EMU convergence criterion bond yields, ,
European Union (28 countries),1987M12,EMU convergence criterion bond yields, ,
European Union (28 countries),1988M01,EMU convergence criterion bond yields, ,
European Union (28 countries),1988M02,EMU convergence criterion bond yields, ,
European Union (28 countries),1988M03,EMU convergence criterion bond yields, ,
European Union (28 countries),1988M04,EMU convergence criterion bond yields, ,
European Union (28 countries),1988M05,EMU convergence criterion bond yields, ,
European Union (28 countries),1988M06,EMU convergence criterion bond yields, ,
European Union (28 countries),1988M07,EMU convergence criterion bond yields, ,
European Union (28 countries),1988M08,EMU convergence criterion bond yields, ,
European Union (28 countries),1988M09,EMU convergence criterion bond yields, ,
European Union (28 countries),1988M10,EMU convergence criterion bond yields, ,
European Union (28 countries),1988M11,EMU convergence criterion bond yields, ,
European Union (28 countries),1988M12,EMU convergence criterion bond yields, ,
European Union (28 countries),1989M01,EMU convergence criterion bond yields, ,
European Union (28 countries),1989M02,EMU convergence criterion bond yields, ,
European Union (28 countries),1989M03,EMU convergence criterion bond yields, ,
European Union (28 countries),1989M04,EMU convergence criterion bond yields, ,
European Union (28 countries),1989M05,EMU convergence criterion bond yields, ,
