DATE,PRS85006173
1947-01-01,112.848
1947-04-01,111.284
1947-07-01,113.056
1947-10-01,111.472
1948-01-01,111.668
1948-04-01,111.641
1948-07-01,111.612
1948-10-01,110.690
1949-01-01,111.024
1949-04-01,111.234
1949-07-01,109.132
1949-10-01,109.751
1950-01-01,108.493
1950-04-01,109.121
1950-07-01,107.704
1950-10-01,107.966
1951-01-01,107.440
1951-04-01,108.703
1951-07-01,106.799
1951-10-01,107.841
1952-01-01,108.336
1952-04-01,109.229
1952-07-01,109.865
1952-10-01,109.555
1953-01-01,109.763
1953-04-01,110.053
1953-07-01,110.343
1953-10-01,111.677
1954-01-01,112.062
1954-04-01,111.236
1954-07-01,110.267
1954-10-01,109.612
1955-01-01,107.769
1955-04-01,107.943
1955-07-01,108.357
1955-10-01,108.663
1956-01-01,110.681
1956-04-01,111.589
1956-07-01,111.881
1956-10-01,111.875
1957-01-01,110.931
1957-04-01,111.803
1957-07-01,111.133
1957-10-01,111.982
1958-01-01,113.170
1958-04-01,111.864
1958-07-01,111.776
1958-10-01,109.864
1959-01-01,110.318
1959-04-01,109.699
1959-07-01,110.140
1959-10-01,110.836
1960-01-01,110.527
1960-04-01,112.512
1960-07-01,112.422
1960-10-01,113.939
1961-01-01,113.376
1961-04-01,111.551
1961-07-01,110.775
1961-10-01,110.496
1962-01-01,109.919
1962-04-01,110.436
1962-07-01,109.656
1962-10-01,109.829
1963-01-01,109.969
1963-04-01,109.381
1963-07-01,108.235
1963-10-01,108.815
1964-01-01,107.471
1964-04-01,107.600
1964-07-01,107.658
1964-10-01,109.076
1965-01-01,107.556
1965-04-01,107.489
1965-07-01,106.270
1965-10-01,105.545
1966-01-01,105.577
1966-04-01,106.789
1966-07-01,107.344
1966-10-01,106.820
1967-01-01,106.840
1967-04-01,107.538
1967-07-01,107.628
1967-10-01,107.677
1968-01-01,107.044
1968-04-01,106.591
1968-07-01,107.675
1968-10-01,108.505
1969-01-01,107.855
1969-04-01,109.252
1969-07-01,110.053
1969-10-01,111.522
1970-01-01,112.034
1970-04-01,110.478
1970-07-01,110.033
1970-10-01,110.492
1971-01-01,108.445
