Year,Netherlands,Cape_Colony,Indonesia
1,,,
730,,,
1000,,,
1150,,,
1280,,,
1300,,,
1348,875.8676072079,,
1400,1194.9645459141,,
1450,1372.5129515603,,
1500,1454.4052503999,,
1550,1797.9973499139,,
1570,1432.3443299374,,
1600,2662.1744138482,,
1650,2690.7402989057,,
1700,2105.4250738579,1703,
1720,,1631,
1750,2354.6918896369,1692,
1775,,1524,
1800,2608.9838168056,959,
1801,2562.7771243376,,
1802,2704.2450375978,,
1803,2645.7458157809,,
1804,2771.6410393887,917.1218927292,
1805,2608.8321780976,869.0646578004,
1806,2628.193773729,869.3529392069,
1807,1839.7916789144,942.4892138128,
1808,1639.6153482881,825.3320512131,
1809,,806.4206368159,
1810,,891.3809555149,
1811,,706.9593407631,
1812,,716.1269742749,
1813,,901.7075863165,
1814,,912.9586692571,
1815,1876.4657870068,758.7291343282,507.3906647192
1816,1787.6216612044,790.9903505755,550.8149485993
1817,1805.1429060626,822.3168344787,543.444725695
1818,1833.6247100645,872.286210452,532.2310915153
1819,1749.1779314678,754.4819466968,533.1905324395
1820,1873.5159072685,745.4809782062,528.4191744813
1821,1836.3117729652,879.8013546264,533.9113416385
1822,1853.3161122222,820.8073007494,533.1878570573
1823,1944.6434125009,,533.8672354993
1824,1931.2351584564,,507.2721240135
1825,1882.4705057432,,521.8065744555
1826,1912.2270671992,849.1100207907,553.1263345732
1827,2024.6837386185,,557.1419282559
1828,2068.080883322,,547.2865341787
1829,2071.5569080282,860.7854443322,532.1124541529
1830,1892.7012736979,,524.8678326004
1831,2033.6812369488,780.3877075701,517.644872913
1832,2128.9156203019,,517.4577276187
1833,2081.3864000489,,536.4257685917
1834,2099.848236129,,553.1370952737
1835,2093.751605413,,534.7995837021
1836,2162.7197246993,,524.0770169337
1837,2213.4407398643,,550.2662916314
1838,2236.6076794413,,548.5772492328
1839,2235.810894329,,537.9629862717
1840,2257.1705171588,735.5082317961,563.5224160884
1841,2279.376253712,,559.8769174101
1842,2223.8306478452,,560.6257775076
1843,2185.2306005994,684.8985950143,549.038646616
1844,2205.6988345086,,531.6181992179
1845,2189.7336081513,,499.6414152344
1846,2193.4419207542,,483.9665659494
1847,2208.21442639,588.2207444529,477.2557900859
1848,2244.5768525436,,494.1920192745
1849,2311.17831056,,476.4796243739
1850,2354.6904529019,653.9814813541,462.1866296002
1851,2388.4403767117,774.3725156471,475.3488728948
1852,2361.309773466,811.9924630661,457.6112524301
1853,2308.1812889833,871.9470849402,473.8842414772
1854,2449.0151931854,847.6474759431,453.8728424567
1855,2382.0560418508,910.2347365573,476.295453219
1856,2477.3655580126,733.0843278352,508.8597193441
1857,2434.1472194392,867.8700914566,487.5962535905
1858,2367.3804239491,759.2964097809,519.9668764483
1859,2282.8985414958,783.6873573273,520.6917034661
1860,2392.1642722398,811.8907276686,522.6314416183
1861,2326.6947913138,764.364430953,526.0430668868
1862,2418.4021890917,562.9660710456,491.3930093509
1863,2463.4096594252,601.4863214034,493.8857415106
1864,2560.9447162163,839.472544775,487.5756253124
1865,2565.6705584524,618.2734203124,501.0128689527
1866,2661.8012451637,642.6386951684,510.8482680334
1867,2571.2416238943,761.2809034353,527.2539671222
1868,2587.0428869315,769.4419550258,510.2799706685
1869,2670.7787358223,760.3886341696,502.6157572717
1870,2755.2250480369,807.3034266081,516.9418570508
1871,2738.3545435354,809.3709855523,517.59653005
1872,2768.5136407288,1192.8221510346,529.7976941939
1873,2825.2656301493,1027.7923769765,519.385373416
1874,2720.9050166905,979.4560781845,511.6798564576
1875,2876.3491209484,1091.8953092225,530.7338375392
1876,2883.44456705,1220.8964849995,527.5984761161
1877,2917.6738069865,1150.9625913605,535.5459843988
1878,2909.4275265788,1123.3333449923,551.3816489102
1879,2769.011550087,1245.1175862412,548.1937389507
1880,2927.3858316323,1438.8811257596,664.9061507894
1881,2944.7369765395,1359.7103306305,699.9278118011
1882,2985.172346796,1287.96254848,672.635250127
1883,3170.0316922123,990.2964782385,656.9889222738
1884,3190.4684845178,897.3603777256,707.2454651691
1885,3222.8695566064,758.0218898339,706.7089920159
1886,3234.59099857,895.0109623171,694.9752364277
1887,3276.9477040873,1021.349858337,695.7632472381
1888,3281.8598889066,1151.7663624592,689.4632960494
1889,3356.4344148805,1140.0091789883,682.4759252327
1890,3186.2092809686,1148.3918428837,657.0807703552
1891,3158.5028496108,1195.9331711494,669.1202648672
1892,3218.7112856787,1166.7928561718,689.4413995277
1893,3149.310580813,1155.9010739573,704.051176754
1894,3292.2430205694,1123.2650757222,706.3023618383
1895,3270.2606585035,1293.3965696505,700.227919209
1896,3362.2063377143,1350.8185943768,697.1047321189
1897,3400.5709752953,1263.529209718,697.4028740763
1898,3407.0386114757,1516.8213386164,692.1252717627
1899,3410.4529424422,1332.311936209,719.7681900456
1900,3328.9614376746,937.1736310562,734.2219087668
1901,3440.439864598,1008.5179304137,715.5772736053
1902,3532.2715297735,1204.008077966,693.4991438396
1903,3478.0004686503,1613.3719097693,724.9381427494
1904,3475.9912730217,1612.7982572524,726.5126813325
1905,3597.7291724203,1721.4275565175,727.3798011843
1906,3620.0714332261,1858.8255800391,739.1537880744
1907,3508.3359503972,1824.2702849224,749.4462968307
1908,3530.8259209979,1431.9172846513,741.0497086872
1909,3671.2542662861,1500,768.7292082139
1910,3782.9472092985,1151.094890511,806.654966813
1911,3862.7039086884,,835.6977626349
1912,3918.0594325101,,839.8466572223
1913,4048.5074626866,,868.5001741215
1914,3868.2834156444,,858.6015472977
1915,3925.6810007819,,860.3119140685
1916,3956.1870779619,,857.8209538852
1917,3626.6133152991,,850.4201586536
1918,3352.2193424171,1162.6058394161,867.2609846424
1919,4121.8839088905,,937.1708237326
1920,4219.902161215,,899.1739103222
1921,4431.3964744979,,890.4750146949
1922,4599.2150170649,,904.7967872741
1923,4634.9986013986,,912.0812264626
1924,4895.4949063877,1277.7153284672,948.0480806729
1925,5030.9767852294,1362.0190633134,955.0080682059
1926,5357.7593360996,1397.5318566166,999.5975793475
1927,5504.19812566,1424.6522128721,1050.1644180949
1928,5719.5989061076,1533.0883389587,1075.6329912812
1929,5688.7907992804,1497.1354690486,1086.6744664093
1930,5602.5304414003,1413.1233806522,1087.2871977222
1931,5185.0493811727,1334.5610494471,1001.4427973759
1932,5035.2388280192,1283.9868314181,945.4455630148
1933,4956.462304237,1422.6897825841,937.6103097766
1934,4804.9070854814,1577,935.2374857033
1935,4929.4557742471,1746.5182943212,943.5635114266
1936,5189.6788398309,1912.2147444562,984.687021764
1937,5432.6968252122,2038.0900399959,1082.086967995
1938,5249.6010362694,1956.112295782,1056.5085728979
1939,5543.9768845366,2053.2929673954,1046.2900094621
1940,4831.3599504449,2144.5776007614,1127.079800966
1941,4531.200089226,2202.0721111969,1154.2918167115
1942,4106.7285998673,2226.0364515975,
1943,3980.5185103812,2231.6103769497,
1944,2649.1738419619,2265.0577981775,
1945,2686.2594472036,2278.2873019644,
1946,4456.6282894737,2310.9802987059,
1947,5048.0789200415,2287.6641012182,
1948,5490.2040816327,2414.1210141803,
1949,5880.4740859783,2395.9986984239,739.8069183308
1950,5996.1277603748,2534.7565469027,817.2944876177
1951,6031.9684389922,2591.1064082426,864.0141629995
1952,6083.8059146283,2618.9923806009,900.8637011475
1953,6542.5327526898,2674.9482926437,913.1747761209
1954,6906.8653218255,2763.3289887081,962.1885292097
1955,7325.8448035977,2830.0960948254,948.1514480768
1956,7498.5185067503,2913.7624649573,955.3082806623
1957,7613.55741044,2951.0920124745,977.430740723
1958,7482.0716241131,2939.0056042942,946.6745134528
1959,7736.6754441166,2994.7280921501,986.7263905366
1960,8286.6097858262,3041.4726678783,1014.7428498291
1961,8201.5081908111,3091.6045542915,1047.7336885427
1962,8639.3094041356,3178.616363922,1024.7520698262
1963,8832.2163041413,3320.9611964479,951.4009138478
1964,9437.1953110054,3449.9389822666,977.7393111047
1965,9797.8359908884,3559.359607335,990.4271286309
1966,9936.2494781129,3614.9999204278,964.7351056181
1967,10341.2590889988,3760.4165152093,934.4128411806
1968,10894.340761418,3818.8554259448,1017.9065707907
1969,11462.1300396178,3946.1837250696,1105.0396190796
1970,11966.7734139738,4045.1475923,1230.7451602009
1971,12319.3693753782,4134.9251932152,1247.2276950489
1972,12597.1933418125,4109.4205632934,1364.044799362
1973,13081.2408973566,4175.1944543996,1544.2627789108
1974,13497.4237447956,4299.3717827116,1548.8775013253
1975,13373.6279463092,4270.8511749581,1514.7997323223
1976,13884.9098029886,4267.0896929228,1616.2874229309
1977,14176.8682556523,4155.3402307531,1698.1876804613
1978,14424.0186775199,4174.0735933163,1740.3979896766
1979,14647.253792266,4231.6458750589,1786.1917206614
1980,14704.5005476212,4390.0367161982,1897.7516172676
1981,14525.079901101,4480.4954958032,1969.4582787124
1982,14291.4932991745,4323.0272797695,1860.0296742109
1983,14483.2531597651,4111.8829094597,1879.8350127555
1984,14899.6998756313,4185.8392967336,1971.1983911782
1985,15282.8785112253,4006.4852266819,1984.0917643742
1986,15617.0705554364,3911.7388334999,2068.9396896407
1987,15737.0354656761,3897.3036068953,2138.4319788129
1988,16043.5310102966,3963.9938383267,2226.8939861419
1989,16695.2355483134,3955.6385522646,2387.6119820538
1990,17262.06918231,3833.7655911033,2514.4569802682
1991,17547.9043187958,3715.2336720652,2694.3092489413
1992,17719.6684592833,3564.0525433719,2841.6150804383
1993,17823.6639522401,3533.1505808047,2997.7183639881
1994,18222.9047428685,3584.2980915741,3170.3139802232
1995,18696.6973492904,3646.4036116389,3373.5941444021
1996,19247.868211938,3753.1345545026,3576.15277796
1997,19972.66124821,3802.7380867531,3684.2198084434
1998,20630.8873832076,3769.523032661,3151.0271568681
1999,21456.9492803737,3809.5095322379,3126.605952876
2000,22148.200835821,3920.4244620441,3229.1947229593
2001,22410.6650631479,3982.4074923282,3298.9813178175
2002,22290.7252772324,4083.6105688419,3399.2303221419
2003,22267.4079766435,4159.8309776765,3512.7432318417
2004,22695.8259721256,4306.1773606416,3639.6729962404
2005,23113.73626981,4490.4009712858,3799.1793524289
2006,23867.0107784343,4698.2746407093,3957.1707189325
2007,24756.3624365103,4913.6620262563,4156.3482285277
2008,25112.3115275971,5048.0866601234,4353.7095857322
2009,24073.4154840879,4943.1500826971,4500.4156885007
2010,24302.6179585142,5080.1215904748,4722.0369810549
