"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1970","1970","USD","US Dollar","0","Units",,,26.781947,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1971","1971","USD","US Dollar","0","Units",,,27.241038,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1972","1972","USD","US Dollar","0","Units",,,27.596533,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1973","1973","USD","US Dollar","0","Units",,,28.020923,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1974","1974","USD","US Dollar","0","Units",,,27.876926,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1975","1975","USD","US Dollar","0","Units",,,28.76568,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1976","1976","USD","US Dollar","0","Units",,,29.46728,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1977","1977","USD","US Dollar","0","Units",,,29.535307,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1978","1978","USD","US Dollar","0","Units",,,30.86009,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1979","1979","USD","US Dollar","0","Units",,,30.866137,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1980","1980","USD","US Dollar","0","Units",,,31.28329,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1981","1981","USD","US Dollar","0","Units",,,32.100431,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1982","1982","USD","US Dollar","0","Units",,,32.431962,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1983","1983","USD","US Dollar","0","Units",,,33.2994,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1984","1984","USD","US Dollar","0","Units",,,34.280588,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1985","1985","USD","US Dollar","0","Units",,,34.083933,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1986","1986","USD","US Dollar","0","Units",,,34.111008,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1987","1987","USD","US Dollar","0","Units",,,34.849546,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1988","1988","USD","US Dollar","0","Units",,,34.74683,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1989","1989","USD","US Dollar","0","Units",,,34.847428,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1990","1990","USD","US Dollar","0","Units",,,35.402375,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1991","1991","USD","US Dollar","0","Units",,,36.010471,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1992","1992","USD","US Dollar","0","Units",,,37.466616,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1993","1993","USD","US Dollar","0","Units",,,38.045459,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1994","1994","USD","US Dollar","0","Units",,,37.856617,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1995","1995","USD","US Dollar","0","Units",,,38.45627,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1996","1996","USD","US Dollar","0","Units",,,39.773754,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1997","1997","USD","US Dollar","0","Units",,,40.970703,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1998","1998","USD","US Dollar","0","Units",,,42.418363,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","1999","1999","USD","US Dollar","0","Units",,,42.735429,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","2000","2000","USD","US Dollar","0","Units",,,43.464952,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","2001","2001","USD","US Dollar","0","Units",,,45.258971,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","2002","2002","USD","US Dollar","0","Units",,,45.427456,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","2003","2003","USD","US Dollar","0","Units",,,46.365649,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","2004","2004","USD","US Dollar","0","Units",,,46.781501,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","2005","2005","USD","US Dollar","0","Units",,,47.094257,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","2006","2006","USD","US Dollar","0","Units",,,47.491162,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","2007","2007","USD","US Dollar","0","Units",,,47.810047,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","2008","2008","USD","US Dollar","0","Units",,,48.1533,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","2009","2009","USD","US Dollar","0","Units",,,49.112988,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2010 PPPs","2010","2010","USD","US Dollar","0","Units",,,49.004446,,
