Month,Real Dollars Per Gallon,Nominal Dollars Per Gallon
Feb 2017,2.11,2.11
Jan 2017,2.1,2.1
Dec 2016,2.2,2.2
Nov 2016,2.19,2.18
Oct 2016,2.26,2.25
Sep 2016,2.23,2.22
Aug 2016,2.2,2.18
Jul 2016,2.27,2.24
Jun 2016,2.39,2.37
May 2016,2.3,2.27
Apr 2016,2.15,2.11
Mar 2016,2.01,1.97
Feb 2016,1.8,1.76
Jan 2016,1.99,1.95
Dec 2015,2.08,2.04
Nov 2015,2.2,2.16
Oct 2015,2.33,2.29
Sep 2015,2.42,2.37
Aug 2015,2.69,2.64
Jul 2015,2.85,2.79
Jun 2015,2.86,2.8
May 2015,2.78,2.72
Apr 2015,2.54,2.47
Mar 2015,2.53,2.46
Feb 2015,2.28,2.22
Jan 2015,2.18,2.12
Dec 2014,2.61,2.54
Nov 2014,2.98,2.91
Oct 2014,3.24,3.17
Sep 2014,3.48,3.41
Aug 2014,3.57,3.49
Jul 2014,3.69,3.61
Jun 2014,3.78,3.69
May 2014,3.76,3.67
Apr 2014,3.76,3.66
Mar 2014,3.63,3.53
Feb 2014,3.46,3.36
Jan 2014,3.41,3.31
Dec 2013,3.38,3.28
Nov 2013,3.36,3.24
Oct 2013,3.47,3.34
Sep 2013,3.67,3.53
Aug 2013,3.72,3.57
Jul 2013,3.74,3.59
Jun 2013,3.79,3.63
May 2013,3.78,3.61
Apr 2013,3.74,3.57
Mar 2013,3.88,3.71
Feb 2013,3.82,3.67
Jan 2013,3.48,3.32
Dec 2012,3.47,3.31
Nov 2012,3.62,3.45
Oct 2012,3.92,3.75
Sep 2012,4.04,3.85
Aug 2012,3.93,3.72
Jul 2012,3.65,3.44
Jun 2012,3.76,3.54
May 2012,3.96,3.73
Apr 2012,4.13,3.9
Mar 2012,4.08,3.85
Feb 2012,3.8,3.58
Jan 2012,3.6,3.38
Dec 2011,3.49,3.27
Nov 2011,3.61,3.38
Oct 2011,3.69,3.45
Sep 2011,3.87,3.61
Aug 2011,3.91,3.64
Jul 2011,3.93,3.65
Jun 2011,3.97,3.68
May 2011,4.22,3.91
Apr 2011,4.11,3.8
Mar 2011,3.87,3.56
Feb 2011,3.51,3.21
Jan 2011,3.39,3.09
Dec 2010,3.29,2.99
Nov 2010,3.16,2.86
Oct 2010,3.1,2.8
Sep 2010,3.01,2.71
Aug 2010,3.04,2.73
Jul 2010,3.04,2.73
Jun 2010,3.05,2.73
May 2010,3.17,2.84
Apr 2010,3.18,2.85
Mar 2010,3.09,2.77
Feb 2010,2.95,2.64
Jan 2010,3.03,2.72
Dec 2009,2.91,2.61
Nov 2009,2.96,2.65
Oct 2009,2.86,2.55
Sep 2009,2.87,2.55
Aug 2009,2.95,2.62
Jul 2009,2.85,2.53
Jun 2009,2.97,2.63
May 2009,2.58,2.27
Apr 2009,2.34,2.05
Mar 2009,2.24,1.96
Feb 2009,2.19,1.92
Jan 2009,2.05,1.79
Dec 2008,1.94,1.69
Nov 2008,2.44,2.15
Oct 2008,3.41,3.05
Sep 2008,4.1,3.7
Aug 2008,4.19,3.78
Jul 2008,4.5,4.06
Jun 2008,4.52,4.05
May 2008,4.25,3.77
Apr 2008,3.92,3.46
Mar 2008,3.69,3.24
Feb 2008,3.45,3.03
Jan 2008,3.48,3.04
Dec 2007,3.46,3.02
Nov 2007,3.54,3.08
Oct 2007,3.25,2.8
Sep 2007,3.26,2.8
Aug 2007,3.25,2.79
Jul 2007,3.46,2.96
Jun 2007,3.58,3.06
May 2007,3.69,3.15
Apr 2007,3.35,2.85
Mar 2007,3.03,2.56
Feb 2007,2.71,2.28
Jan 2007,2.67,2.24
Dec 2006,2.76,2.31
Nov 2006,2.68,2.23
Oct 2006,2.7,2.24
Sep 2006,3.06,2.56
Aug 2006,3.51,2.95
Jul 2006,3.56,2.98
Jun 2006,3.47,2.88
May 2006,3.5,2.91
Apr 2006,3.31,2.74
Mar 2006,2.95,2.42
Feb 2006,2.77,2.28
Jan 2006,2.82,2.32
Dec 2005,2.68,2.19
Nov 2005,2.76,2.26
Oct 2005,3.31,2.72
Sep 2005,3.54,2.9
Aug 2005,3.08,2.49
Jul 2005,2.85,2.29
Jun 2005,2.7,2.16
May 2005,2.71,2.16
Apr 2005,2.81,2.24
Mar 2005,2.61,2.08
Feb 2005,2.41,1.91
Jan 2005,2.32,1.83
Dec 2004,2.33,1.84
Nov 2004,2.51,1.98
Oct 2004,2.54,2
Sep 2004,2.39,1.87
Aug 2004,2.41,1.88
Jul 2004,2.45,1.91
Jun 2004,2.53,1.97
May 2004,2.56,1.98
Apr 2004,2.33,1.8
Mar 2004,2.25,1.74
Feb 2004,2.14,1.65
Jan 2004,2.05,1.57
Dec 2003,1.93,1.48
Nov 2003,1.98,1.51
Oct 2003,2.05,1.56
Sep 2003,2.2,1.68
Aug 2003,2.13,1.62
Jul 2003,2,1.51
Jun 2003,1.98,1.49
May 2003,1.99,1.5
Apr 2003,2.1,1.59
Mar 2003,2.23,1.69
Feb 2003,2.13,1.61
Jan 2003,1.94,1.46
Dec 2002,1.85,1.39
Nov 2002,1.9,1.42
Oct 2002,1.94,1.45
Sep 2002,1.88,1.4
Aug 2002,1.88,1.4
Jul 2002,1.88,1.4
Jun 2002,1.87,1.38
May 2002,1.88,1.39
Apr 2002,1.89,1.4
Mar 2002,1.7,1.25
Feb 2002,1.52,1.11
Jan 2002,1.51,1.11
Dec 2001,1.49,1.09
Nov 2001,1.6,1.17
Oct 2001,1.8,1.32
Sep 2001,2.07,1.52
Aug 2001,1.94,1.42
Jul 2001,1.94,1.42
Jun 2001,2.21,1.62
May 2001,2.33,1.7
Apr 2001,2.13,1.55
Mar 2001,1.94,1.41
Feb 2001,2,1.45
Jan 2001,2,1.45
Dec 2000,2,1.44
Nov 2000,2.11,1.52
Oct 2000,2.14,1.53
Sep 2000,2.17,1.55
Aug 2000,2.06,1.46
Jul 2000,2.18,1.55
Jun 2000,2.3,1.63
May 2000,2.11,1.49
Apr 2000,2.08,1.46
Mar 2000,2.15,1.52
Feb 2000,1.97,1.38
Jan 2000,1.85,1.29
Dec 1999,1.83,1.27
Nov 1999,1.8,1.25
Oct 1999,1.8,1.24
Sep 1999,1.82,1.26
Aug 1999,1.77,1.22
Jul 1999,1.68,1.16
Jun 1999,1.63,1.11
May 1999,1.65,1.13
Apr 1999,1.65,1.13
Mar 1999,1.45,0.98
Feb 1999,1.36,0.92
Jan 1999,1.38,0.94
Dec 1998,1.39,0.95
Nov 1998,1.47,1
Oct 1998,1.51,1.02
Sep 1998,1.5,1.01
Aug 1998,1.52,1.03
Jul 1998,1.57,1.06
Jun 1998,1.59,1.06
May 1998,1.59,1.06
Apr 1998,1.54,1.03
Mar 1998,1.52,1.02
Feb 1998,1.57,1.05
Jan 1998,1.63,1.09
Dec 1997,1.7,1.13
Nov 1997,1.76,1.17
Oct 1997,1.8,1.2
Sep 1997,1.85,1.23
Aug 1997,1.85,1.22
Jul 1997,1.78,1.17
Jun 1997,1.81,1.2
May 1997,1.82,1.2
Apr 1997,1.82,1.2
Mar 1997,1.83,1.21
Feb 1997,1.87,1.23
Jan 1997,1.88,1.24
Dec 1996,1.88,1.24
Nov 1996,1.88,1.23
Oct 1996,1.85,1.2
Sep 1996,1.85,1.2
Aug 1996,1.86,1.21
Jul 1996,1.9,1.23
Jun 1996,1.94,1.26
May 1996,1.98,1.28
Apr 1996,1.91,1.23
Mar 1996,1.77,1.14
Feb 1996,1.7,1.09
Jan 1996,1.71,1.09
Dec 1995,1.69,1.07
Nov 1995,1.68,1.06
Oct 1995,1.72,1.09
Sep 1995,1.76,1.11
Aug 1995,1.78,1.12
Jul 1995,1.83,1.15
Jun 1995,1.9,1.19
May 1995,1.88,1.18
Apr 1995,1.78,1.11
Mar 1995,1.72,1.07
Feb 1995,1.72,1.07
Jan 1995,1.74,1.08
Dec 1994,1.76,1.09
Nov 1994,1.81,1.12
Oct 1994,1.81,1.11
Sep 1994,1.86,1.14
Aug 1994,1.88,1.15
Jul 1994,1.81,1.11
Jun 1994,1.77,1.08
May 1994,1.72,1.05
Apr 1994,1.69,1.03
Mar 1994,1.66,1.01
Feb 1994,1.67,1.01
Jan 1994,1.66,1
Dec 1993,1.68,1.01
Nov 1993,1.77,1.07
Oct 1993,1.82,1.09
Sep 1993,1.76,1.05
Aug 1993,1.78,1.06
Jul 1993,1.81,1.08
Jun 1993,1.84,1.1
May 1993,1.85,1.1
Apr 1993,1.82,1.08
Mar 1993,1.78,1.05
Feb 1993,1.79,1.05
Jan 1993,1.8,1.06
Dec 1992,1.84,1.08
Nov 1992,1.9,1.11
Oct 1992,1.91,1.11
Sep 1992,1.93,1.12
Aug 1992,1.93,1.12
Jul 1992,1.96,1.14
Jun 1992,1.98,1.14
May 1992,1.92,1.11
Apr 1992,1.83,1.05
Mar 1992,1.77,1.01
Feb 1992,1.76,1.01
Jan 1992,1.79,1.02
Dec 1991,1.89,1.08
Nov 1991,1.93,1.1
Oct 1991,1.92,1.09
Sep 1991,1.96,1.11
Aug 1991,1.98,1.11
Jul 1991,1.95,1.1
Jun 1991,2.01,1.13
May 1991,2.01,1.13
Apr 1991,1.93,1.08
Mar 1991,1.87,1.04
Feb 1991,1.97,1.09
Jan 1991,2.13,1.18
Dec 1990,2.37,1.31
Nov 1990,2.43,1.34
Oct 1990,2.44,1.34
Sep 1990,2.3,1.26
Aug 1990,2.13,1.16
Jul 1990,1.95,1.05
Jun 1990,1.97,1.06
May 1990,1.94,1.03
Apr 1990,1.91,1.02
Mar 1990,1.86,0.99
Feb 1990,1.88,0.99
Jan 1990,1.9,1
Dec 1989,1.79,0.93
Nov 1989,1.85,0.96
Oct 1989,1.91,0.99
Sep 1989,1.93,0.99
Aug 1989,1.99,1.02
Jul 1989,2.06,1.06
Jun 1989,2.11,1.08
May 1989,2.14,1.09
Apr 1989,2.04,1.04
Mar 1989,1.79,0.9
Feb 1989,1.76,0.88
Jan 1989,1.75,0.87
Dec 1988,1.77,0.88
Nov 1988,1.83,0.91
Oct 1988,1.86,0.92
Sep 1988,1.9,0.94
Aug 1988,1.94,0.95
Jul 1988,1.91,0.93
Jun 1988,1.9,0.92
May 1988,1.91,0.93
Apr 1988,1.87,0.9
Mar 1988,1.8,0.87
Feb 1988,1.82,0.87
Jan 1988,1.86,0.89
Dec 1987,1.92,0.91
Nov 1987,1.97,0.93
Oct 1987,1.98,0.94
Sep 1987,2.02,0.95
Aug 1987,2.04,0.96
Jul 1987,1.99,0.94
Jun 1987,1.98,0.92
May 1987,1.96,0.91
Apr 1987,1.95,0.91
Mar 1987,1.89,0.87
Feb 1987,1.87,0.86
Jan 1987,1.78,0.82
Dec 1986,1.7,0.78
Nov 1986,1.71,0.78
Oct 1986,1.75,0.79
Sep 1986,1.81,0.82
Aug 1986,1.79,0.81
Jul 1986,1.89,0.85
Jun 1986,2.04,0.92
May 1986,1.99,0.89
Apr 1986,1.92,0.86
Mar 1986,2.1,0.94
Feb 1986,2.38,1.08
Jan 1986,2.54,1.15
Dec 1985,2.57,1.16
Nov 1985,2.6,1.17
Oct 1985,2.61,1.17
Sep 1985,2.65,1.18
Aug 1985,2.69,1.2
Jul 1985,2.72,1.21
Jun 1985,2.73,1.21
May 1985,2.72,1.2
Apr 1985,2.67,1.18
Mar 1985,2.55,1.12
Feb 1985,2.48,1.09
Jan 1985,2.53,1.1
Dec 1984,2.64,1.15
Nov 1984,2.69,1.17
Oct 1984,2.71,1.17
Sep 1984,2.7,1.17
Aug 1984,2.7,1.16
Jul 1984,2.74,1.18
Jun 1984,2.8,1.2
May 1984,2.83,1.21
Apr 1984,2.82,1.2
Mar 1984,2.77,1.17
Feb 1984,2.76,1.17
Jan 1984,2.78,1.17
Dec 1983,2.83,1.18
Nov 1983,2.88,1.2
Oct 1983,2.93,1.22
Sep 1983,2.99,1.24
Aug 1983,3.03,1.25
Jul 1983,3.05,1.25
Jun 1983,3.04,1.24
May 1983,3.01,1.23
Apr 1983,2.92,1.19
Mar 1983,2.76,1.12
Feb 1983,2.83,1.14
Jan 1983,2.94,1.18
Dec 1982,3.01,1.21
Nov 1982,3.08,1.24
Oct 1982,3.11,1.26
Sep 1982,3.15,1.27
Aug 1982,3.2,1.29
Jul 1982,3.22,1.3
Jun 1982,3.19,1.28
May 1982,3.06,1.21
Apr 1982,3.06,1.2
Mar 1982,3.2,1.25
Feb 1982,3.31,1.29
Jan 1982,3.37,1.31
Dec 1981,3.52,1.37
Nov 1981,3.54,1.37
Oct 1981,3.56,1.37
Sep 1981,3.59,1.38
Aug 1981,3.62,1.38
Jul 1981,3.66,1.38
Jun 1981,3.73,1.39
May 1981,3.79,1.4
Apr 1981,3.84,1.41
Mar 1981,3.88,1.42
Feb 1981,3.81,1.38
Jan 1981,3.61,1.3
Dec 1980,3.53,1.26
Nov 1980,3.54,1.25
Oct 1980,3.58,1.25
Sep 1980,3.63,1.26
Aug 1980,3.69,1.27
Jul 1980,3.73,1.27
Jun 1980,3.73,1.27
May 1980,3.76,1.27
Apr 1980,3.79,1.26
Mar 1980,3.79,1.25
Feb 1980,3.71,1.21
Jan 1980,3.52,1.13
Dec 1979,3.36,1.07
Nov 1979,3.32,1.04
Oct 1979,3.32,1.03
Sep 1979,3.33,1.02
Aug 1979,3.25,0.99
Jul 1979,3.15,0.95
Jun 1979,3.03,0.9
May 1979,2.87,0.84
Apr 1979,2.76,0.8
Mar 1979,2.62,0.76
Feb 1979,2.56,0.73
Jan 1979,2.54,0.72
Dec 1978,2.52,0.71
Nov 1978,2.5,0.7
Oct 1978,2.49,0.69
Sep 1978,2.51,0.69
Aug 1978,2.51,0.68
Jul 1978,2.5,0.67
Jun 1978,2.47,0.66
May 1978,2.46,0.66
Apr 1978,2.46,0.65
Mar 1978,2.48,0.65
Feb 1978,2.49,0.65
Jan 1978,2.51,0.65
Dec 1977,2.59,0.67
Nov 1977,2.6,0.66
Oct 1977,2.62,0.67
Sep 1977,2.64,0.67
Aug 1977,2.65,0.67
Jul 1977,2.66,0.67
Jun 1977,2.67,0.67
May 1977,2.66,0.66
Apr 1977,2.63,0.65
Mar 1977,2.62,0.64
Feb 1977,2.61,0.64
Jan 1977,2.59,0.63
Dec 1976,2.6,0.63
Nov 1976,2.63,0.63
Oct 1976,2.64,0.63
Sep 1976,2.65,0.63
Aug 1976,2.66,0.63
Jul 1976,2.65,0.62
Jun 1976,2.64,0.62
May 1976,2.58,0.6
Apr 1976,2.56,0.59
Mar 1976,2.57,0.59
Feb 1976,2.6,0.6
Jan 1976,2.63,0.61
