year,gdp.cap,inflation,unemployment,consumption.real,investments.real
1700,1351,-12.8787878788,,,
1701,1463,-13.0434782609,,,
1702,1415,-1,,,
1703,1313,-5.0505050505,,,
1704,1556,4.2553191489,,,
1705,1473,-9.1836734694,,,
1706,1243,13.4831460674,,,
1707,1392,-12.8712871287,,,
1708,1476,4.5454545455,,,
1709,1276,16.3043478261,,,
1710,1157,14.0186915888,,,
1711,1263,10.6557377049,,,
1712,1264,-25.1851851852,,,
1713,1208,-3.9603960396,,,
1714,1324,6.1855670103,,,
1715,1285,0.9708737864,,,
1716,1326,-4.8076923077,,,
1717,1391,-4.0404040404,,,
1718,1459,-2.1052631579,,,
1719,1424,4.3010752688,,,
1720,1520,5.1546391753,,,
1721,1462,-1.9607843137,,,
1722,1476,-8,,,
1723,1436,-3.2608695652,,,
1724,1416,5.6179775281,,,
1725,1448,3.1914893617,,,
1726,1391,5.1546391753,,,
1727,1375,-5.8823529412,,,
1728,1430,3.125,,,
1729,1373,5.0505050505,,,
1730,1422,-8.6538461538,,,
1731,1400,-7.3684210526,,,
1732,1487,1.1363636364,,,
1733,1512,-4.4943820225,,,
1734,1491,3.5294117647,,,
1735,1442,1.1363636364,,,
1736,1537,-2.2471910112,,,
1737,1446,6.8965517241,,,
1738,1466,-2.1505376344,,,
1739,1447,-2.1978021978,,,
1740,1415,12.3595505618,,,
1741,1453,8,,,
1742,1502,-8.3333333333,,,
1743,1467,-5.0505050505,,,
1744,1437,-10.6382978723,,,
1745,1443,1.1904761905,,,
1746,1479,9.4117647059,,,
1747,1540,-3.2258064516,,,
1748,1520,4.4444444444,,,
1749,1501,2.1276595745,,,
1750,1513,-1.0416666667,,,
1751,1471,2.6315789474,,,
1752,1534,6.4102564103,,,
1753,1536,-1.2048192771,,,
1754,1483,-1.2195121951,,,
1755,1518,-4.9382716049,,,
1756,1480,7.7922077922,,,
1757,1559,27.7108433735,,,
1758,1577,-5.6603773585,,,
1759,1596,-13,,,
1760,1633,-8.0459770115,,,
1761,1687,-1.25,,,
1762,1634,3.7974683544,,,
1763,1632,2.4390243902,,,
1764,1623,9.5238095238,,,
1765,1598,5.4347826087,,,
1766,1612,0,,,
1767,1619,15.4639175258,,,
1768,1630,-2.6785714286,,,
1769,1711,-13.7614678899,,,
1770,1653,4.2553191489,,,
1771,1674,4.7267355982,,,
1772,1619,4.9365303244,,,
1773,1635,-0.9408602151,,,
1774,1588,-0.1356852103,,,
1775,1621,-2.3097826087,,,
1776,1658,-2.7816411683,,,
1777,1690,5.1502145923,,,
1778,1661,-1.4965986395,,,
1779,1641,-4.2817679558,,,
1780,1707,3.6075036075,,,
1781,1737,5.9888579387,,,
1782,1707,-1.3140604468,,,
1783,1695,-1.3315579228,,,
1784,1686,-1.7543859649,,,
1785,1658,-3.1593406593,,,
1786,1670,-1.134751773,,,
1787,1623,1.4347202296,,,
1788,1603,1.8387553041,,,
1789,1617,3.75,,,
1790,1720,2.6773761714,,,
1791,1706,0.260756193,,,
1792,1755,-0.1300390117,,,
1793,1708,3.6458333333,,,
1794,1639,6.1557788945,,,
1795,1796,12.3076923077,,,
1796,1810,-3.6880927292,,,
1797,1774,-4.3763676149,,,
1798,1770,2.5171624714,,,
1799,1796,13.9508928571,,,
1800,1872,26.2487757101,,,
1801,1876,-4.3444530644,,,
1802,1882,-14.6796431468,,,
1803,1821,0.4752851711,,,
1804,1794,8.3254493851,,,
1805,1875,5.5895196507,,,
1806,1841,-2.64681555,,,
1807,1934,-2.6338147833,,,
1808,1820,5.7591623037,,,
1809,1853,6.2706270627,,,
1810,1948,4.2701863354,,,
1811,1902,-0.6701414743,,,
1812,1796,8.2458770615,,,
1813,1864,1.8005540166,,,
1814,1795,-12.1088435374,,,
1815,1954,-9.907120743,,,
1816,1821,9.5360824742,,,
1817,1822,1.6470588235,,,
1818,1793,-2.5462962963,,,
1819,1738,-2.2961203484,,,
1820,1851,-6.3209076175,,,
1821,1852,-7.2664359862,,,
1822,1857,-5.223880597,,,
1823,1881,-0.0984251969,,,
1824,1956,5.0246305419,,,
1825,1972,4.1275797373,,,
1826,1843,-3.0630630631,,,
1827,1959,-0.2788104089,,,
1828,1938,-2.7958993476,,,
1829,1928,2.30105465,,,
1830,1988,-3.373945642,,33341.5202068419,1348.8940199646
1831,2052,1.5518913676,,34049.2411546287,1608.2967161116
1832,2002,-4.9665711557,,34127.8768154939,1193.2524022763
1833,2011,-5.4271356784,,34599.690780685,1193.2524022763
1834,2075,-0.7438894793,,35543.3187110673,1452.6550984234
1835,2159,-5.7815845824,,36329.6753197193,2127.1021084056
1836,2176,5,,37902.3885370231,2023.3410299468
1837,2139,3.354978355,,37430.574571832,2386.5048045527
1838,2235,1.8848167539,,38531.4738239447,2749.6685791585
1839,2310,5.8581706064,,40025.5513803834,2853.4296576173
1840,2222,-1.1650485437,,39160.5591108662,2853.4296576173
1841,2122,-2.8487229862,,38924.6521282706,1867.6994122586
1842,2085,-2.0222446916,,38374.2025022143,1712.0577945704
1843,2131,-10.7327141383,,38688.7451456751,1608.2967161116
1844,2224,3.4682080925,,40733.2723281701,1712.0577945704
1845,2320,-2.1229050279,,42620.5281889347,2438.3853437821
1846,2456,9.9315068493,,43957.334423643,3424.1155891408
1847,2408,11.0072689512,,43406.8847975867,4254.2042168113
1848,2523,-15.3414405987,,44586.4197105646,3787.2793637466
1849,2584,-4.4198895028,,45608.6833018121,3579.757206829
1850,2562,-2.1965317919,,45451.4119800817,2957.1907360761
1851,2698,-0.5910165485,,47260.0321799811,3009.0712753055
1852,2738,-1.1890606421,,47653.2104843071,3320.354510682
1853,2800,10.348977136,,49461.8306842065,3268.4739714526
1854,2828,11.6684841876,,49855.0089885325,3320.354510682
1855,2843,0.48828125,3.7909301294,49068.6523798806,3164.7128929938
1856,2946,-0.4859086492,3.5727565768,51349.0865449711,2905.3101968467
1857,2929,-3.61328125,4.0088323828,52843.1641014098,2853.4296576173
1858,2917,-8.4093211753,5.3095848008,52607.2571188142,2853.4296576173
1859,3007,-0.2212389381,3.3259834669,54730.4199621745,3112.8323537643
1860,3040,9.866962306,2.9841916846,55280.8695882308,3320.354510682
1861,3081,2.7245206862,3.7798890851,57718.5750750518,3631.6377460584
1862,3089,-2.1611001965,4.7493085643,58662.2030054341,3942.9209814348
1863,3134,-3.2128514056,4.2069904804,59605.8309358164,4461.7263737289
1864,3164,-3.3195020747,3.0350236324,61178.5441531203,4773.0096091053
1865,3277,2.1459227468,2.993563606,63537.6139790761,4980.531766023
1866,3282,7.4579831933,3.3345653148,65739.4124833015,4773.0096091053
1867,3217,5.2785923754,4.8939460822,66132.5907876275,4409.8458344995
