year,gdp,inflation
1929,858,
1930,748,
1931,623,
1932,476,
1933,455,
1934,528,
1935,583,
1936,662,
1937,721,
1938,672,
1939,713,
1940,779,
1941,970,
1942,1231,
1943,1485,
1944,1623,
1945,1631,
1946,1611,
1947,1734,
1948,1874,
1949,1829,
1950,1979,
1951,2251,
1952,2343,
1953,2443,
1954,2409,
1955,2579,
1956,2676,
1957,2772,
1958,2768,
1959,2950,
1960,3006,1.5099294272
1961,3066,1.0751818914
1962,3243,1.1160714286
1963,3373,1.2141280364
1964,3573,1.3086150491
1965,3827,1.6684607099
1966,4146,2.9910005295
1967,4336,2.7756360834
1968,4695,4.2177210965
1969,5031,5.4147004724
1970,5246,5.8952959027
1971,5623,4.2559289244
1972,6109,3.3056147346
1973,6740,6.2200638637
1974,7241,11.0352602243
1975,7820,9.1319307347
1976,8609,5.7370270831
1977,9469,6.4864600645
1978,10585,7.6474638514
1979,11693,11.2660440919
1980,12570,13.5093703293
1981,13960,10.3155339806
1982,14405,6.1606160616
1983,15526,3.2124352332
1984,17093,4.3172690763
1985,18225,3.5611164581
1986,19071,1.8587360595
1987,20055,3.7408759124
1988,21434,4.0090882439
1989,22870,4.8270030301
1990,23901,5.3979564399
1991,24352,4.2349639645
1992,25452,3.0288196781
1993,26428,2.9516569664
1994,27742,2.6074415922
1995,28749,2.8054196885
1996,30033,2.9312041999
1997,31538,2.3376899373
1998,32913,1.5522790987
1999,34585,2.188027197
2000,36419,3.3768572715
2001,37240,2.8261711189
2002,38122,1.5860316265
2003,39606,2.2700949734
2004,41857,2.6772366931
2005,44237,3.3927468455
2006,46369,3.2259441007
2007,47987,2.8526724815
2008,48330,3.8391002967
2009,46930,-0.3555462663
2010,48302,1.6400434424
2011,49710,3.1568415686
2012,51370,2.0693372653
2013,52688,1.4648326556
2014,54484,1.6222229774
2015,56066,0.1186271356
