month,arabica,robusta
1980M1,168.6700134277,162.5599975586
1980M2,164.8299865723,162
1980M3,184.3800048828,169.8900146484
1980M4,180.8099975586,162.8999938965
1980M5,190.5400085449,174.0599975586
1980M6,181.4100036621,169.0100097656
1980M7,155.6700134277,147.9400024414
1980M8,135.9899902344,132.049987793
1980M9,125.8799972534,124.9599914551
1980M10,126.0899963379,125.4899902344
1980M11,114.859992981,116.359992981
1980M12,121.2099914551,118.5400085449
1981M1,127.9800109863,122.1299972534
1981M2,125.109992981,115.4800109863
1981M3,125.9299926758,113.9200134277
1981M4,128.200012207,112.9299926758
1981M5,125.9299926758,108.3799972534
1981M6,111.9400024414,85.2300109863
1981M7,120.0100097656,88.25
1981M8,124.0899963379,90.3900146484
1981M9,126.0199890137,88.8800048828
1981M10,136.4100036621,98.5100097656
1981M11,143.7900085449,106.3299865723
1981M12,141.6700134277,104.5199890137
1982M1,143.8999938965,106.0100097656
1982M2,155,115.6299972534
1982M3,144.8299865723,112.8299865723
1982M4,141.3999938965,106.6700134277
1982M5,137,102.9700012207
1982M6,141.0199890137,102.8500137329
1982M7,131.1099853516,99.5700073242
1982M8,132.8299865723,103.7900085449
1982M9,136.7300109863,112
1982M10,141.1799926758,118.2699890137
1982M11,137.8599853516,123.1499862671
1982M12,133.7900085449,128.7600097656
1983M1,128.5299987793,124.7099914551
1983M2,125.8700027466,122.1499862671
1983M3,124.2699890137,119.9899902344
1983M4,123.9599914551,120.4200134277
1983M5,128.1499938965,122.640007019
1983M6,126.3999862671,120.549987793
1983M7,127.859992981,121.0100097656
1983M8,129.3099975586,120.8999862671
1983M9,132.5599975586,122.1000137329
1983M10,141.2799987793,130.3399963379
1983M11,145.549987793,130.3800048828
1983M12,146.5400085449,134.2099914551
1984M1,143.1400146484,134.5
1984M2,145.7200012207,137.1900024414
1984M3,148.2099914551,138.8800048828
1984M4,150.3999938965,137.5799865723
1984M5,149.9400024414,146.2799987793
1984M6,146.6600036621,143.6700134277
1984M7,143.3699951172,138.3200073242
1984M8,145.2900085449,140.1099853516
1984M9,140.2399902344,142.049987793
1984M10,136.1199951172,135.0100097656
