"deaths","year","corps","fisher"
0,1875,"G","no"
0,1875,"I","no"
0,1875,"II","yes"
0,1875,"III","yes"
0,1875,"IV","yes"
0,1875,"V","yes"
0,1875,"VI","no"
1,1875,"VII","yes"
1,1875,"VIII","yes"
0,1875,"IX","yes"
0,1875,"X","yes"
0,1875,"XI","no"
1,1875,"XIV","yes"
0,1875,"XV","yes"
2,1876,"G","no"
0,1876,"I","no"
0,1876,"II","yes"
0,1876,"III","yes"
1,1876,"IV","yes"
0,1876,"V","yes"
0,1876,"VI","no"
0,1876,"VII","yes"
0,1876,"VIII","yes"
0,1876,"IX","yes"
0,1876,"X","yes"
0,1876,"XI","no"
1,1876,"XIV","yes"
1,1876,"XV","yes"
2,1877,"G","no"
0,1877,"I","no"
0,1877,"II","yes"
0,1877,"III","yes"
0,1877,"IV","yes"
0,1877,"V","yes"
1,1877,"VI","no"
1,1877,"VII","yes"
0,1877,"VIII","yes"
0,1877,"IX","yes"
1,1877,"X","yes"
0,1877,"XI","no"
2,1877,"XIV","yes"
0,1877,"XV","yes"
1,1878,"G","no"
2,1878,"I","no"
2,1878,"II","yes"
1,1878,"III","yes"
1,1878,"IV","yes"
0,1878,"V","yes"
0,1878,"VI","no"
0,1878,"VII","yes"
0,1878,"VIII","yes"
0,1878,"IX","yes"
1,1878,"X","yes"
0,1878,"XI","no"
1,1878,"XIV","yes"
0,1878,"XV","yes"
0,1879,"G","no"
0,1879,"I","no"
0,1879,"II","yes"
1,1879,"III","yes"
1,1879,"IV","yes"
2,1879,"V","yes"
2,1879,"VI","no"
0,1879,"VII","yes"
1,1879,"VIII","yes"
0,1879,"IX","yes"
0,1879,"X","yes"
2,1879,"XI","no"
1,1879,"XIV","yes"
0,1879,"XV","yes"
0,1880,"G","no"
3,1880,"I","no"
2,1880,"II","yes"
1,1880,"III","yes"
1,1880,"IV","yes"
1,1880,"V","yes"
0,1880,"VI","no"
0,1880,"VII","yes"
0,1880,"VIII","yes"
2,1880,"IX","yes"
1,1880,"X","yes"
4,1880,"XI","no"
3,1880,"XIV","yes"
0,1880,"XV","yes"
1,1881,"G","no"
0,1881,"I","no"
0,1881,"II","yes"
2,1881,"III","yes"
1,1881,"IV","yes"
0,1881,"V","yes"
0,1881,"VI","no"
1,1881,"VII","yes"
0,1881,"VIII","yes"
1,1881,"IX","yes"
0,1881,"X","yes"
0,1881,"XI","no"
0,1881,"XIV","yes"
0,1881,"XV","yes"
1,1882,"G","no"
2,1882,"I","no"
0,1882,"II","yes"
0,1882,"III","yes"
0,1882,"IV","yes"
0,1882,"V","yes"
1,1882,"VI","no"
0,1882,"VII","yes"
1,1882,"VIII","yes"
1,1882,"IX","yes"
2,1882,"X","yes"
1,1882,"XI","no"
4,1882,"XIV","yes"
1,1882,"XV","yes"
0,1883,"G","no"
0,1883,"I","no"
1,1883,"II","yes"
2,1883,"III","yes"
0,1883,"IV","yes"
1,1883,"V","yes"
2,1883,"VI","no"
1,1883,"VII","yes"
