"group","family","species","mass_kg"
"Mysticeti ","Balaenopteridae","Balaenoptera musculus",175000
"Mysticeti ","Balaenidae","Balaena mysticetus",93750
"Mysticeti ","Balaenopteridae","Balaenoptera physalus",72500
"Mysticeti ","Balaenidae","Eubalaena australis",61500
"Mysticeti ","Balaenidae","Eubalaena glacialis",56500
"Odontoceti","Physeteridae","Physeter catodon",35512
"Mysticeti ","Balaenopteridae","Megaptera novaeangliae",32500
"Mysticeti ","Eschrichtiidae","Eschrichtius robustus",31750
"Mysticeti ","Balaenopteridae","Balaenoptera borealis",25000
"Mysticeti ","Balaenopteridae","Balaenoptera edeni",21250
"Mysticeti ","Balaenopteridae","Balaenoptera acutorostrata",12000
"Odontoceti","Ziphiidae","Berardius bairdii",11690
"Odontoceti","Ziphiidae","Berardius arnuxii",7000
"Odontoceti","Delphinidae","Orcinus orca",6196
"Odontoceti","Ziphiidae","Hyperoodon ampullatus",5800
"Odontoceti","Ziphiidae","Mesoplodon stejnegeri",4800
"Odontoceti","Ziphiidae","Ziphius cavirostris",3888
"Odontoceti","Ziphiidae","Mesoplodon bidens",3400
"Odontoceti","Ziphiidae","Mesoplodon europaeus",3400
"Mysticeti ","Neobalaenidae","Caperea marginata",3200
"Odontoceti","Ziphiidae","Hyperoodon planifrons",3000
"Odontoceti","Ziphiidae","Mesoplodon bowdoini",2600
"Odontoceti","Ziphiidae","Tasmacetus shepherdi",2500
"Odontoceti","Ziphiidae","Indopacetus pacificus",2200
"Odontoceti","Delphinidae","Globicephala macrorhynchus",2163
"Odontoceti","Ziphiidae","Mesoplodon grayi",2000
"Odontoceti","Ziphiidae","Mesoplodon carlhubbsi",1767
"Odontoceti","Ziphiidae","Mesoplodon densirostris",1666
"Odontoceti","Ziphiidae","Mesoplodon mirus",1633
"Odontoceti","Delphinidae","Pseudorca crassidens",1573
"Odontoceti","Ziphiidae","Mesoplodon ginkgodens",1500
"Odontoceti","Ziphiidae","Mesoplodon layardii",1500
"Odontoceti","Monodontidae","Delphinapterus leucas",1490
"Odontoceti","Delphinidae","Globicephala melas",1467
"Odontoceti","Monodontidae","Monodon monoceros",1267
"Odontoceti","Ziphiidae","Mesoplodon hectori",1000
"Odontoceti","Physeteridae","Kogia breviceps",427
"Odontoceti","Delphinidae","Grampus griseus",394
"Odontoceti","Delphinidae","Tursiops truncatus",356
"Odontoceti","Delphinidae","Sousa chinensis",257
"Odontoceti","Physeteridae","Kogia simus",233
"Odontoceti","Delphinidae","Peponocephala electra",230
"Odontoceti","Delphinidae","Lagenorhynchus albirostris",222
"Odontoceti","Delphinidae","Lagenorhynchus acutus",198
"Odontoceti","Delphinidae","Lagenodelphis hosei",198
"Odontoceti","Delphinidae","Feresa attenuata",198
"Odontoceti","Delphinidae","Sousa teuszii",191
"Odontoceti","Platanistidae","Lipotes vexillifer",188
"Odontoceti","Phocoenidae","Phocoenoides dalli",176
"Odontoceti","Delphinidae","Stenella coeruleoalba",149
"Odontoceti","Platanistidae","Inia geoffrensis",146
"Odontoceti","Delphinidae","Orcaella brevirostris",145
"Odontoceti","Delphinidae","Steno bredanensis",145
"Odontoceti","Delphinidae","Delphinus delphis",138
"Odontoceti","Delphinidae","Stenella frontalis",134
"Odontoceti","Delphinidae","Lagenorhynchus obliquidens",128
"Odontoceti","Delphinidae","Stenella attenuata",119
"Odontoceti","Delphinidae","Lagenorhynchus australis",117
"Odontoceti","Delphinidae","Lissodelphis peronii",116
"Odontoceti","Delphinidae","Lissodelphis borealis",114
"Odontoceti","Platanistidae","Platanista gangetica",112
"Odontoceti","Delphinidae","Lagenorhynchus cruciger",110
"Odontoceti","Delphinidae","Lagenorhynchus obscurus",96
"Odontoceti","Platanistidae","Platanista minor",84
"Odontoceti","Delphinidae","Stenella clymene",78
"Odontoceti","Delphinidae","Cephalorhynchus commersonii",78
"Odontoceti","Phocoenidae","Phocoena spinipinnis",72
"Odontoceti","Phocoenidae","Australophocaena dioptrica",65
"Odontoceti","Phocoenidae","Neophocaena phocaenoides",63
"Odontoceti","Delphinidae","Stenella longirostris",59
"Odontoceti","Delphinidae","Cephalorhynchus eutropia",56
"Odontoceti","Phocoenidae","Phocoena phocoena",55
"Odontoceti","Delphinidae","Cephalorhynchus hectori",54
"Odontoceti","Delphinidae","Cephalorhynchus heavisidii",52
"Odontoceti","Phocoenidae","Phocoena sinus",42
"Odontoceti","Delphinidae","Sotalia fluviatilis",42
"Odontoceti","Platanistidae","Pontoporia blainvillei",37
