 ,Country,DTT7090,GEA7090,LGDPEA70,LINV7089,RL,SOPEN,SXP
1,ALGERIA,6.09,1.48,8.25,3.3,2,0,0.19
2,BENIN,-3.11,-0.8,7.68,1.49,0,0.04,0.08
3,BURKINA FASO,-0.61,1.72,6.54,2.25,0,0,0.04
4,BURUNDI,-6.46,2.8,6.43,1.82,0,0,0.1
5,CAMEROON,-2.54,2.56,7.29,2.36,3,0,0.18
6,CENTRAL AFR.R.,0.09,-1.11,7.2,1.67,0,0,0.09
7,CONGO,7.44,1.74,8.03,2.22,0,0,0.08
8,EGYPT,-0.52,2.23,7.67,1.64,1,0,0.07
9,GAMBIA,-2.04,0.61,7.17,1.8,0,0.19,0.36
10,GHANA,-3.26,-0.73,7.62,1.62,1,0.19,0.21
11,IVORY COAST,-1.2,-1.29,8.07,2.31,0,0,0.29
12,KENYA,-0.8,2.24,7.11,2.68,2,0.12,0.18
13,MADAGASCAR,-2.15,-2.37,7.67,0.33,0,0,0.12
14,MALAWI,-1.05,0.87,6.76,2.42,1,0,0.21
15,MALI,0.25,1.42,6.68,1.77,0,0.08,0.08
16,MAURITANIA,-2.5,-0.32,7.38,2.84,0,0,0.41
17,MAURITIUS,1.39,3.39,8.41,2.34,0,1,0.29
18,MOROCCO,1.71,1.59,7.93,2.42,1,0.23,0.11
19,NIGERIA,5.95,1.3,7.32,2.71,1,0.15,0.14
20,RWANDA,-2.86,0.86,7.16,1.55,0,0,0.11
21,SENEGAL,0.77,0.25,7.67,1.63,1,0,0.14
22,SIERRA LEONE,-2.52,-2.09,7.87,0.31,0,0,0.09
23,SOUTH AFRICA,-2.2,-0.23,8.68,2.92,0,0,0.17
24,SUDAN,-0.13,-0.32,7.34,1.88,1,0,0.16
25,TOGO,-0.26,0.47,7.06,2.91,2,0,0.19
26,TUNISIA,4.04,2.76,7.97,2.68,3,0.04,0.1
27,UGANDA,-3.82,-0.8,7.16,0.92,1,0.08,0.27
28,ZAMBIA,-4.4,-2.18,7.68,2.77,3,0,0.54
29,ZIMBABWE,-3.47,0.02,7.72,2.7,1,0,0.17
30,CANADA,-0.68,2.19,9.7,3.19,6,1,0.1
31,COSTA RICA,-2.45,0.13,8.65,2.85,4,0.15,0.19
32,DOMINICAN REP.,-1.31,0.85,8.04,2.88,3,0,0.13
33,EL SALVADOR,-2.51,-0.12,8.18,2.1,1,0.04,0.16
34,GUATEMALA,-2.4,0.23,8.28,2.22,1,0.08,0.11
35,HONDURAS,-1.63,0.36,7.81,2.6,1,0,0.23
36,JAMAICA,-0.45,-1.35,8.63,2.94,1,0.38,0.14
37,MEXICO,1.78,1.06,8.99,2.84,4,0.15,0.02
38,NICARAGUA,-3.61,-3.09,8.47,2.5,1,0,0.19
39,TRINIDAD&TOBAGO,1.42,-0.01,9.45,2.57,4,0,0.08
40,U.S.A.,-1.41,1.34,9.95,3.13,6,1,0.01
41,ARGENTINA,-2.74,-0.69,9.09,2.83,2,0,0.05
42,BOLIVIA,1.17,-0.01,8.04,2.73,1,0.73,0.18
43,BRAZIL,-2.45,1.99,8.41,2.98,4,0,0.05
44,CHILE,-4.56,0.26,8.77,2.9,5,0.58,0.15
45,COLOMBIA,-1.81,1.43,8.33,2.75,2,0.19,0.09
46,ECUADOR,5.37,1.64,8.16,3.13,4,0.73,0.11
47,PARAGUAY,-1.12,1.58,7.93,2.74,1,0.04,0.1
48,PERU,-2.59,-1.63,8.56,2.86,2,0.12,0.15
