"STATION","DATE","TAVG","TMAX","TMIN"
"USW00023272","1921","56.9","63.3","50.4"
"USW00023272","1922","55.8","62.3","49.4"
"USW00023272","1923","57.4","64.0","50.7"
"USW00023272","1924","56.9","63.4","50.4"
"USW00023272","1925","57.9","64.1","51.7"
"USW00023272","1926","58.8","65.6","52.0"
"USW00023272","1927","57.2","63.6","50.9"
"USW00023272","1928","57.1","63.4","50.8"
"USW00023272","1929","57.3","64.0","50.5"
"USW00023272","1930","57.9","64.4","51.3"
"USW00023272","1931","58.3","65.0","51.6"
"USW00023272","1932","57.1","63.9","50.3"
"USW00023272","1933","56.3","62.9","49.7"
"USW00023272","1934","58.9","65.5","52.2"
"USW00023272","1935","57.1","63.7","50.6"
"USW00023272","1936","58.4","64.9","51.8"
"USW00023272","1937","56.5","62.4","50.5"
"USW00023272","1938","56.5","62.2","50.8"
"USW00023272","1939","57.5","63.8","51.2"
"USW00023272","1940","58.4","63.8","52.9"
"USW00023272","1941","58.5","63.8","53.2"
"USW00023272","1942","56.5","61.9","51.1"
"USW00023272","1943","57.5","63.2","51.8"
"USW00023272","1944","56.3","61.8","50.8"
"USW00023272","1945","56.7","62.2","51.2"
"USW00023272","1946","56.1","61.8","50.4"
"USW00023272","1947","57.1","63.2","51.1"
"USW00023272","1948","55.8","61.6","49.9"
"USW00023272","1949","55.4","61.4","49.4"
"USW00023272","1950","56.2","62.2","50.3"
"USW00023272","1951","55.3","60.9","49.6"
"USW00023272","1952","55.5","61.3","49.6"
"USW00023272","1953","56.7","62.9","50.6"
"USW00023272","1954","56.3","62.2","50.4"
"USW00023272","1955","55.2","61.2","49.1"
"USW00023272","1956","56.5","62.8","50.2"
"USW00023272","1957","57.3","62.9","51.6"
"USW00023272","1958","58.8","64.7","52.9"
"USW00023272","1959","58.7","65.0","52.4"
"USW00023272","1960","56.4","61.9","50.8"
"USW00023272","1961","56.9","62.6","51.2"
"USW00023272","1962","56.0","61.7","50.4"
"USW00023272","1963","57.0","62.6","51.5"
"USW00023272","1964","56.4","62.2","50.7"
"USW00023272","1965","56.5","61.8","51.1"
"USW00023272","1966","56.8","62.8","50.8"
"USW00023272","1967","56.9","62.5","51.3"
"USW00023272","1968","57.0","62.4","51.5"
"USW00023272","1969","56.4","61.9","51.0"
"USW00023272","1970","56.9","62.6","51.3"
"USW00023272","1971","55.5","61.2","49.9"
"USW00023272","1972","56.1","61.5","50.7"
"USW00023272","1973","56.4","62.0","50.8"
"USW00023272","1974","56.2","61.8","50.7"
"USW00023272","1975","55.8","61.3","50.3"
"USW00023272","1976","57.6","63.8","51.5"
"USW00023272","1977","57.0","62.6","51.4"
"USW00023272","1978","58.1","63.9","52.2"
"USW00023272","1979","58.1","63.5","52.7"
"USW00023272","1980","57.4","62.9","51.9"
"USW00023272","1981","57.3","62.9","51.6"
"USW00023272","1982","56.2","61.8","50.5"
"USW00023272","1983","58.9","65.5","52.3"
"USW00023272","1984","58.2","65.9","50.5"
"USW00023272","1985","58.5","65.6","51.4"
"USW00023272","1986","60.1","67.0","53.2"
"USW00023272","1987","59.3","66.8","51.9"
"USW00023272","1988","59.3","67.0","51.5"
"USW00023272","1989","58.2","65.8","50.6"
"USW00023272","1990","58.8","66.6","50.9"
"USW00023272","1991","58.5","66.1","50.9"
"USW00023272","1992","60.8","68.5","53.1"
"USW00023272","1993","59.8","67.5","52.1"
"USW00023272","1994","57.6","65.0","50.3"
"USW00023272","1995","59.8","66.8","52.8"
"USW00023272","1996","60.2","68.0","52.5"
"USW00023272","1997","60.0","67.5","52.5"
"USW00023272","1998","56.8","62.8","50.8"
"USW00023272","1999","56.1","62.6","49.7"
"USW00023272","2000","57.3","63.4","51.2"
"USW00023272","2001","57.6","64.9","50.3"
"USW00023272","2002","56.9","63.7","50.1"
"USW00023272","2003","58.2","64.9","51.5"
"USW00023272","2004","58.3","64.9","51.7"
"USW00023272","2005","57.9","64.2","51.6"
"USW00023272","2006","56.7","63.0","50.4"
"USW00023272","2007","57.3","63.8","50.7"
"USW00023272","2008","57.3","63.9","50.6"
"USW00023272","2009","57.4","63.9","50.9"
"USW00023272","2010","56.9","62.7","51.0"
"USW00023272","2011","56.7","62.7","50.6"
"USW00023272","2012","56.8","62.9","50.7"
"USW00023272","2013","57.4","64.1","50.7"
"USW00023272","2014","59.9","66.0","53.8"
"USW00023272","2015","59.7","66.0","53.5"
