GEO,TIME,UNIT,SECTOR,NA_ITEM,Value
European Union (28 countries),1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (28 countries),1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (28 countries),1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (28 countries),1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (28 countries),1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (28 countries),2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (28 countries),2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (28 countries),2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,58.9
European Union (28 countries),2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60.4
European Union (28 countries),2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60.9
European Union (28 countries),2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,61.5
European Union (28 countries),2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60.1
European Union (28 countries),2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,57.5
European Union (28 countries),2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60.7
European Union (28 countries),2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,72.8
European Union (28 countries),2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,78.4
European Union (28 countries),2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,81.1
European Union (28 countries),2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,83.8
European Union (28 countries),2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,85.7
European Union (28 countries),2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,86.7
European Union (28 countries),2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,85
European Union (27 countries),1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
