"TIME","CURRENCY","UNIT","STATINFO","Value"
"1999M01","Pound sterling","National currency","Value at the end of the period","0.69100"
"1999M01","Swiss franc","National currency","Value at the end of the period","1.6123"
"1999M01","US dollar","National currency","Value at the end of the period","1.1384"
"1999M02","Pound sterling","National currency","Value at the end of the period","0.68730"
"1999M02","Swiss franc","National currency","Value at the end of the period","1.5890"
"1999M02","US dollar","National currency","Value at the end of the period","1.1018"
"1999M03","Pound sterling","National currency","Value at the end of the period","0.66630"
"1999M03","Swiss franc","National currency","Value at the end of the period","1.5981"
"1999M03","US dollar","National currency","Value at the end of the period","1.0742"
"1999M04","Pound sterling","National currency","Value at the end of the period","0.65710"
"1999M04","Swiss franc","National currency","Value at the end of the period","1.6113"
"1999M04","US dollar","National currency","Value at the end of the period","1.0597"
"1999M05","Pound sterling","National currency","Value at the end of the period","0.65240"
"1999M05","Swiss franc","National currency","Value at the end of the period","1.5943"
"1999M05","US dollar","National currency","Value at the end of the period","1.0456"
"1999M06","Pound sterling","National currency","Value at the end of the period","0.65630"
"1999M06","Swiss franc","National currency","Value at the end of the period","1.6034"
"1999M06","US dollar","National currency","Value at the end of the period","1.0328"
"1999M07","Pound sterling","National currency","Value at the end of the period","0.65980"
"1999M07","Swiss franc","National currency","Value at the end of the period","1.5976"
"1999M07","US dollar","National currency","Value at the end of the period","1.0694"
"1999M08","Pound sterling","National currency","Value at the end of the period","0.65850"
"1999M08","Swiss franc","National currency","Value at the end of the period","1.5997"
"1999M08","US dollar","National currency","Value at the end of the period","1.0573"
"1999M09","Pound sterling","National currency","Value at the end of the period","0.64750"
"1999M09","Swiss franc","National currency","Value at the end of the period","1.5967"
"1999M09","US dollar","National currency","Value at the end of the period","1.0665"
"1999M10","Pound sterling","National currency","Value at the end of the period","0.63930"
"1999M10","Swiss franc","National currency","Value at the end of the period","1.6030"
"1999M10","US dollar","National currency","Value at the end of the period","1.0453"
"1999M11","Pound sterling","National currency","Value at the end of the period","0.63250"
"1999M11","Swiss franc","National currency","Value at the end of the period","1.6021"
"1999M11","US dollar","National currency","Value at the end of the period","1.0097"
"1999M12","Pound sterling","National currency","Value at the end of the period","0.62170"
"1999M12","Swiss franc","National currency","Value at the end of the period","1.6051"
"1999M12","US dollar","National currency","Value at the end of the period","1.0046"
"2000M01","Pound sterling","National currency","Value at the end of the period","0.60470"
"2000M01","Swiss franc","National currency","Value at the end of the period","1.6091"
"2000M01","US dollar","National currency","Value at the end of the period","0.9791"
"2000M02","Pound sterling","National currency","Value at the end of the period","0.61340"
"2000M02","Swiss franc","National currency","Value at the end of the period","1.6067"
"2000M02","US dollar","National currency","Value at the end of the period","0.9714"
"2000M03","Pound sterling","National currency","Value at the end of the period","0.59850"
"2000M03","Swiss franc","National currency","Value at the end of the period","1.5907"
"2000M03","US dollar","National currency","Value at the end of the period","0.9553"
"2000M04","Pound sterling","National currency","Value at the end of the period","0.57940"
"2000M04","Swiss franc","National currency","Value at the end of the period","1.5710"
"2000M04","US dollar","National currency","Value at the end of the period","0.9085"
"2000M05","Pound sterling","National currency","Value at the end of the period","0.62250"
