GEO,TIME,UNIT,S_ADJ,NA_ITEM,Value
Greece,1995Q1,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,64.7
Greece,1995Q1,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1995Q1,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1995Q1,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,69.4
Greece,1995Q1,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,23873.5
Greece,1995Q1,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1995Q1,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1995Q1,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,25668.4
Greece,1995Q1,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,36552.3
Greece,1995Q1,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1995Q1,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1995Q1,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,39201.5
Greece,1995Q2,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,67.6
Greece,1995Q2,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1995Q2,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1995Q2,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,70
Greece,1995Q2,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,25099.8
Greece,1995Q2,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1995Q2,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1995Q2,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,25933.3
Greece,1995Q2,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,38210
Greece,1995Q2,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1995Q2,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1995Q2,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,39576.2
Greece,1995Q3,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,74.6
Greece,1995Q3,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1995Q3,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1995Q3,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,70.4
Greece,1995Q3,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,27560.8
Greece,1995Q3,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1995Q3,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1995Q3,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,26412.5
Greece,1995Q3,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,42158.7
Greece,1995Q3,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1995Q3,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1995Q3,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,39791.1
Greece,1995Q4,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,74.1
Greece,1995Q4,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1995Q4,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1995Q4,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,70.8
Greece,1995Q4,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,28040.2
Greece,1995Q4,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1995Q4,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1995Q4,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,26446.7
Greece,1995Q4,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,41855.5
Greece,1995Q4,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1995Q4,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1995Q4,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,40021.2
Greece,1996Q1,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,66.3
Greece,1996Q1,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1996Q1,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1996Q1,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,71.2
Greece,1996Q1,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,25083.5
Greece,1996Q1,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1996Q1,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1996Q1,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,27029.2
Greece,1996Q1,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,37442.1
Greece,1996Q1,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1996Q1,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1996Q1,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,40239.4
Greece,1996Q2,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,69.1
Greece,1996Q2,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1996Q2,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1996Q2,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,71.6
Greece,1996Q2,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,27442.7
Greece,1996Q2,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1996Q2,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1996Q2,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,28363.6
Greece,1996Q2,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,39033.1
Greece,1996Q2,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1996Q2,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1996Q2,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,40470.4
Greece,1996Q3,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,77
Greece,1996Q3,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1996Q3,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1996Q3,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,72.6
Greece,1996Q3,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,30607.6
Greece,1996Q3,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1996Q3,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1996Q3,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,29276.1
Greece,1996Q3,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,43499
Greece,1996Q3,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1996Q3,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1996Q3,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,41016.5
Greece,1996Q4,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,76.7
Greece,1996Q4,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1996Q4,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1996Q4,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,73.4
Greece,1996Q4,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,31863.2
Greece,1996Q4,"Current prices, million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1996Q4,"Current prices, million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1996Q4,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,30016.3
Greece,1996Q4,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,43346.7
Greece,1996Q4,"Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1996Q4,"Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1996Q4,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,41454.1
Greece,1997Q1,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,68.6
Greece,1997Q1,"Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices, 
Greece,1997Q1,"Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data",Gross domestic product at market prices, 
Greece,1997Q1,"Chain linked volumes, index 2010=100",Seasonally and calendar adjusted data,Gross domestic product at market prices,73.8
Greece,1997Q1,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,28304.2
