TIME,GEO,NA_ITEM,SECTOR,UNIT,Value
2000Q1,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),63.5
2000Q1,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),63.6
2000Q1,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),63.8
2000Q1,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.5
2000Q1,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.6
2000Q1,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.6
2000Q1,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.7
2000Q1,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),116.5
2000Q1,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),76.6
2000Q1,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),15.3
2000Q1,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),57.1
2000Q1,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.9
2000Q1,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),5.8
2000Q1,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),45.3
2000Q1,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),102.6
2000Q1,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.8
2000Q1,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.2
2000Q1,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q1,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),109.3
2000Q1,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),53.8
2000Q1,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),12.7
2000Q1,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),24.4
2000Q1,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q1,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.4
2000Q1,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q1,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.4
2000Q1,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.9
2000Q1,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q1,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.9
2000Q1,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),22.3
2000Q1,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),25.1
2000Q1,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),47.8
2000Q1,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),45.6
2000Q1,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58
2000Q1,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),38.4
2000Q1,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q1,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),23.2
2000Q2,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.3
2000Q2,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.4
2000Q2,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.5
2000Q2,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70
2000Q2,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.1
2000Q2,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.1
2000Q2,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.2
2000Q2,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),114
2000Q2,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),74.6
2000Q2,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),15.5
2000Q2,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),56.2
2000Q2,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.4
2000Q2,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),5.7
2000Q2,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),42.9
2000Q2,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),105.5
2000Q2,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59
2000Q2,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.2
