TIME,CURRENCY,UNIT,STATINFO,Value
2016M01D01,Pound sterling,National currency,Average, 
2016M01D04,Pound sterling,National currency,Average,0.7381
2016M01D05,Pound sterling,National currency,Average,0.73235
2016M01D06,Pound sterling,National currency,Average,0.7344
2016M01D07,Pound sterling,National currency,Average,0.74545
2016M01D08,Pound sterling,National currency,Average,0.74519
2016M01D11,Pound sterling,National currency,Average,0.74705
2016M01D12,Pound sterling,National currency,Average,0.7508
2016M01D13,Pound sterling,National currency,Average,0.7502
2016M01D14,Pound sterling,National currency,Average,0.75703
2016M01D15,Pound sterling,National currency,Average,0.7615
2016M01D18,Pound sterling,National currency,Average,0.76263
2016M01D19,Pound sterling,National currency,Average,0.76473
2016M01D20,Pound sterling,National currency,Average,0.77
2016M01D21,Pound sterling,National currency,Average,0.77182
2016M01D22,Pound sterling,National currency,Average,0.75459
2016M01D25,Pound sterling,National currency,Average,0.7589
2016M01D26,Pound sterling,National currency,Average,0.76095
2016M01D27,Pound sterling,National currency,Average,0.75965
2016M01D28,Pound sterling,National currency,Average,0.76228
2016M01D29,Pound sterling,National currency,Average,0.7641
2016M02D01,Pound sterling,National currency,Average,0.761
2016M02D02,Pound sterling,National currency,Average,0.7586
2016M02D03,Pound sterling,National currency,Average,0.7533
2016M02D04,Pound sterling,National currency,Average,0.76595
2016M02D05,Pound sterling,National currency,Average,0.76975
2016M02D08,Pound sterling,National currency,Average,0.7724
2016M02D09,Pound sterling,National currency,Average,0.77945
2016M02D10,Pound sterling,National currency,Average,0.77328
2016M02D11,Pound sterling,National currency,Average,0.7874
2016M02D12,Pound sterling,National currency,Average,0.77735
2016M02D15,Pound sterling,National currency,Average,0.772
2016M02D16,Pound sterling,National currency,Average,0.7758
2016M02D17,Pound sterling,National currency,Average,0.77835
2016M02D18,Pound sterling,National currency,Average,0.77143
2016M02D19,Pound sterling,National currency,Average,0.77715
2016M02D22,Pound sterling,National currency,Average,0.78243
2016M02D23,Pound sterling,National currency,Average,0.77985
2016M02D24,Pound sterling,National currency,Average,0.78935
2016M02D25,Pound sterling,National currency,Average,0.7892
2016M02D26,Pound sterling,National currency,Average,0.78745
2016M02D29,Pound sterling,National currency,Average,0.7858
2016M03D01,Pound sterling,National currency,Average,0.778
2016M03D02,Pound sterling,National currency,Average,0.7741
2016M03D03,Pound sterling,National currency,Average,0.77435
2016M03D04,Pound sterling,National currency,Average,0.77483
2016M03D07,Pound sterling,National currency,Average,0.77438
2016M03D08,Pound sterling,National currency,Average,0.77608
2016M03D09,Pound sterling,National currency,Average,0.77135
2016M03D10,Pound sterling,National currency,Average,0.76728
