TIME,CURRENCY,UNIT,STATINFO,Value
1971Q1,Austrian schilling,National currency (former currencies of the euro area countries),Average,
1971Q1,Belgian franc,National currency (former currencies of the euro area countries),Average,51.0385
1971Q1,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1971Q1,German mark,National currency (former currencies of the euro area countries),Average,3.73653
1971Q1,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1971Q1,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1971Q1,Finnish markka,National currency (former currencies of the euro area countries),Average,
1971Q1,French franc,National currency (former currencies of the euro area countries),Average,5.67376
1971Q1,Greek drachma,National currency (former currencies of the euro area countries),Average,
1971Q1,Irish pound,National currency (former currencies of the euro area countries),Average,
1971Q1,Italian lira,National currency (former currencies of the euro area countries),Average,640.657
1971Q1,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1971Q1,Luxembourg franc,National currency (former currencies of the euro area countries),Average,51.0385
1971Q1,Latvian lats,National currency (former currencies of the euro area countries),Average,
1971Q1,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1971Q1,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.69674
1971Q1,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1971Q1,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1971Q1,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1971Q2,Austrian schilling,National currency (former currencies of the euro area countries),Average,
1971Q2,Belgian franc,National currency (former currencies of the euro area countries),Average,51.3068
1971Q2,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1971Q2,German mark,National currency (former currencies of the euro area countries),Average,3.68484
1971Q2,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1971Q2,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1971Q2,Finnish markka,National currency (former currencies of the euro area countries),Average,
1971Q2,French franc,National currency (former currencies of the euro area countries),Average,5.70767
1971Q2,Greek drachma,National currency (former currencies of the euro area countries),Average,
1971Q2,Irish pound,National currency (former currencies of the euro area countries),Average,
1971Q2,Italian lira,National currency (former currencies of the euro area countries),Average,643.797
1971Q2,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1971Q2,Luxembourg franc,National currency (former currencies of the euro area countries),Average,51.3068
1971Q2,Latvian lats,National currency (former currencies of the euro area countries),Average,
1971Q2,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1971Q2,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.68963
1971Q2,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1971Q2,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1971Q2,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1971Q3,Austrian schilling,National currency (former currencies of the euro area countries),Average,
1971Q3,Belgian franc,National currency (former currencies of the euro area countries),Average,51.3155
1971Q3,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1971Q3,German mark,National currency (former currencies of the euro area countries),Average,3.59321
1971Q3,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1971Q3,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1971Q3,Finnish markka,National currency (former currencies of the euro area countries),Average,
1971Q3,French franc,National currency (former currencies of the euro area countries),Average,5.79571
1971Q3,Greek drachma,National currency (former currencies of the euro area countries),Average,
1971Q3,Irish pound,National currency (former currencies of the euro area countries),Average,
1971Q3,Italian lira,National currency (former currencies of the euro area countries),Average,649.467
1971Q3,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1971Q3,Luxembourg franc,National currency (former currencies of the euro area countries),Average,51.3155
1971Q3,Latvian lats,National currency (former currencies of the euro area countries),Average,
1971Q3,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1971Q3,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.66213
1971Q3,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1971Q3,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1971Q3,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1971Q4,Austrian schilling,National currency (former currencies of the euro area countries),Average,
1971Q4,Belgian franc,National currency (former currencies of the euro area countries),Average,49.8047
1971Q4,Cyprus pound,National currency (former currencies of the euro area countries),Average,
