TIME,GEO,UNIT,SECTOR,NA_ITEM,Value
1995,European Union (25 countries),Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-7
1995,Euro area (17 countries),Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-7.4
1995,Belgium,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-4.4
1995,Bulgaria,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-), 
1995,Czech Republic,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-12.4
1995,Denmark,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-3.6
1995,Germany (until 1990 former territory of the FRG),Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-9.4
1995,Estonia,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),1.1
1995,Ireland,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-2.1
1995,Greece,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-9.7
1995,Spain,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-7
1995,France,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-5.1
1995,Croatia,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-), 
1995,Italy,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-7.3
1995,Cyprus,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-0.7
1995,Latvia,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-1.4
1995,Lithuania,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-1.5
1995,Luxembourg,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),2.7
1995,Hungary,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-8.6
1995,Malta,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-3.5
1995,Netherlands,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-8.6
1995,Austria,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-6.2
1995,Poland,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-4.2
1995,Portugal,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-5.2
