TIME,GEO,INDIC_ET,SITC06,PARTNER,Value
2002,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),9
2002,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2002,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.8
2002,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.2
2002,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),21.7
2002,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2002,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.2
2002,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2002,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),5.2
2002,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),12
2002,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2002,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.7
2002,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2002,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.1
2002,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2002,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2002,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.6
2002,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.1
2002,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),10.9
2002,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.3
2002,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2002,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.2
2002,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.6
2002,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2002,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.7
2002,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.5
2002,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.6
2002,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),9.5
2003,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),9.1
2003,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2003,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),2
2003,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.1
2003,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),22.5
2003,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2003,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.7
2003,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2003,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),5.4
2003,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),12
2003,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2003,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.7
2003,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2003,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.1
2003,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2003,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2003,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.7
2003,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.1
2003,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),10.9
2003,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.4
2003,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),2
2003,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.2
2003,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.6
2003,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2003,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.9
2003,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.5
2003,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.8
2003,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.3
2004,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),9.1
2004,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2004,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.3
2004,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.1
2004,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),22.7
2004,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2004,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.5
2004,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2004,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),5.2
2004,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),11.5
2004,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2004,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.5
2004,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2004,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.1
2004,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2004,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.6
2004,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.8
2004,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2004,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),11
2004,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.4
2004,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.3
2004,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2004,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.7
2004,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2004,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.9
2004,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.4
2004,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.8
2004,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),7.9
2005,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),9.2
2005,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2005,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.4
2005,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.2
2005,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),22.6
2005,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2005,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.5
2005,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2005,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),5
2005,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),10.6
2005,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2005,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.3
2005,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2005,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.1
2005,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2005,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.6
2005,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
