DATE,CLVMNACSAB1GQIE
1997-01-01,22167.4
1997-04-01,23524.0
1997-07-01,23274.0
1997-10-01,23965.1
1998-01-01,24596.0
1998-04-01,25400.0
1998-07-01,25919.8
1998-10-01,25316.3
1999-01-01,26883.3
1999-04-01,27468.5
1999-07-01,28479.3
1999-10-01,29265.0
2000-01-01,29667.0
2000-04-01,30436.2
2000-07-01,31312.2
2000-10-01,32139.2
2001-01-01,32506.8
2001-04-01,32515.4
2001-07-01,32809.9
2001-10-01,32978.0
2002-01-01,33775.8
2002-04-01,34345.9
2002-07-01,35104.4
2002-10-01,35362.0
2003-01-01,35302.1
2003-04-01,35453.9
2003-07-01,35501.3
2003-10-01,37671.3
2004-01-01,36894.3
2004-04-01,37475.2
2004-07-01,37381.2
2004-10-01,38560.8
2005-01-01,38708.5
2005-04-01,39955.3
2005-07-01,39993.3
2005-10-01,41206.3
2006-01-01,41954.8
2006-04-01,42116.9
2006-07-01,42952.7
2006-10-01,42947.6
2007-01-01,45239.8
2007-04-01,44574.9
2007-07-01,43798.9
2007-10-01,45764.3
2008-01-01,44807.8
2008-04-01,44183.2
2008-07-01,44111.8
2008-10-01,42309.5
2009-01-01,42221.1
2009-04-01,41673.9
2009-07-01,40937.9
2009-10-01,40652.1
2010-01-01,41449.7
2010-04-01,41227.7
2010-07-01,41805.8
2010-10-01,41627.1
2011-01-01,42034.6
2011-04-01,42737.5
2011-07-01,42520.9
2011-10-01,43119.7
2012-01-01,42572.6
2012-04-01,43078.0
2012-07-01,42502.4
2012-10-01,42504.1
2013-01-01,42353.9
2013-04-01,42506.8
2013-07-01,44505.7
2013-10-01,43749.4
2014-01-01,44483.8
2014-04-01,45149.2
2014-07-01,46104.4
2014-10-01,46401.8
2015-01-01,47644.7
2015-04-01,48654.8
2015-07-01,49373.6
