"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","Q","1950-Q1",7.692307,
"AUS","CPI","TOT","AGRWTH","Q","1950-Q2",7.5,
"AUS","CPI","TOT","AGRWTH","Q","1950-Q3",7.317073,
"AUS","CPI","TOT","AGRWTH","Q","1950-Q4",12.19512,
"AUS","CPI","TOT","AGRWTH","Q","1951-Q1",14.28571,
"AUS","CPI","TOT","AGRWTH","Q","1951-Q2",18.60465,
"AUS","CPI","TOT","AGRWTH","Q","1951-Q3",20.45455,
"AUS","CPI","TOT","AGRWTH","Q","1951-Q4",23.91304,
"AUS","CPI","TOT","AGRWTH","Q","1952-Q1",22.91667,
"AUS","CPI","TOT","AGRWTH","Q","1952-Q2",19.60784,
"AUS","CPI","TOT","AGRWTH","Q","1952-Q3",16.98113,
"AUS","CPI","TOT","AGRWTH","Q","1952-Q4",10.52632,
"AUS","CPI","TOT","AGRWTH","Q","1953-Q1",6.779661,
"AUS","CPI","TOT","AGRWTH","Q","1953-Q2",4.918033,
"AUS","CPI","TOT","AGRWTH","Q","1953-Q3",4.83871,
"AUS","CPI","TOT","AGRWTH","Q","1953-Q4",1.587302,
"AUS","CPI","TOT","AGRWTH","Q","1954-Q1",3.174603,
"AUS","CPI","TOT","AGRWTH","Q","1954-Q2",1.5625,
"AUS","CPI","TOT","AGRWTH","Q","1954-Q3",0,
"AUS","CPI","TOT","AGRWTH","Q","1954-Q4",1.5625,
"AUS","CPI","TOT","AGRWTH","Q","1955-Q1",0,
"AUS","CPI","TOT","AGRWTH","Q","1955-Q2",1.538462,
"AUS","CPI","TOT","AGRWTH","Q","1955-Q3",1.538462,
"AUS","CPI","TOT","AGRWTH","Q","1955-Q4",3.076923,
"AUS","CPI","TOT","AGRWTH","Q","1956-Q1",3.076923,
"AUS","CPI","TOT","AGRWTH","Q","1956-Q2",6.060606,
"AUS","CPI","TOT","AGRWTH","Q","1956-Q3",7.575758,
"AUS","CPI","TOT","AGRWTH","Q","1956-Q4",5.970149,
"AUS","CPI","TOT","AGRWTH","Q","1957-Q1",5.970149,
"AUS","CPI","TOT","AGRWTH","Q","1957-Q2",2.857143,
"AUS","CPI","TOT","AGRWTH","Q","1957-Q3",1.408451,
"AUS","CPI","TOT","AGRWTH","Q","1957-Q4",1.408451,
"AUS","CPI","TOT","AGRWTH","Q","1958-Q1",1.408451,
"AUS","CPI","TOT","AGRWTH","Q","1958-Q2",0,
"AUS","CPI","TOT","AGRWTH","Q","1958-Q3",0,
"AUS","CPI","TOT","AGRWTH","Q","1958-Q4",1.388889,
"AUS","CPI","TOT","AGRWTH","Q","1959-Q1",1.388889,
"AUS","CPI","TOT","AGRWTH","Q","1959-Q2",1.388889,
"AUS","CPI","TOT","AGRWTH","Q","1959-Q3",2.777778,
"AUS","CPI","TOT","AGRWTH","Q","1959-Q4",2.739726,
"AUS","CPI","TOT","AGRWTH","Q","1960-Q1",2.739726,
"AUS","CPI","TOT","AGRWTH","Q","1960-Q2",4.109589,
"AUS","CPI","TOT","AGRWTH","Q","1960-Q3",4.054054,
"AUS","CPI","TOT","AGRWTH","Q","1960-Q4",4,
"AUS","CPI","TOT","AGRWTH","Q","1961-Q1",4,
"AUS","CPI","TOT","AGRWTH","Q","1961-Q2",3.947368,
"AUS","CPI","TOT","AGRWTH","Q","1961-Q3",1.298701,
"AUS","CPI","TOT","AGRWTH","Q","1961-Q4",0,
"AUS","CPI","TOT","AGRWTH","Q","1962-Q1",0,
"AUS","CPI","TOT","AGRWTH","Q","1962-Q2",-1.265823,
