TIME,GEO,UNIT,NA_ITEM,Value
2007,European Union (28 countries),"Chain linked volumes (2005), million euro",Gross capital formation,2835747.7
2007,Belgium,"Chain linked volumes (2005), million euro",Gross capital formation,82480.6
2007,Bulgaria,"Chain linked volumes (2005), million euro",Gross capital formation,9164.7
2007,Czech Republic,"Chain linked volumes (2005), million euro",Gross capital formation,40191.8
2007,Denmark,"Chain linked volumes (2005), million euro",Gross capital formation,54720.1
2007,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2005), million euro",Gross capital formation,504682.1
2007,Estonia,"Chain linked volumes (2005), million euro",Gross capital formation,5408.1
2007,Ireland,"Chain linked volumes (2005), million euro",Gross capital formation,55498.3
2007,Greece,"Chain linked volumes (2005), million euro",Gross capital formation,59199.6
2007,Spain,"Chain linked volumes (2005), million euro",Gross capital formation,314553.1
2007,France,"Chain linked volumes (2005), million euro",Gross capital formation,436900.1
2007,Croatia,"Chain linked volumes (2005), million euro",Gross capital formation,12117.3
2007,Italy,"Chain linked volumes (2005), million euro",Gross capital formation,339394.5
2007,Cyprus,"Chain linked volumes (2005), million euro",Gross capital formation,4027.6
2007,Latvia,"Chain linked volumes (2005), million euro",Gross capital formation,7101.9
2007,Lithuania,"Chain linked volumes (2005), million euro",Gross capital formation,7411
2007,Luxembourg,"Chain linked volumes (2005), million euro",Gross capital formation,7323.3
2007,Hungary,"Chain linked volumes (2005), million euro",Gross capital formation,23422.7
2007,Malta,"Chain linked volumes (2005), million euro",Gross capital formation,1142.2
2007,Netherlands,"Chain linked volumes (2005), million euro",Gross capital formation,130669.9
2007,Austria,"Chain linked volumes (2005), million euro",Gross capital formation,66247.2
2007,Poland,"Chain linked volumes (2005), million euro",Gross capital formation,71412.6
2007,Portugal,"Chain linked volumes (2005), million euro",Gross capital formation,38486.6
2007,Romania,"Chain linked volumes (2005), million euro",Gross capital formation,30725.3
2007,Slovenia,"Chain linked volumes (2005), million euro",Gross capital formation,10957.1
2007,Slovakia,"Chain linked volumes (2005), million euro",Gross capital formation,13587
2007,Finland,"Chain linked volumes (2005), million euro",Gross capital formation,44486.6
2007,Sweden,"Chain linked volumes (2005), million euro",Gross capital formation,84356.1
2007,United Kingdom,"Chain linked volumes (2005), million euro",Gross capital formation,380879.6
2008,European Union (28 countries),"Chain linked volumes (2005), million euro",Gross capital formation,2785030.4
2008,Belgium,"Chain linked volumes (2005), million euro",Gross capital formation,84429.7
2008,Bulgaria,"Chain linked volumes (2005), million euro",Gross capital formation,10686.9
2008,Czech Republic,"Chain linked volumes (2005), million euro",Gross capital formation,40667
2008,Denmark,"Chain linked volumes (2005), million euro",Gross capital formation,52095.2
2008,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2005), million euro",Gross capital formation,508093.7
2008,Estonia,"Chain linked volumes (2005), million euro",Gross capital formation,4305.3
2008,Ireland,"Chain linked volumes (2005), million euro",Gross capital formation,47956.9
2008,Greece,"Chain linked volumes (2005), million euro",Gross capital formation,53744.7
2008,Spain,"Chain linked volumes (2005), million euro",Gross capital formation,303285.4
2008,France,"Chain linked volumes (2005), million euro",Gross capital formation,436260.6
2008,Croatia,"Chain linked volumes (2005), million euro",Gross capital formation,13316.3
2008,Italy,"Chain linked volumes (2005), million euro",Gross capital formation,327773.8
2008,Cyprus,"Chain linked volumes (2005), million euro",Gross capital formation,4961.6
2008,Latvia,"Chain linked volumes (2005), million euro",Gross capital formation,6007
2008,Lithuania,"Chain linked volumes (2005), million euro",Gross capital formation,7658.4
2008,Luxembourg,"Chain linked volumes (2005), million euro",Gross capital formation,7909.5
2008,Hungary,"Chain linked volumes (2005), million euro",Gross capital formation,23548.2
2008,Malta,"Chain linked volumes (2005), million euro",Gross capital formation,1213.6
2008,Netherlands,"Chain linked volumes (2005), million euro",Gross capital formation,134054.3
2008,Austria,"Chain linked volumes (2005), million euro",Gross capital formation,65781.4
2008,Poland,"Chain linked volumes (2005), million euro",Gross capital formation,73315.5
2008,Portugal,"Chain linked volumes (2005), million euro",Gross capital formation,38788.4
2008,Romania,"Chain linked volumes (2005), million euro",Gross capital formation,34271.5
2008,Slovenia,"Chain linked volumes (2005), million euro",Gross capital formation,11310.9
2008,Slovakia,"Chain linked volumes (2005), million euro",Gross capital formation,14376.5
2008,Finland,"Chain linked volumes (2005), million euro",Gross capital formation,43688.2
2008,Sweden,"Chain linked volumes (2005), million euro",Gross capital formation,83078.2
2008,United Kingdom,"Chain linked volumes (2005), million euro",Gross capital formation,352516.1
2009,European Union (28 countries),"Chain linked volumes (2005), million euro",Gross capital formation,2323008
2009,Belgium,"Chain linked volumes (2005), million euro",Gross capital formation,76226.5
2009,Bulgaria,"Chain linked volumes (2005), million euro",Gross capital formation,8088
2009,Czech Republic,"Chain linked volumes (2005), million euro",Gross capital formation,33315.3
2009,Denmark,"Chain linked volumes (2005), million euro",Gross capital formation,41034.7
2009,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2005), million euro",Gross capital formation,419344.3
2009,Estonia,"Chain linked volumes (2005), million euro",Gross capital formation,2507.9
2009,Ireland,"Chain linked volumes (2005), million euro",Gross capital formation,38621.9
2009,Greece,"Chain linked volumes (2005), million euro",Gross capital formation,39296.5
