"TIME","GEO","INDIC_NA","AGGREG95","Value"
"1999","Belgium","Price level indices (EU28=100)","Gross Domestic Product","106.8"
"1999","Bulgaria","Price level indices (EU28=100)","Gross Domestic Product","30.8"
"1999","Czech Republic","Price level indices (EU28=100)","Gross Domestic Product","44.2"
"1999","Denmark","Price level indices (EU28=100)","Gross Domestic Product","135.0"
"1999","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Gross Domestic Product","109.4"
"1999","Estonia","Price level indices (EU28=100)","Gross Domestic Product","53.0"
"1999","Ireland","Price level indices (EU28=100)","Gross Domestic Product","104.8"
"1999","Greece","Price level indices (EU28=100)","Gross Domestic Product","80.8"
"1999","Spain","Price level indices (EU28=100)","Gross Domestic Product","84.8"
"1999","France","Price level indices (EU28=100)","Gross Domestic Product","109.2"
"1999","Croatia","Price level indices (EU28=100)","Gross Domestic Product","56.7"
"1999","Italy","Price level indices (EU28=100)","Gross Domestic Product","92.5"
"1999","Cyprus","Price level indices (EU28=100)","Gross Domestic Product","83.6"
"1999","Latvia","Price level indices (EU28=100)","Gross Domestic Product","45.6"
"1999","Lithuania","Price level indices (EU28=100)","Gross Domestic Product","42.8"
"1999","Luxembourg","Price level indices (EU28=100)","Gross Domestic Product","109.8"
"1999","Hungary","Price level indices (EU28=100)","Gross Domestic Product","47.4"
"1999","Malta","Price level indices (EU28=100)","Gross Domestic Product","67.4"
"1999","Netherlands","Price level indices (EU28=100)","Gross Domestic Product","103.9"
"1999","Austria","Price level indices (EU28=100)","Gross Domestic Product","105.9"
"1999","Poland","Price level indices (EU28=100)","Gross Domestic Product","47.1"
"1999","Portugal","Price level indices (EU28=100)","Gross Domestic Product","75.8"
"1999","Romania","Price level indices (EU28=100)","Gross Domestic Product","30.8"
"1999","Slovenia","Price level indices (EU28=100)","Gross Domestic Product","71.9"
"1999","Slovakia","Price level indices (EU28=100)","Gross Domestic Product","38.7"
"1999","Finland","Price level indices (EU28=100)","Gross Domestic Product","113.8"
"1999","Sweden","Price level indices (EU28=100)","Gross Domestic Product","121.2"
"1999","United Kingdom","Price level indices (EU28=100)","Gross Domestic Product","126.3"
"2000","Belgium","Price level indices (EU28=100)","Gross Domestic Product","102.7"
"2000","Bulgaria","Price level indices (EU28=100)","Gross Domestic Product","31.3"
"2000","Czech Republic","Price level indices (EU28=100)","Gross Domestic Product","46.0"
"2000","Denmark","Price level indices (EU28=100)","Gross Domestic Product","132.8"
"2000","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Gross Domestic Product","107.7"
"2000","Estonia","Price level indices (EU28=100)","Gross Domestic Product","53.5"
"2000","Ireland","Price level indices (EU28=100)","Gross Domestic Product","107.7"
"2000","Greece","Price level indices (EU28=100)","Gross Domestic Product","77.4"
"2000","Spain","Price level indices (EU28=100)","Gross Domestic Product","84.4"
"2000","France","Price level indices (EU28=100)","Gross Domestic Product","106.2"
"2000","Croatia","Price level indices (EU28=100)","Gross Domestic Product","56.6"
"2000","Italy","Price level indices (EU28=100)","Gross Domestic Product","91.9"
"2000","Cyprus","Price level indices (EU28=100)","Gross Domestic Product","83.5"
"2000","Latvia","Price level indices (EU28=100)","Gross Domestic Product","51.8"
"2000","Lithuania","Price level indices (EU28=100)","Gross Domestic Product","48.2"
"2000","Luxembourg","Price level indices (EU28=100)","Gross Domestic Product","109.1"
"2000","Hungary","Price level indices (EU28=100)","Gross Domestic Product","48.3"
"2000","Malta","Price level indices (EU28=100)","Gross Domestic Product","70.3"
"2000","Netherlands","Price level indices (EU28=100)","Gross Domestic Product","101.6"
"2000","Austria","Price level indices (EU28=100)","Gross Domestic Product","103.6"
"2000","Poland","Price level indices (EU28=100)","Gross Domestic Product","52.2"
"2000","Portugal","Price level indices (EU28=100)","Gross Domestic Product","75.5"
"2000","Romania","Price level indices (EU28=100)","Gross Domestic Product","35.3"
"2000","Slovenia","Price level indices (EU28=100)","Gross Domestic Product","69.7"
"2000","Slovakia","Price level indices (EU28=100)","Gross Domestic Product","41.7"
"2000","Finland","Price level indices (EU28=100)","Gross Domestic Product","112.3"
"2000","Sweden","Price level indices (EU28=100)","Gross Domestic Product","123.9"
"2000","United Kingdom","Price level indices (EU28=100)","Gross Domestic Product","132.0"
"2001","Belgium","Price level indices (EU28=100)","Gross Domestic Product","102.8"
"2001","Bulgaria","Price level indices (EU28=100)","Gross Domestic Product","32.9"
"2001","Czech Republic","Price level indices (EU28=100)","Gross Domestic Product","48.4"
"2001","Denmark","Price level indices (EU28=100)","Gross Domestic Product","134.4"
"2001","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Gross Domestic Product","107.1"
"2001","Estonia","Price level indices (EU28=100)","Gross Domestic Product","56.2"
"2001","Ireland","Price level indices (EU28=100)","Gross Domestic Product","111.7"
"2001","Greece","Price level indices (EU28=100)","Gross Domestic Product","77.0"
"2001","Spain","Price level indices (EU28=100)","Gross Domestic Product","86.1"
"2001","France","Price level indices (EU28=100)","Gross Domestic Product","105.0"
"2001","Croatia","Price level indices (EU28=100)","Gross Domestic Product","59.6"
"2001","Italy","Price level indices (EU28=100)","Gross Domestic Product","94.0"
"2001","Cyprus","Price level indices (EU28=100)","Gross Domestic Product","83.3"
"2001","Latvia","Price level indices (EU28=100)","Gross Domestic Product","51.1"
"2001","Lithuania","Price level indices (EU28=100)","Gross Domestic Product","48.1"
"2001","Luxembourg","Price level indices (EU28=100)","Gross Domestic Product","111.0"
"2001","Hungary","Price level indices (EU28=100)","Gross Domestic Product","51.4"
"2001","Malta","Price level indices (EU28=100)","Gross Domestic Product","72.3"
"2001","Netherlands","Price level indices (EU28=100)","Gross Domestic Product","104.2"
"2001","Austria","Price level indices (EU28=100)","Gross Domestic Product","106.3"
"2001","Poland","Price level indices (EU28=100)","Gross Domestic Product","57.6"
"2001","Portugal","Price level indices (EU28=100)","Gross Domestic Product","77.3"
"2001","Romania","Price level indices (EU28=100)","Gross Domestic Product","36.0"
"2001","Slovenia","Price level indices (EU28=100)","Gross Domestic Product","70.9"
"2001","Slovakia","Price level indices (EU28=100)","Gross Domestic Product","41.3"
"2001","Finland","Price level indices (EU28=100)","Gross Domestic Product","115.5"
"2001","Sweden","Price level indices (EU28=100)","Gross Domestic Product","117.0"
"2001","United Kingdom","Price level indices (EU28=100)","Gross Domestic Product","128.7"
"2002","Belgium","Price level indices (EU28=100)","Gross Domestic Product","101.7"
"2002","Bulgaria","Price level indices (EU28=100)","Gross Domestic Product","33.4"
"2002","Czech Republic","Price level indices (EU28=100)","Gross Domestic Product","54.7"
"2002","Denmark","Price level indices (EU28=100)","Gross Domestic Product","134.2"
"2002","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Gross Domestic Product","106.4"
"2002","Estonia","Price level indices (EU28=100)","Gross Domestic Product","56.6"
"2002","Ireland","Price level indices (EU28=100)","Gross Domestic Product","114.4"
"2002","Greece","Price level indices (EU28=100)","Gross Domestic Product","77.2"
"2002","Spain","Price level indices (EU28=100)","Gross Domestic Product","86.5"
"2002","France","Price level indices (EU28=100)","Gross Domestic Product","104.9"
"2002","Croatia","Price level indices (EU28=100)","Gross Domestic Product","60.9"
"2002","Italy","Price level indices (EU28=100)","Gross Domestic Product","95.9"
"2002","Cyprus","Price level indices (EU28=100)","Gross Domestic Product","84.2"
"2002","Latvia","Price level indices (EU28=100)","Gross Domestic Product","50.9"
"2002","Lithuania","Price level indices (EU28=100)","Gross Domestic Product","48.9"
"2002","Luxembourg","Price level indices (EU28=100)","Gross Domestic Product","111.5"
"2002","Hungary","Price level indices (EU28=100)","Gross Domestic Product","56.6"
"2002","Malta","Price level indices (EU28=100)","Gross Domestic Product","71.1"
"2002","Netherlands","Price level indices (EU28=100)","Gross Domestic Product","104.9"
"2002","Austria","Price level indices (EU28=100)","Gross Domestic Product","104.8"
"2002","Poland","Price level indices (EU28=100)","Gross Domestic Product","54.3"
"2002","Portugal","Price level indices (EU28=100)","Gross Domestic Product","78.3"
"2002","Romania","Price level indices (EU28=100)","Gross Domestic Product","36.4"
"2002","Slovenia","Price level indices (EU28=100)","Gross Domestic Product","72.0"
"2002","Slovakia","Price level indices (EU28=100)","Gross Domestic Product","42.9"
"2002","Finland","Price level indices (EU28=100)","Gross Domestic Product","116.2"
"2002","Sweden","Price level indices (EU28=100)","Gross Domestic Product","119.7"
"2002","United Kingdom","Price level indices (EU28=100)","Gross Domestic Product","127.8"
"2003","Belgium","Price level indices (EU28=100)","Gross Domestic Product","103.4"
"2003","Bulgaria","Price level indices (EU28=100)","Gross Domestic Product","33.9"
"2003","Czech Republic","Price level indices (EU28=100)","Gross Domestic Product","52.5"
"2003","Denmark","Price level indices (EU28=100)","Gross Domestic Product","137.4"
"2003","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Gross Domestic Product","105.7"
"2003","Estonia","Price level indices (EU28=100)","Gross Domestic Product","57.3"
"2003","Ireland","Price level indices (EU28=100)","Gross Domestic Product","118.5"
"2003","Greece","Price level indices (EU28=100)","Gross Domestic Product","80.9"
"2003","Spain","Price level indices (EU28=100)","Gross Domestic Product","89.6"
"2003","France","Price level indices (EU28=100)","Gross Domestic Product","109.8"
"2003","Croatia","Price level indices (EU28=100)","Gross Domestic Product","62.1"
"2003","Italy","Price level indices (EU28=100)","Gross Domestic Product","98.4"
"2003","Cyprus","Price level indices (EU28=100)","Gross Domestic Product","87.1"
"2003","Latvia","Price level indices (EU28=100)","Gross Domestic Product","49.0"
"2003","Lithuania","Price level indices (EU28=100)","Gross Domestic Product","47.7"
"2003","Luxembourg","Price level indices (EU28=100)","Gross Domestic Product","113.9"
"2003","Hungary","Price level indices (EU28=100)","Gross Domestic Product","56.8"
"2003","Malta","Price level indices (EU28=100)","Gross Domestic Product","68.2"
