GEO,TIME,UNIT,COICOP,Value
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",1996,Annual average rate of change,All-items HICP, 
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",1997,Annual average rate of change,All-items HICP,1.7
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",1998,Annual average rate of change,All-items HICP,1.3
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",1999,Annual average rate of change,All-items HICP,1.2
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2000,Annual average rate of change,All-items HICP,1.9
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2001,Annual average rate of change,All-items HICP,2.2
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2002,Annual average rate of change,All-items HICP,2.1
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2003,Annual average rate of change,All-items HICP,2
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2004,Annual average rate of change,All-items HICP,2
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2005,Annual average rate of change,All-items HICP,2.2
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2006,Annual average rate of change,All-items HICP,2.2
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2007,Annual average rate of change,All-items HICP,2.3
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2008,Annual average rate of change,All-items HICP,3.7
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2009,Annual average rate of change,All-items HICP,1
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2010,Annual average rate of change,All-items HICP,2.1
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2011,Annual average rate of change,All-items HICP,3.1
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2012,Annual average rate of change,All-items HICP,2.6
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2013,Annual average rate of change,All-items HICP,1.5
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2014,Annual average rate of change,All-items HICP,0.5
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2015,Annual average rate of change,All-items HICP,0
"European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)",2016,Annual average rate of change,All-items HICP,0.3
European Union (28 countries),1996,Annual average rate of change,All-items HICP, 
European Union (28 countries),1997,Annual average rate of change,All-items HICP,7.3
European Union (28 countries),1998,Annual average rate of change,All-items HICP,4.7
European Union (28 countries),1999,Annual average rate of change,All-items HICP,3
European Union (28 countries),2000,Annual average rate of change,All-items HICP,3.5
European Union (28 countries),2001,Annual average rate of change,All-items HICP,3.2
European Union (28 countries),2002,Annual average rate of change,All-items HICP,2.5
European Union (28 countries),2003,Annual average rate of change,All-items HICP,2.1
European Union (28 countries),2004,Annual average rate of change,All-items HICP,2.3
European Union (28 countries),2005,Annual average rate of change,All-items HICP,2.3
European Union (28 countries),2006,Annual average rate of change,All-items HICP,2.3
European Union (28 countries),2007,Annual average rate of change,All-items HICP,2.4
European Union (28 countries),2008,Annual average rate of change,All-items HICP,3.7
European Union (28 countries),2009,Annual average rate of change,All-items HICP,1
European Union (28 countries),2010,Annual average rate of change,All-items HICP,2.1
European Union (28 countries),2011,Annual average rate of change,All-items HICP,3.1
European Union (28 countries),2012,Annual average rate of change,All-items HICP,2.6
European Union (28 countries),2013,Annual average rate of change,All-items HICP,1.5
European Union (28 countries),2014,Annual average rate of change,All-items HICP,0.5
European Union (28 countries),2015,Annual average rate of change,All-items HICP,0
European Union (28 countries),2016,Annual average rate of change,All-items HICP,0.3
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",1996,Annual average rate of change,All-items HICP, 
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",1997,Annual average rate of change,All-items HICP,1.6
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",1998,Annual average rate of change,All-items HICP,1.1
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",1999,Annual average rate of change,All-items HICP,1.1
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",2000,Annual average rate of change,All-items HICP,2.1
