DATE,CLVMNACSCAB1GQDE
1991-01-01,512464.4
1991-04-01,510335.9
1991-07-01,507755.8
1991-10-01,514334.9
1992-01-01,522574.9
1992-04-01,519156.5
1992-07-01,517608.4
1992-10-01,516512.0
1993-01-01,511964.5
1993-04-01,512222.5
1993-07-01,515834.7
1993-10-01,515512.2
1994-01-01,521817.1
1994-04-01,523623.2
1994-07-01,527557.8
1994-10-01,534523.9
1995-01-01,532088.9
1995-04-01,536733.1
1995-07-01,538539.2
1995-10-01,538281.2
1996-01-01,532895.5
1996-04-01,540506.5
1996-07-01,543795.9
1996-10-01,546827.4
1997-01-01,543538.2
1997-04-01,551213.7
1997-07-01,553342.2
1997-10-01,557276.7
1998-01-01,561743.6
1998-04-01,559937.5
1998-07-01,561421.1
1998-10-01,561292.0
1999-01-01,565791.2
1999-04-01,567016.7
1999-07-01,572950.7
1999-10-01,580110.1
2000-01-01,585560.6
2000-04-01,591494.9
2000-07-01,590656.4
2000-10-01,591107.9
2001-01-01,600767.0
2001-04-01,601283.0
2001-07-01,599541.5
2001-10-01,600251.0
2002-01-01,598396.5
2002-04-01,599944.6
2002-07-01,602782.7
2002-10-01,601492.6
2003-01-01,594203.9
2003-04-01,594332.9
2003-07-01,597300.0
2003-10-01,599493.1
2004-01-01,599348.0
2004-04-01,601412.0
2004-07-01,600315.4
2004-10-01,600896.0
2005-01-01,599735.0
2005-04-01,603734.0
2005-07-01,608636.1
2005-10-01,610958.2
2006-01-01,616650.2
2006-04-01,626519.1
2006-07-01,632775.9
2006-10-01,641032.3
2007-01-01,643660.5
2007-04-01,648433.6
2007-07-01,653916.2
2007-10-01,655722.3
2008-01-01,661479.1
2008-04-01,659673.1
2008-07-01,657286.5
2008-10-01,644579.4
2009-01-01,615666.8
2009-04-01,616118.3
2009-07-01,619794.9
2009-10-01,625471.1
2010-01-01,630066.4
2010-04-01,642967.1
2010-07-01,648191.8
2010-10-01,653610.1
2011-01-01,665155.5
2011-04-01,666316.6
2011-07-01,669477.3
2011-10-01,669606.2
2012-01-01,671718.6
2012-04-01,672363.6
2012-07-01,673911.7
2012-10-01,670880.1
2013-01-01,669396.6
2013-04-01,675330.7
2013-07-01,678749.3
2013-10-01,681522.9
2014-01-01,687521.5
2014-04-01,686360.4
2014-07-01,688553.5
2014-10-01,694681.1
2015-01-01,695455.2
2015-04-01,698551.2
2015-07-01,700808.8
2015-10-01,703775.9
2016-01-01,708226.5
2016-04-01,711516.0
2016-07-01,713902.6
2016-10-01,716869.7
2017-01-01,723255.3
2017-04-01,727835.0
2017-07-01,733833.6
