date,HCIP,M3
1996+AC0-01+AC0-31,71.08,3891995
1996+AC0-02+AC0-29,71.4,3907424
1996+AC0-03+AC0-31,71.66,3922044
1996+AC0-04+AC0-30,71.77,3932013
1996+AC0-05+AC0-31,71.94,3939395
1996+AC0-06+AC0-30,71.95,3948461
1996+AC0-07+AC0-31,71.95,3963629
1996+AC0-08+AC0-31,71.91,3982673
1996+AC0-09+AC0-30,72.05,4002919
1996+AC0-10+AC0-31,72.11,4008379
1996+AC0-11+AC0-30,72.13,4015578
1996+AC0-12+AC0-31,72.31,4037788
1997+AC0-01+AC0-31,72.54,4039718
1997+AC0-02+AC0-28,72.7,4052313
1997+AC0-03+AC0-31,72.76,4061139
1997+AC0-04+AC0-30,72.72,4067627
1997+AC0-05+AC0-31,72.92,4097811
1997+AC0-06+AC0-30,72.94,4121482
1997+AC0-07+AC0-31,73.02,4145381
1997+AC0-08+AC0-31,73.14,4146001
1997+AC0-09+AC0-30,73.18,4168661
1997+AC0-10+AC0-31,73.21,4188727
1997+AC0-11+AC0-30,73.3,4201069
1997+AC0-12+AC0-31,73.38,4222444
1998+AC0-01+AC0-31,73.32,4245432
1998+AC0-02+AC0-28,73.52,4255848
1998+AC0-03+AC0-31,73.58,4269354
1998+AC0-04+AC0-30,73.73,4300755
1998+AC0-05+AC0-31,73.88,4316576
1998+AC0-06+AC0-30,73.91,4340426
1998+AC0-07+AC0-31,73.94,4361055
1998+AC0-08+AC0-31,73.97,4368362
1998+AC0-09+AC0-30,73.91,4371031
1998+AC0-10+AC0-31,73.89,4408289
1998+AC0-11+AC0-30,73.89,4417065
1998+AC0-12+AC0-31,73.92,4426760
1999+AC0-01+AC0-31,73.87,4448790
1999+AC0-02+AC0-28,74.06,4438343
1999+AC0-03+AC0-31,74.27,4454875
1999+AC0-04+AC0-30,74.51,4485121
1999+AC0-05+AC0-31,74.57,4505636
1999+AC0-06+AC0-30,74.57,4536603
1999+AC0-07+AC0-31,74.69,4566398
1999+AC0-08+AC0-31,74.79,4571936
1999+AC0-09+AC0-30,74.82,4595953
1999+AC0-10+AC0-31,74.86,4614736
1999+AC0-11+AC0-30,74.96,4645660
1999+AC0-12+AC0-31,75.21,4665340
2000+AC0-01+AC0-31,75.25,4714909
2000+AC0-02+AC0-29,75.49,4737516
2000+AC0-03+AC0-31,75.72,4765096
2000+AC0-04+AC0-30,75.79,4801830
2000+AC0-05+AC0-31,75.88,4794849
2000+AC0-06+AC0-30,76.16,4786171
2000+AC0-07+AC0-31,76.26,4804014
2000+AC0-08+AC0-31,76.32,4830395
2000+AC0-09+AC0-30,76.63,4830164
2000+AC0-10+AC0-31,76.64,4845788
2000+AC0-11+AC0-30,76.8,4853083
2000+AC0-12+AC0-31,77.08,4859237
2001+AC0-01+AC0-31,76.76,5025902
2001+AC0-02+AC0-28,76.98,5051899
2001+AC0-03+AC0-31,77.39,5081289
2001+AC0-04+AC0-30,77.86,5110989
2001+AC0-05+AC0-31,78.22,5142329
2001+AC0-06+AC0-30,78.34,5191193
2001+AC0-07+AC0-31,78.16,5214810
2001+AC0-08+AC0-31,78.09,5246992
2001+AC0-09+AC0-30,78.3,5295835
2001+AC0-10+AC0-31,78.37,5333102
2001+AC0-11+AC0-30,78.32,5369036
2001+AC0-12+AC0-31,78.67,5402620
2002+AC0-01+AC0-31,78.76,5427514
2002+AC0-02+AC0-28,78.88,5435348
2002+AC0-03+AC0-31,79.33,5455875
2002+AC0-04+AC0-30,79.69,5482279
2002+AC0-05+AC0-31,79.83,5519417
2002+AC0-06+AC0-30,79.8,5538031
2002+AC0-07+AC0-31,79.72,5568995
2002+AC0-08+AC0-31,79.77,5606689
2002+AC0-09+AC0-30,79.97,5659512
2002+AC0-10+AC0-31,80.16,5686449
2002+AC0-11+AC0-30,80.1,5733922
2002+AC0-12+AC0-31,80.49,5766410
2003+AC0-01+AC0-31,80.42,5808136
2003+AC0-02+AC0-28,80.75,5857634
2003+AC0-03+AC0-31,81.21,5883347
2003+AC0-04+AC0-30,81.33,5960328
2003+AC0-05+AC0-31,81.28,5976774
2003+AC0-06+AC0-30,81.38,5990014
2003+AC0-07+AC0-31,81.26,6032180
2003+AC0-08+AC0-31,81.38,6051146
2003+AC0-09+AC0-30,81.67,6056977
2003+AC0-10+AC0-31,81.79,6108693
