"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1990-Q1","Q1-1990","IDX","Index","0","Units","2010_100","2010=100",61.44259,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1990-Q2","Q2-1990","IDX","Index","0","Units","2010_100","2010=100",63.04594,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1990-Q3","Q3-1990","IDX","Index","0","Units","2010_100","2010=100",64.15481,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1990-Q4","Q4-1990","IDX","Index","0","Units","2010_100","2010=100",63.40836,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1991-Q1","Q1-1991","IDX","Index","0","Units","2010_100","2010=100",64.09102,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1991-Q2","Q2-1991","IDX","Index","0","Units","2010_100","2010=100",63.83921,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1991-Q3","Q3-1991","IDX","Index","0","Units","2010_100","2010=100",64.1115,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1991-Q4","Q4-1991","IDX","Index","0","Units","2010_100","2010=100",64.96915,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1992-Q1","Q1-1992","IDX","Index","0","Units","2010_100","2010=100",64.6151,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1992-Q2","Q2-1992","IDX","Index","0","Units","2010_100","2010=100",64.81377,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1992-Q3","Q3-1992","IDX","Index","0","Units","2010_100","2010=100",65.33147,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1992-Q4","Q4-1992","IDX","Index","0","Units","2010_100","2010=100",64.52274,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1993-Q1","Q1-1993","IDX","Index","0","Units","2010_100","2010=100",64.43053,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1993-Q2","Q2-1993","IDX","Index","0","Units","2010_100","2010=100",64.9304,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1993-Q3","Q3-1993","IDX","Index","0","Units","2010_100","2010=100",64.70654,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1993-Q4","Q4-1993","IDX","Index","0","Units","2010_100","2010=100",64.41828,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1994-Q1","Q1-1994","IDX","Index","0","Units","2010_100","2010=100",64.89651,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1994-Q2","Q2-1994","IDX","Index","0","Units","2010_100","2010=100",65.64481,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1994-Q3","Q3-1994","IDX","Index","0","Units","2010_100","2010=100",64.76518,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1994-Q4","Q4-1994","IDX","Index","0","Units","2010_100","2010=100",65.18451,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1995-Q1","Q1-1995","IDX","Index","0","Units","2010_100","2010=100",66.67872,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1995-Q2","Q2-1995","IDX","Index","0","Units","2010_100","2010=100",66.85191,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1995-Q3","Q3-1995","IDX","Index","0","Units","2010_100","2010=100",67.24067,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1995-Q4","Q4-1995","IDX","Index","0","Units","2010_100","2010=100",68.55138,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1996-Q1","Q1-1996","IDX","Index","0","Units","2010_100","2010=100",67.94578,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1996-Q2","Q2-1996","IDX","Index","0","Units","2010_100","2010=100",68.75362,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1996-Q3","Q3-1996","IDX","Index","0","Units","2010_100","2010=100",68.91149,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1996-Q4","Q4-1996","IDX","Index","0","Units","2010_100","2010=100",69.44537,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1997-Q1","Q1-1997","IDX","Index","0","Units","2010_100","2010=100",69.78634,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1997-Q2","Q2-1997","IDX","Index","0","Units","2010_100","2010=100",69.53799,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1997-Q3","Q3-1997","IDX","Index","0","Units","2010_100","2010=100",69.57393,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1997-Q4","Q4-1997","IDX","Index","0","Units","2010_100","2010=100",69.21262,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1998-Q1","Q1-1998","IDX","Index","0","Units","2010_100","2010=100",69.42319,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1998-Q2","Q2-1998","IDX","Index","0","Units","2010_100","2010=100",69.33978,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1998-Q3","Q3-1998","IDX","Index","0","Units","2010_100","2010=100",69.98677,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1998-Q4","Q4-1998","IDX","Index","0","Units","2010_100","2010=100",69.53396,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1999-Q1","Q1-1999","IDX","Index","0","Units","2010_100","2010=100",69.61768,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1999-Q2","Q2-1999","IDX","Index","0","Units","2010_100","2010=100",70.31942,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1999-Q3","Q3-1999","IDX","Index","0","Units","2010_100","2010=100",70.16941,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","1999-Q4","Q4-1999","IDX","Index","0","Units","2010_100","2010=100",71.09,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2000-Q1","Q1-2000","IDX","Index","0","Units","2010_100","2010=100",71.54868,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2000-Q2","Q2-2000","IDX","Index","0","Units","2010_100","2010=100",71.40262,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2000-Q3","Q3-2000","IDX","Index","0","Units","2010_100","2010=100",73.01928,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2000-Q4","Q4-2000","IDX","Index","0","Units","2010_100","2010=100",74.19812,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2001-Q1","Q1-2001","IDX","Index","0","Units","2010_100","2010=100",74.8211,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2001-Q2","Q2-2001","IDX","Index","0","Units","2010_100","2010=100",75.11761,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2001-Q3","Q3-2001","IDX","Index","0","Units","2010_100","2010=100",75.01914,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2001-Q4","Q4-2001","IDX","Index","0","Units","2010_100","2010=100",74.99114,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2002-Q1","Q1-2002","IDX","Index","0","Units","2010_100","2010=100",75.51719,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2002-Q2","Q2-2002","IDX","Index","0","Units","2010_100","2010=100",75.73809,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2002-Q3","Q3-2002","IDX","Index","0","Units","2010_100","2010=100",76.69226,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2002-Q4","Q4-2002","IDX","Index","0","Units","2010_100","2010=100",76.42423,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2003-Q1","Q1-2003","IDX","Index","0","Units","2010_100","2010=100",77.71645,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2003-Q2","Q2-2003","IDX","Index","0","Units","2010_100","2010=100",78.53896,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2003-Q3","Q3-2003","IDX","Index","0","Units","2010_100","2010=100",78.16268,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2003-Q4","Q4-2003","IDX","Index","0","Units","2010_100","2010=100",78.46655,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2004-Q1","Q1-2004","IDX","Index","0","Units","2010_100","2010=100",79.21126,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2004-Q2","Q2-2004","IDX","Index","0","Units","2010_100","2010=100",79.78728,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2004-Q3","Q3-2004","IDX","Index","0","Units","2010_100","2010=100",80.92186,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2004-Q4","Q4-2004","IDX","Index","0","Units","2010_100","2010=100",81.81622,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2005-Q1","Q1-2005","IDX","Index","0","Units","2010_100","2010=100",82.67593,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2005-Q2","Q2-2005","IDX","Index","0","Units","2010_100","2010=100",83.11886,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2005-Q3","Q3-2005","IDX","Index","0","Units","2010_100","2010=100",84.05543,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2005-Q4","Q4-2005","IDX","Index","0","Units","2010_100","2010=100",84.21205,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2006-Q1","Q1-2006","IDX","Index","0","Units","2010_100","2010=100",85.69273,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2006-Q2","Q2-2006","IDX","Index","0","Units","2010_100","2010=100",86.5796,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2006-Q3","Q3-2006","IDX","Index","0","Units","2010_100","2010=100",87.10513,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2006-Q4","Q4-2006","IDX","Index","0","Units","2010_100","2010=100",88.83535,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2007-Q1","Q1-2007","IDX","Index","0","Units","2010_100","2010=100",89.33884,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2007-Q2","Q2-2007","IDX","Index","0","Units","2010_100","2010=100",91.20277,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2007-Q3","Q3-2007","IDX","Index","0","Units","2010_100","2010=100",91.92622,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2007-Q4","Q4-2007","IDX","Index","0","Units","2010_100","2010=100",92.84603,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2008-Q1","Q1-2008","IDX","Index","0","Units","2010_100","2010=100",93.50171,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2008-Q2","Q2-2008","IDX","Index","0","Units","2010_100","2010=100",95.75994,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2008-Q3","Q3-2008","IDX","Index","0","Units","2010_100","2010=100",95.42699,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2008-Q4","Q4-2008","IDX","Index","0","Units","2010_100","2010=100",96.25496,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2009-Q1","Q1-2009","IDX","Index","0","Units","2010_100","2010=100",95.25208,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2009-Q2","Q2-2009","IDX","Index","0","Units","2010_100","2010=100",94.18562,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2009-Q3","Q3-2009","IDX","Index","0","Units","2010_100","2010=100",95.45946,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2009-Q4","Q4-2009","IDX","Index","0","Units","2010_100","2010=100",96.16228,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2010-Q1","Q1-2010","IDX","Index","0","Units","2010_100","2010=100",97.3726,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2010-Q2","Q2-2010","IDX","Index","0","Units","2010_100","2010=100",99.42843,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2010-Q3","Q3-2010","IDX","Index","0","Units","2010_100","2010=100",100.9543,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2010-Q4","Q4-2010","IDX","Index","0","Units","2010_100","2010=100",102.2446,,
"AUS","Australia","ULQEUL01","Unit Labour Costs ","IXOBSA","Index, seasonally adjusted ","Q","Quarterly","2011-Q1","Q1-2011","IDX","Index","0","Units","2010_100","2010=100",104.2828,,
