TIME,GEO,UNIT,NA_ITEM,Value
1975,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Belgium,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Bulgaria,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Czech Republic,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Denmark,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,-1.5
1975,Germany (until 1990 former territory of the FRG),"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Estonia,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Ireland,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Greece,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Spain,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,France,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,-1
1975,Croatia,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Italy,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Cyprus,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Latvia,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Lithuania,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Luxembourg,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Hungary,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Malta,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Netherlands,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Austria,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Poland,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Portugal,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Romania,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Slovenia,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Slovakia,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Finland,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,Sweden,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1975,United Kingdom,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,-1.5
1976,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Belgium,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Bulgaria,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Czech Republic,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Denmark,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,5.9
1976,Germany (until 1990 former territory of the FRG),"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Estonia,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Ireland,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Greece,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Spain,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,France,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,4.3
1976,Croatia,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Italy,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Cyprus,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Latvia,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Lithuania,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Luxembourg,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Hungary,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Malta,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Netherlands,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Austria,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Poland,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Portugal,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Romania,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Slovenia,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Slovakia,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Finland,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,Sweden,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1976,United Kingdom,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,2.9
1977,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1977,Belgium,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1977,Bulgaria,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1977,Czech Republic,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1977,Denmark,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,1.9
1977,Germany (until 1990 former territory of the FRG),"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1977,Estonia,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
1977,Ireland,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices, 
