TIME,GEO,UNIT,NA_ITEM,Value
1999,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Nominal labour productivity per person,
1999,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Nominal labour productivity per hour worked,
1999,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Real labour productivity per person,94.1
1999,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Real labour productivity per hour worked,89.9
1999,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Nominal unit labour cost based on persons,82.9
1999,Belgium,"Index, 2010=100",Nominal labour productivity per person,
1999,Belgium,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Belgium,"Index, 2010=100",Real labour productivity per person,91.4
1999,Belgium,"Index, 2010=100",Real labour productivity per hour worked,89.3
1999,Belgium,"Index, 2010=100",Nominal unit labour cost based on persons,82.8
1999,Bulgaria,"Index, 2010=100",Nominal labour productivity per person,
1999,Bulgaria,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Bulgaria,"Index, 2010=100",Real labour productivity per person,66.1
1999,Bulgaria,"Index, 2010=100",Real labour productivity per hour worked,65.1
1999,Bulgaria,"Index, 2010=100",Nominal unit labour cost based on persons,57
1999,Czech Republic,"Index, 2010=100",Nominal labour productivity per person,
1999,Czech Republic,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Czech Republic,"Index, 2010=100",Real labour productivity per person,72.4
1999,Czech Republic,"Index, 2010=100",Real labour productivity per hour worked,68.8
1999,Czech Republic,"Index, 2010=100",Nominal unit labour cost based on persons,75.8
1999,Denmark,"Index, 2010=100",Nominal labour productivity per person,
1999,Denmark,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Denmark,"Index, 2010=100",Real labour productivity per person,91
1999,Denmark,"Index, 2010=100",Real labour productivity per hour worked,88.9
1999,Denmark,"Index, 2010=100",Nominal unit labour cost based on persons,75.6
1999,Germany (until 1990 former territory of the FRG),"Index, 2010=100",Nominal labour productivity per person,
1999,Germany (until 1990 former territory of the FRG),"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Germany (until 1990 former territory of the FRG),"Index, 2010=100",Real labour productivity per person,93.3
1999,Germany (until 1990 former territory of the FRG),"Index, 2010=100",Real labour productivity per hour worked,87.7
1999,Germany (until 1990 former territory of the FRG),"Index, 2010=100",Nominal unit labour cost based on persons,94
1999,Estonia,"Index, 2010=100",Nominal labour productivity per person,
1999,Estonia,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Estonia,"Index, 2010=100",Real labour productivity per person,61.9
1999,Estonia,"Index, 2010=100",Real labour productivity per hour worked,
1999,Estonia,"Index, 2010=100",Nominal unit labour cost based on persons,54.4
1999,Ireland,"Index, 2010=100",Nominal labour productivity per person,
1999,Ireland,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Ireland,"Index, 2010=100",Real labour productivity per person,78.7
1999,Ireland,"Index, 2010=100",Real labour productivity per hour worked,73
1999,Ireland,"Index, 2010=100",Nominal unit labour cost based on persons,80.4
1999,Greece,"Index, 2010=100",Nominal labour productivity per person,
1999,Greece,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Greece,"Index, 2010=100",Real labour productivity per person,88.5
1999,Greece,"Index, 2010=100",Real labour productivity per hour worked,84.9
1999,Greece,"Index, 2010=100",Nominal unit labour cost based on persons,66.8
1999,Spain,"Index, 2010=100",Nominal labour productivity per person,
1999,Spain,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Spain,"Index, 2010=100",Real labour productivity per person,94.2
1999,Spain,"Index, 2010=100",Real labour productivity per hour worked,91.7
1999,Spain,"Index, 2010=100",Nominal unit labour cost based on persons,73.5
1999,France,"Index, 2010=100",Nominal labour productivity per person,
1999,France,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,France,"Index, 2010=100",Real labour productivity per person,91.7
1999,France,"Index, 2010=100",Real labour productivity per hour worked,87.1
1999,France,"Index, 2010=100",Nominal unit labour cost based on persons,80.3
1999,Croatia,"Index, 2010=100",Nominal labour productivity per person,
1999,Croatia,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Croatia,"Index, 2010=100",Real labour productivity per person,
1999,Croatia,"Index, 2010=100",Real labour productivity per hour worked,
1999,Croatia,"Index, 2010=100",Nominal unit labour cost based on persons,
1999,Italy,"Index, 2010=100",Nominal labour productivity per person,
1999,Italy,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Italy,"Index, 2010=100",Real labour productivity per person,102.5
1999,Italy,"Index, 2010=100",Real labour productivity per hour worked,97.4
1999,Italy,"Index, 2010=100",Nominal unit labour cost based on persons,74.9
1999,Cyprus,"Index, 2010=100",Nominal labour productivity per person,
1999,Cyprus,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Cyprus,"Index, 2010=100",Real labour productivity per person,91.9
1999,Cyprus,"Index, 2010=100",Real labour productivity per hour worked,88.9
1999,Cyprus,"Index, 2010=100",Nominal unit labour cost based on persons,68.8
1999,Latvia,"Index, 2010=100",Nominal labour productivity per person,
1999,Latvia,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Latvia,"Index, 2010=100",Real labour productivity per person,57.8
1999,Latvia,"Index, 2010=100",Real labour productivity per hour worked,56.6
1999,Latvia,"Index, 2010=100",Nominal unit labour cost based on persons,55.3
1999,Lithuania,"Index, 2010=100",Nominal labour productivity per person,
1999,Lithuania,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Lithuania,"Index, 2010=100",Real labour productivity per person,53.7
1999,Lithuania,"Index, 2010=100",Real labour productivity per hour worked,58.6
1999,Lithuania,"Index, 2010=100",Nominal unit labour cost based on persons,84.1
1999,Luxembourg,"Index, 2010=100",Nominal labour productivity per person,
1999,Luxembourg,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Luxembourg,"Index, 2010=100",Real labour productivity per person,101.5
1999,Luxembourg,"Index, 2010=100",Real labour productivity per hour worked,96.7
1999,Luxembourg,"Index, 2010=100",Nominal unit labour cost based on persons,68.9
1999,Hungary,"Index, 2010=100",Nominal labour productivity per person,
1999,Hungary,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Hungary,"Index, 2010=100",Real labour productivity per person,74.3
1999,Hungary,"Index, 2010=100",Real labour productivity per hour worked,64.7
1999,Hungary,"Index, 2010=100",Nominal unit labour cost based on persons,58.1
1999,Malta,"Index, 2010=100",Nominal labour productivity per person,
1999,Malta,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Malta,"Index, 2010=100",Real labour productivity per person,
1999,Malta,"Index, 2010=100",Real labour productivity per hour worked,
1999,Malta,"Index, 2010=100",Nominal unit labour cost based on persons,
1999,Netherlands,"Index, 2010=100",Nominal labour productivity per person,
1999,Netherlands,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Netherlands,"Index, 2010=100",Real labour productivity per person,91.7
1999,Netherlands,"Index, 2010=100",Real labour productivity per hour worked,88.4
1999,Netherlands,"Index, 2010=100",Nominal unit labour cost based on persons,80
1999,Austria,"Index, 2010=100",Nominal labour productivity per person,
1999,Austria,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Austria,"Index, 2010=100",Real labour productivity per person,91.8
1999,Austria,"Index, 2010=100",Real labour productivity per hour worked,84.8
1999,Austria,"Index, 2010=100",Nominal unit labour cost based on persons,86
1999,Poland,"Index, 2010=100",Nominal labour productivity per person,
1999,Poland,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Poland,"Index, 2010=100",Real labour productivity per person,
1999,Poland,"Index, 2010=100",Real labour productivity per hour worked,
1999,Poland,"Index, 2010=100",Nominal unit labour cost based on persons,
1999,Portugal,"Index, 2010=100",Nominal labour productivity per person,
1999,Portugal,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Portugal,"Index, 2010=100",Real labour productivity per person,88.4
1999,Portugal,"Index, 2010=100",Real labour productivity per hour worked,87.6
1999,Portugal,"Index, 2010=100",Nominal unit labour cost based on persons,78.5
1999,Romania,"Index, 2010=100",Nominal labour productivity per person,
1999,Romania,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Romania,"Index, 2010=100",Real labour productivity per person,53.9
1999,Romania,"Index, 2010=100",Real labour productivity per hour worked,54.2
1999,Romania,"Index, 2010=100",Nominal unit labour cost based on persons,18.8
1999,Slovenia,"Index, 2010=100",Nominal labour productivity per person,
1999,Slovenia,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Slovenia,"Index, 2010=100",Real labour productivity per person,78.9
1999,Slovenia,"Index, 2010=100",Real labour productivity per hour worked,76.7
1999,Slovenia,"Index, 2010=100",Nominal unit labour cost based on persons,60.8
1999,Slovakia,"Index, 2010=100",Nominal labour productivity per person,
1999,Slovakia,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Slovakia,"Index, 2010=100",Real labour productivity per person,64.4
1999,Slovakia,"Index, 2010=100",Real labour productivity per hour worked,64
1999,Slovakia,"Index, 2010=100",Nominal unit labour cost based on persons,69.3
1999,Finland,"Index, 2010=100",Nominal labour productivity per person,
1999,Finland,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Finland,"Index, 2010=100",Real labour productivity per person,88.3
1999,Finland,"Index, 2010=100",Real labour productivity per hour worked,83.8
1999,Finland,"Index, 2010=100",Nominal unit labour cost based on persons,81.3
1999,Sweden,"Index, 2010=100",Nominal labour productivity per person,
1999,Sweden,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,Sweden,"Index, 2010=100",Real labour productivity per person,83.1
1999,Sweden,"Index, 2010=100",Real labour productivity per hour worked,81.6
1999,Sweden,"Index, 2010=100",Nominal unit labour cost based on persons,79.6
1999,United Kingdom,"Index, 2010=100",Nominal labour productivity per person,
1999,United Kingdom,"Index, 2010=100",Nominal labour productivity per hour worked,
1999,United Kingdom,"Index, 2010=100",Real labour productivity per person,88.6
1999,United Kingdom,"Index, 2010=100",Real labour productivity per hour worked,84.4
1999,United Kingdom,"Index, 2010=100",Nominal unit labour cost based on persons,73
2000,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Nominal labour productivity per person,
2000,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Nominal labour productivity per hour worked,
2000,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Real labour productivity per person,95.3
2000,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Real labour productivity per hour worked,92.1
2000,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Nominal unit labour cost based on persons,83.8
2000,Belgium,"Index, 2010=100",Nominal labour productivity per person,
2000,Belgium,"Index, 2010=100",Nominal labour productivity per hour worked,
2000,Belgium,"Index, 2010=100",Real labour productivity per person,92.9
2000,Belgium,"Index, 2010=100",Real labour productivity per hour worked,90
2000,Belgium,"Index, 2010=100",Nominal unit labour cost based on persons,83
2000,Bulgaria,"Index, 2010=100",Nominal labour productivity per person,
2000,Bulgaria,"Index, 2010=100",Nominal labour productivity per hour worked,
2000,Bulgaria,"Index, 2010=100",Real labour productivity per person,71
2000,Bulgaria,"Index, 2010=100",Real labour productivity per hour worked,71.2
2000,Bulgaria,"Index, 2010=100",Nominal unit labour cost based on persons,58.3
2000,Czech Republic,"Index, 2010=100",Nominal labour productivity per person,
2000,Czech Republic,"Index, 2010=100",Nominal labour productivity per hour worked,
2000,Czech Republic,"Index, 2010=100",Real labour productivity per person,76.1
2000,Czech Republic,"Index, 2010=100",Real labour productivity per hour worked,72.3
2000,Czech Republic,"Index, 2010=100",Nominal unit labour cost based on persons,77.4
2000,Denmark,"Index, 2010=100",Nominal labour productivity per person,
2000,Denmark,"Index, 2010=100",Nominal labour productivity per hour worked,
2000,Denmark,"Index, 2010=100",Real labour productivity per person,93.7
2000,Denmark,"Index, 2010=100",Real labour productivity per hour worked,90.9
2000,Denmark,"Index, 2010=100",Nominal unit labour cost based on persons,75.7
