TIME,GEO,INDIC_DE,Value
2015,European Union (28 countries),Population on 1 January - total ,508401408
2015,European Union (28 countries),Proportion of population aged 15-64 years,65.5
2016,European Union (28 countries),Population on 1 January - total ,510146901
2016,European Union (28 countries),Proportion of population aged 15-64 years,65.3
2017,European Union (28 countries),Population on 1 January - total ,511698062
2017,European Union (28 countries),Proportion of population aged 15-64 years,65
2018,European Union (28 countries),Population on 1 January - total ,513154880
2018,European Union (28 countries),Proportion of population aged 15-64 years,64.7
2019,European Union (28 countries),Population on 1 January - total ,514436397
2019,European Union (28 countries),Proportion of population aged 15-64 years,64.5
2020,European Union (28 countries),Population on 1 January - total ,515591288
2020,European Union (28 countries),Proportion of population aged 15-64 years,64.2
2021,European Union (28 countries),Population on 1 January - total ,516655360
2021,European Union (28 countries),Proportion of population aged 15-64 years,63.9
2022,European Union (28 countries),Population on 1 January - total ,517655600
2022,European Union (28 countries),Proportion of population aged 15-64 years,63.6
2023,European Union (28 countries),Population on 1 January - total ,518587356
2023,European Union (28 countries),Proportion of population aged 15-64 years,63.3
2024,European Union (28 countries),Population on 1 January - total ,519443078
2024,European Union (28 countries),Proportion of population aged 15-64 years,63.1
2025,European Union (28 countries),Population on 1 January - total ,520260661
2025,European Union (28 countries),Proportion of population aged 15-64 years,62.8
2026,European Union (28 countries),Population on 1 January - total ,521044814
2026,European Union (28 countries),Proportion of population aged 15-64 years,62.5
2027,European Union (28 countries),Population on 1 January - total ,521795117
2027,European Union (28 countries),Proportion of population aged 15-64 years,62.2
2028,European Union (28 countries),Population on 1 January - total ,522496555
2028,European Union (28 countries),Proportion of population aged 15-64 years,61.9
2029,European Union (28 countries),Population on 1 January - total ,523174341
2029,European Union (28 countries),Proportion of population aged 15-64 years,61.5
2030,European Union (28 countries),Population on 1 January - total ,523827302
2030,European Union (28 countries),Proportion of population aged 15-64 years,61.2
2031,European Union (28 countries),Population on 1 January - total ,524436628
2031,European Union (28 countries),Proportion of population aged 15-64 years,60.8
2032,European Union (28 countries),Population on 1 January - total ,525005486
2032,European Union (28 countries),Proportion of population aged 15-64 years,60.5
2033,European Union (28 countries),Population on 1 January - total ,525545990
2033,European Union (28 countries),Proportion of population aged 15-64 years,60.2
2034,European Union (28 countries),Population on 1 January - total ,526057470
2034,European Union (28 countries),Proportion of population aged 15-64 years,59.8
2035,European Union (28 countries),Population on 1 January - total ,526538377
2035,European Union (28 countries),Proportion of population aged 15-64 years,59.5
2036,European Union (28 countries),Population on 1 January - total ,526979662
2036,European Union (28 countries),Proportion of population aged 15-64 years,59.3
2037,European Union (28 countries),Population on 1 January - total ,527382656
