TIME,GEO,UNIT,SECTOR,NA_ITEM,Value
1995,European Union (25 countries),Percentage of gross domestic product (GDP),General government,Government consolidated gross debt, 
1995,Euro area (17 countries),Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,70.9
1995,Belgium,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,130.5
1995,Bulgaria,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt, 
1995,Czech Republic,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,13.6
1995,Denmark,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt, 
1995,Germany (until 1990 former territory of the FRG),Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,54.7
1995,Estonia,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,8.2
1995,Ireland,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,78.6
1995,Greece,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,99
1995,Spain,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,61.7
1995,France,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,55.8
1995,Croatia,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt, 
1995,Italy,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,116.9
1995,Cyprus,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,47.8
1995,Latvia,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,13.9
1995,Lithuania,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,11.5
1995,Luxembourg,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,8.6
1995,Hungary,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,84.3
1995,Malta,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,34.4
1995,Netherlands,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,73.6
1995,Austria,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68
1995,Poland,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,47.6
1995,Portugal,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,58.3
1995,Romania,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,6.6
1995,Slovenia,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,18.3
1995,Slovakia,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,21.7
1995,Finland,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,55.1
1995,Sweden,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,69.5
1995,United Kingdom,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,45.2
1996,European Union (25 countries),Percentage of gross domestic product (GDP),General government,Government consolidated gross debt, 
1996,Euro area (17 countries),Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,72.8
1996,Belgium,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,128
1996,Bulgaria,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt, 
1996,Czech Republic,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,11.6
1996,Denmark,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt, 
1996,Germany (until 1990 former territory of the FRG),Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,57.5
1996,Estonia,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,7.5
1996,Ireland,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,69.9
1996,Greece,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,101.3
1996,Spain,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,65.6
1996,France,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,59.7
1996,Croatia,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt, 
1996,Italy,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,116.3
1996,Cyprus,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,49.1
1996,Latvia,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,13.3
1996,Lithuania,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,13.9
1996,Luxembourg,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,8.2
1996,Hungary,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,71.5
1996,Malta,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,38.7
1996,Netherlands,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,71.6
1996,Austria,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68
1996,Poland,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,42.4
