TIME,GEO,UNIT,SECTOR,NA_ITEM,Value
1999,Belgium,Percentage of gross domestic product (GDP),General government,Total general government expenditure,50.1
1999,Belgium,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-0.6
1999,Belgium,Percentage of gross domestic product (GDP),General government,Total general government revenue,49.5
1999,Bulgaria,Percentage of gross domestic product (GDP),General government,Total general government expenditure,39.9
1999,Bulgaria,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),0.1
1999,Bulgaria,Percentage of gross domestic product (GDP),General government,Total general government revenue,40
1999,Czech Republic,Percentage of gross domestic product (GDP),General government,Total general government expenditure,41
1999,Czech Republic,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-3.4
1999,Czech Republic,Percentage of gross domestic product (GDP),General government,Total general government revenue,37.6
1999,Denmark,Percentage of gross domestic product (GDP),General government,Total general government expenditure,54.5
1999,Denmark,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),0.9
1999,Denmark,Percentage of gross domestic product (GDP),General government,Total general government revenue,55.4
1999,Germany (until 1990 former territory of the FRG),Percentage of gross domestic product (GDP),General government,Total general government expenditure,47.7
1999,Germany (until 1990 former territory of the FRG),Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-1.7
1999,Germany (until 1990 former territory of the FRG),Percentage of gross domestic product (GDP),General government,Total general government revenue,46
1999,Estonia,Percentage of gross domestic product (GDP),General government,Total general government expenditure,40.3
1999,Estonia,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-3.3
1999,Estonia,Percentage of gross domestic product (GDP),General government,Total general government revenue,37
1999,Ireland,Percentage of gross domestic product (GDP),General government,Total general government expenditure,33.9
1999,Ireland,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),2.4
1999,Ireland,Percentage of gross domestic product (GDP),General government,Total general government revenue,36.4
1999,Greece,Percentage of gross domestic product (GDP),General government,Total general government expenditure,46.2
1999,Greece,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-5.8
1999,Greece,Percentage of gross domestic product (GDP),General government,Total general government revenue,40.4
1999,Spain,Percentage of gross domestic product (GDP),General government,Total general government expenditure,39.9
1999,Spain,Percentage of gross domestic product (GDP),General government,Net lending (+) /net borrowing (-),-1.3
