TIME,GEO,AGE,UNIT,SEX,Value
1999,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,9.4
1999,Belgium,Total,Percentage of active population,Total,8.5
1999,Bulgaria,Total,Percentage of active population,Total, 
1999,Czech Republic,Total,Percentage of active population,Total,8.7
1999,Denmark,Total,Percentage of active population,Total,5.2
1999,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,8.6
1999,Estonia,Total,Percentage of active population,Total, 
1999,Ireland,Total,Percentage of active population,Total,5.7
1999,Greece,Total,Percentage of active population,Total,12
1999,Spain,Total,Percentage of active population,Total,13.6
1999,France,Total,Percentage of active population,Total,10
1999,Croatia,Total,Percentage of active population,Total, 
1999,Italy,Total,Percentage of active population,Total,10.9
1999,Cyprus,Total,Percentage of active population,Total, 
1999,Latvia,Total,Percentage of active population,Total,14.1
1999,Lithuania,Total,Percentage of active population,Total,14.6
1999,Luxembourg,Total,Percentage of active population,Total,2.4
1999,Hungary,Total,Percentage of active population,Total,6.9
1999,Malta,Total,Percentage of active population,Total, 
1999,Netherlands,Total,Percentage of active population,Total,4.2
1999,Austria,Total,Percentage of active population,Total,4.2
1999,Poland,Total,Percentage of active population,Total,13.4
1999,Portugal,Total,Percentage of active population,Total,5.5
1999,Romania,Total,Percentage of active population,Total,7.1
1999,Slovenia,Total,Percentage of active population,Total,7.3
1999,Slovakia,Total,Percentage of active population,Total,16.5
1999,Finland,Total,Percentage of active population,Total,10.2
1999,Sweden,Total,Percentage of active population,Total,6.7
1999,United Kingdom,Total,Percentage of active population,Total,5.9
2000,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,8.4
2000,Belgium,Total,Percentage of active population,Total,6.9
2000,Bulgaria,Total,Percentage of active population,Total,16.4
2000,Czech Republic,Total,Percentage of active population,Total,8.8
2000,Denmark,Total,Percentage of active population,Total,4.3
2000,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,7.9
2000,Estonia,Total,Percentage of active population,Total,14.6
2000,Ireland,Total,Percentage of active population,Total,4.3
2000,Greece,Total,Percentage of active population,Total,11.2
2000,Spain,Total,Percentage of active population,Total,11.9
2000,France,Total,Percentage of active population,Total,8.6
2000,Croatia,Total,Percentage of active population,Total,15.8
2000,Italy,Total,Percentage of active population,Total,10
2000,Cyprus,Total,Percentage of active population,Total,4.8
2000,Latvia,Total,Percentage of active population,Total,14.3
2000,Lithuania,Total,Percentage of active population,Total,16.4
2000,Luxembourg,Total,Percentage of active population,Total,2.2
2000,Hungary,Total,Percentage of active population,Total,6.3
2000,Malta,Total,Percentage of active population,Total,6.7
2000,Netherlands,Total,Percentage of active population,Total,3.7
2000,Austria,Total,Percentage of active population,Total,3.9
2000,Poland,Total,Percentage of active population,Total,16.1
2000,Portugal,Total,Percentage of active population,Total,5.1
2000,Romania,Total,Percentage of active population,Total,7.6
2000,Slovenia,Total,Percentage of active population,Total,6.7
2000,Slovakia,Total,Percentage of active population,Total,18.9
2000,Finland,Total,Percentage of active population,Total,9.8
2000,Sweden,Total,Percentage of active population,Total,5.6
2000,United Kingdom,Total,Percentage of active population,Total,5.4
2001,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,7.9
2001,Belgium,Total,Percentage of active population,Total,6.6
2001,Bulgaria,Total,Percentage of active population,Total,19.5
2001,Czech Republic,Total,Percentage of active population,Total,8.1
2001,Denmark,Total,Percentage of active population,Total,4.5
2001,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,7.8
2001,Estonia,Total,Percentage of active population,Total,13
2001,Ireland,Total,Percentage of active population,Total,3.9
2001,Greece,Total,Percentage of active population,Total,10.7
2001,Spain,Total,Percentage of active population,Total,10.6
2001,France,Total,Percentage of active population,Total,7.8
2001,Croatia,Total,Percentage of active population,Total,15.9
2001,Italy,Total,Percentage of active population,Total,9
2001,Cyprus,Total,Percentage of active population,Total,3.9
2001,Latvia,Total,Percentage of active population,Total,13.5
2001,Lithuania,Total,Percentage of active population,Total,17.4
2001,Luxembourg,Total,Percentage of active population,Total,1.9
2001,Hungary,Total,Percentage of active population,Total,5.6
2001,Malta,Total,Percentage of active population,Total,7.6
2001,Netherlands,Total,Percentage of active population,Total,3.1
2001,Austria,Total,Percentage of active population,Total,4
2001,Poland,Total,Percentage of active population,Total,18.3
2001,Portugal,Total,Percentage of active population,Total,5.1
2001,Romania,Total,Percentage of active population,Total,7.4
2001,Slovenia,Total,Percentage of active population,Total,6.2
2001,Slovakia,Total,Percentage of active population,Total,19.5
2001,Finland,Total,Percentage of active population,Total,9.1
2001,Sweden,Total,Percentage of active population,Total,5.8
2001,United Kingdom,Total,Percentage of active population,Total,5
2002,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,8.3
2002,Belgium,Total,Percentage of active population,Total,7.5
2002,Bulgaria,Total,Percentage of active population,Total,18.2
2002,Czech Republic,Total,Percentage of active population,Total,7.3
2002,Denmark,Total,Percentage of active population,Total,4.6
2002,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,8.6
2002,Estonia,Total,Percentage of active population,Total,11.2
2002,Ireland,Total,Percentage of active population,Total,4.5
2002,Greece,Total,Percentage of active population,Total,10.3
2002,Spain,Total,Percentage of active population,Total,11.5
2002,France,Total,Percentage of active population,Total,7.9
2002,Croatia,Total,Percentage of active population,Total,15.1
2002,Italy,Total,Percentage of active population,Total,8.5
2002,Cyprus,Total,Percentage of active population,Total,3.5
2002,Latvia,Total,Percentage of active population,Total,12.5
2002,Lithuania,Total,Percentage of active population,Total,13.8
2002,Luxembourg,Total,Percentage of active population,Total,2.6
2002,Hungary,Total,Percentage of active population,Total,5.6
2002,Malta,Total,Percentage of active population,Total,7.4
2002,Netherlands,Total,Percentage of active population,Total,3.7
2002,Austria,Total,Percentage of active population,Total,4.4
2002,Poland,Total,Percentage of active population,Total,20
2002,Portugal,Total,Percentage of active population,Total,6.2
2002,Romania,Total,Percentage of active population,Total,8.3
2002,Slovenia,Total,Percentage of active population,Total,6.3
2002,Slovakia,Total,Percentage of active population,Total,18.8
2002,Finland,Total,Percentage of active population,Total,9.1
2002,Sweden,Total,Percentage of active population,Total,6
2002,United Kingdom,Total,Percentage of active population,Total,5.1
2003,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,8.9
