"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","1995","1995","EUR","Euro","0","Units",,,92903211521,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","1996","1996","EUR","Euro","0","Units",,,102797477263,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","1997","1997","EUR","Euro","0","Units",,,114501692611,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","1998","1998","EUR","Euro","0","Units",,,125062073192,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","1999","1999","EUR","Euro","0","Units",,,133704381907,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2000","2000","EUR","Euro","0","Units",,,141526173939,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2001","2001","EUR","Euro","0","Units",,,152318691938,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2002","2002","EUR","Euro","0","Units",,,163651722408,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2003","2003","EUR","Euro","0","Units",,,179048187595,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2004","2004","EUR","Euro","0","Units",,,193741896590,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2005","2005","EUR","Euro","0","Units",,,199381945592,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2006","2006","EUR","Euro","0","Units",,,217911667377,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2007","2007","EUR","Euro","0","Units",,,232745189542,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2008","2008","EUR","Euro","0","Units",,,241704499260,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2009","2009","EUR","Euro","0","Units",,,237601383179,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2010","2010","EUR","Euro","0","Units",,,226547881081,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2011","2011","EUR","Euro","0","Units",,,207198256676,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2012","2012","EUR","Euro","0","Units",,,191283500343,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2013","2013","EUR","Euro","0","Units",,,180488001722,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2014","2014","EUR","Euro","0","Units",,,177785744884,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2015","2015","EUR","Euro","0","Units",,,175345201606,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2016","2016","EUR","Euro","0","Units",,,175592947548.863,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2017","2017","EUR","Euro","0","Units",,,179495191733.02,,
"GRC","Greece","GDP","Gross domestic product, value, market prices","A","Annual","2018","2018","EUR","Euro","0","Units",,,185221655701.91,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","1995","1995","EUR","Euro","0","Units",,,96067928144.2297,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","1996","1996","EUR","Euro","0","Units",,,106122965316.143,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","1997","1997","EUR","Euro","0","Units",,,116332750273.453,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","1998","1998","EUR","Euro","0","Units",,,126437590032.42,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","1999","1999","EUR","Euro","0","Units",,,136243261541.466,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2000","2000","EUR","Euro","0","Units",,,144058973613.904,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2001","2001","EUR","Euro","0","Units",,,154313764921.024,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2002","2002","EUR","Euro","0","Units",,,164927399465.479,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2003","2003","EUR","Euro","0","Units",,,176033947741.682,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2004","2004","EUR","Euro","0","Units",,,186454257233.481,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2005","2005","EUR","Euro","0","Units",,,194103193307.509,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2006","2006","EUR","Euro","0","Units",,,203671192176.583,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2007","2007","EUR","Euro","0","Units",,,212699097389.741,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2008","2008","EUR","Euro","0","Units",,,222214070361.346,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2009","2009","EUR","Euro","0","Units",,,226958999504.328,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2010","2010","EUR","Euro","0","Units",,,226122265659.832,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2011","2011","EUR","Euro","0","Units",,,224006783053.573,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2012","2012","EUR","Euro","0","Units",,,219472737998.706,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2013","2013","EUR","Euro","0","Units",,,211511807312.885,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2014","2014","EUR","Euro","0","Units",,,205422853057.461,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2015","2015","EUR","Euro","0","Units",,,202055277723.669,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2016","2016","EUR","Euro","0","Units",,,201754346758.783,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2017","2017","EUR","Euro","0","Units",,,203720499979.157,,
"GRC","Greece","GDPTR","Potential output of total economy, value","A","Annual","2018","2018","EUR","Euro","0","Units",,,207000393719.617,,
