"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TOT","Terms of trade","1970","1970",,,"0","Units",,,56.5516030491123,,
"AUS","Australia","TOT","Terms of trade","1971","1971",,,"0","Units",,,52.9921079604602,,
"AUS","Australia","TOT","Terms of trade","1972","1972",,,"0","Units",,,63.0726305958714,,
"AUS","Australia","TOT","Terms of trade","1973","1973",,,"0","Units",,,67.7954878947126,,
"AUS","Australia","TOT","Terms of trade","1974","1974",,,"0","Units",,,61.6865038423902,,
"AUS","Australia","TOT","Terms of trade","1975","1975",,,"0","Units",,,58.8565118407385,,
"AUS","Australia","TOT","Terms of trade","1976","1976",,,"0","Units",,,56.9792448228937,,
"AUS","Australia","TOT","Terms of trade","1977","1977",,,"0","Units",,,51.8290083676428,,
"AUS","Australia","TOT","Terms of trade","1978","1978",,,"0","Units",,,52.1820813774668,,
"AUS","Australia","TOT","Terms of trade","1979","1979",,,"0","Units",,,54.0957925260343,,
"AUS","Australia","TOT","Terms of trade","1980","1980",,,"0","Units",,,53.6460653796073,,
"AUS","Australia","TOT","Terms of trade","1981","1981",,,"0","Units",,,52.8134105708231,,
"AUS","Australia","TOT","Terms of trade","1982","1982",,,"0","Units",,,52.0247274985451,,
"AUS","Australia","TOT","Terms of trade","1983","1983",,,"0","Units",,,53.2846088940289,,
"AUS","Australia","TOT","Terms of trade","1984","1984",,,"0","Units",,,52.4583112989366,,
"AUS","Australia","TOT","Terms of trade","1985","1985",,,"0","Units",,,47.4820089469573,,
"AUS","Australia","TOT","Terms of trade","1986","1986",,,"0","Units",,,44.89075288382,,
"AUS","Australia","TOT","Terms of trade","1987","1987",,,"0","Units",,,48.7744651896588,,
"AUS","Australia","TOT","Terms of trade","1988","1988",,,"0","Units",,,56.0010595736356,,
"AUS","Australia","TOT","Terms of trade","1989","1989",,,"0","Units",,,56.1881735491636,,
"AUS","Australia","TOT","Terms of trade","1990","1990",,,"0","Units",,,53.2277691744218,,
"AUS","Australia","TOT","Terms of trade","1991","1991",,,"0","Units",,,51.5826668167821,,
"AUS","Australia","TOT","Terms of trade","1992","1992",,,"0","Units",,,49.4471075674171,,
"AUS","Australia","TOT","Terms of trade","1993","1993",,,"0","Units",,,48.0577120107631,,
"AUS","Australia","TOT","Terms of trade","1994","1994",,,"0","Units",,,49.6315068360169,,
"AUS","Australia","TOT","Terms of trade","1995","1995",,,"0","Units",,,51.2135909481129,,
"AUS","Australia","TOT","Terms of trade","1996","1996",,,"0","Units",,,52.7385746897089,,
"AUS","Australia","TOT","Terms of trade","1997","1997",,,"0","Units",,,52.4500328299009,,
"AUS","Australia","TOT","Terms of trade","1998","1998",,,"0","Units",,,49.8844963085786,,
"AUS","Australia","TOT","Terms of trade","1999","1999",,,"0","Units",,,51.881490515068,,
"AUS","Australia","TOT","Terms of trade","2000","2000",,,"0","Units",,,52.7726154093608,,
"AUS","Australia","TOT","Terms of trade","2001","2001",,,"0","Units",,,53.5626658866992,,
