EU,Country,Import,Export
1,Austria,3035093773,1603887250
1,Belgium,20479579954,11588539567
1,Bulgaria,366959616,347130853
1,Croatia,94328751,138163828
1,Cyprus,155947932,370796972
1,Czech Republic,4860470895,1961860884
1,Denmark,3454420512,2312023779
1,Estonia,187994715,219134622
1,Finland,2046049239,1344141247
1,France,24053493401,17843061918
1,Germany,60857730461,30477624924
1,Greece,714245423,878980205
1,Hungary,2520056196,1276325440
1,Irish Republic,12516418948,16680440775
1,Italy,15819925987,8414300391
1,Latvia,477445670,215480847
1,Lithuania,776124659,269700709
1,Luxembourg,484794198,219163675
1,Malta,181616572,376182841
1,Netherlands,31059117342,17303860355
1,Poland,8103511334,3618117144
1,Portugal,2337756512,1249424669
1,Romania,1548691259,986538940
1,Slovakia,2000698161,441802974
1,Slovenia,323571607,201553360
1,Spain,14005214767,8854952489
1,Sweden,6821142679,4414002623
0,Afghanistan,1985648,17828316
0,American Samoa,,163879
0,Antarctica,193709,726986
0,Australia,2099557279,3783022285
0,Bangladesh,1971558163,133852535
0,Bhutan,45986,802404
0,Bouvet Island,87812,63821
0,Brunei,69504958,412270059
0,Burma,101928476,17110658
0,Cambodia,818377896,16533923
0,China,36103028931,18071890531
0,Christmas Is,8089,53619
0,Cocos Islands,66458,8632
0,Cook Islands,25042,80081
0,Fiji,29395983,8741209
0,Fr Southern Terr,,40794
0,French Polynesia,138845,6847132
0,Guam,339296,3601244
0,Heard & McDonald,109263,13846
0,Hong Kong,6572988299,6626273352
0,India,6062539045,3910924527
0,Indonesia,1089912315,461181004
0,Japan,7028016311,4309963258
0,Kiribati,13332,81506
0,Laos,22431971,6383483
0,Macao,13224858,46103146
0,Malaysia,1852914500,1345708559
0,Maldives,9618511,17127783
0,Marshall Islands,3354433,1659159
0,Micronesia,,72457
0,Mongolia,8977780,9057394
0,N Mariana Is,17990,127201
0,Nauru,106242,139715
0,Nepal,18002003,10232295
0,New Caledonia,1023334,18079052
0,New Zealand,901839411,564280659
0,Niue Island,115116,76132
0,Norfolk Island,44565,8828
0,North Korea,237883,259028
0,Pakistan,1068764734,515623451
0,Palau,3893,197505
0,Papua New Guinea,107559483,15282616
0,Philippines,409350709,392852069
0,Pitcairn,114193,18260
0,Samoa,714560,165341
0,Singapore,1921230572,3927296593
0,Solomon Islands,711609,981471
0,South Korea,4363987606,4686826073
0,Sri Lanka,1143042799,241321692
0,Taiwan,3179046845,1159838968
0,Thailand,2577775757,1235315478
0,Timor-Leste,23272,251086
0,Tonga,174796,1137167
0,Tuvalu,169649,76083
0,US Minor Islands,1332547,22237
0,Vanuatu,6710024,933073
0,Vietnam,3140620383,376478645
0,Wallis & Futuna,12302,9676
0,Albania,3393381,15340107
0,Armenia,1166573,14585914
0,Azerbaijan,78310083,662607548
0,Belarus,27014419,65491848
0,Bosnia & Herz.,16892197,24116044
0,Fyr Macedonia,29970922,529965641
0,Georgia,46727898,61682721
0,Kazakhstan,600290184,335291585
0,Kosovo,589852,3591631
0,Kyrgyz Republic,1290876,5457989
0,Moldova,45035673,36872806
0,Montenegro,2803214,10054080
0,Russia,4335127597,2547349830
0,Serbia,141308931,127997486
0,Tajikistan,421408,1081812
0,Turkmenistan,30299189,27166565
0,Ukraine,247686277,283165740
0,Uzbekistan,905713,19871068
0,Anguilla,62949,826982
0,Antigua:Barbuda,4052493,25697325
0,Argentina,596590568,288562592
0,Aruba,87918,19940038
0,Bahamas,6556098,29395835
0,Barbados,5540566,35810470
0,Belize,82223087,6770402
0,Bermuda,28184535,22822189
0,Bolivia,13197193,23677341
0,Bonaire,5718,4401541
0,Br Virgin Is,9188979,42015045
0,Brazil,2459878282,2143190322
0,Cayman Islands,794479,18850390
0,Chile,581200083,447256878
0,Colombia,637056320,360831338
0,Costa Rica,204482809,75183512
0,Cuba,17928158,25264992
0,Curacao,4676132,22534580
0,Dominica,486199,5942957
0,Dominican Rep,129179624,130898376
0,Ecuador,109779075,119076187
0,El Salvador,8013467,17387655
0,Falkland Islands,8271216,130626184
0,Grenada,447048,6486012
0,Guatemala,82771752,34032746
0,Guyana,55966993,23874385
0,Haiti,2068990,6908305
0,Honduras,125938521,12161178
0,Jamaica,53179555,45731701
0,Montserrat,13591,419342
0,Nicaragua,23982012,8995201
0,Panama,25372116,172391124
0,Paraguay,13424809,26918816
0,Peru,253166583,184566688
0,Saint Barthelemy,540057,1263798
0,Sint Maarten,16229075,5571095
0,St Kitts & Nevis,214091,10631491
0,St Lucia,5624251,14550330
0,St Vincent,2923923,10974430
0,Surinam,282977,12390449
0,Trinidad:Tobago,119608836,142288253
0,Turks & Caicos,139250,2358504
0,Uruguay,70079462,214180228
0,Us Virgin Is,2437458,2245125
0,Venezuela,199551199,208601569
0,Algeria,1790796056,333257118
0,Bahrain,197713202,297293006
0,Ceuta,1333,2540336
0,Egypt,667718423,1010858736
0,Iran,24682494,94234344
0,Iraq,53304439,282080613
