GEO,TIME,UNIT,S_ADJ,NA_ITEM,Value
United Kingdom,1995Q1,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,71308.6
United Kingdom,1995Q2,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,70798.3
United Kingdom,1995Q3,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,73938.8
United Kingdom,1995Q4,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,75773.4
United Kingdom,1996Q1,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,75248
United Kingdom,1996Q2,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,76888.8
United Kingdom,1996Q3,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,78655.5
United Kingdom,1996Q4,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,82572.3
United Kingdom,1997Q1,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,79913.1
United Kingdom,1997Q2,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,83510.1
United Kingdom,1997Q3,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,87575.4
United Kingdom,1997Q4,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,87042.5
United Kingdom,1998Q1,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,85201.5
United Kingdom,1998Q2,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,86693.7
United Kingdom,1998Q3,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,87949
United Kingdom,1998Q4,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,89090.3
United Kingdom,1999Q1,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,84581.3
United Kingdom,1999Q2,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,87537.8
United Kingdom,1999Q3,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,92702.4
United Kingdom,1999Q4,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,93967.4
United Kingdom,2000Q1,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,94054.6
United Kingdom,2000Q2,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,97209.2
United Kingdom,2000Q3,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,97987.6
United Kingdom,2000Q4,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,103873.5
United Kingdom,2001Q1,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,101917.3
United Kingdom,2001Q2,"Chain linked volumes (2010), million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Exports of goods and services,100664.1
