(1900=100),Beef,Hides,Lamb,Pork,Coal,Natural gas,Petroleum,Barley,Corn,Rice,Rye,Wheat,Aluminum,Chromium,Copper,Lead,Manganese,Nickel,Steel,Tin,Zinc,Bauxite,Iron ore,Phosphate,Potash,Sulfur,Gold,Platinum,Silver,Cocoa,Coffee,Cotton,Cottonseed,Palm oil,Peanuts,Rubber,Sugar,Tea,Tobacco,Wool
1850,76.81,64.52,78.37,55.13,94.97,,,116.84,98.80,124.97,189.66,98.05,,,115.81,138.68,,416.08,58.31,61.75,86.29,,,,,,107.53,,214.40,79.91,138.99,134.81,,117.31,,,210.84,191.12,181.27,121.18
1851,78.47,77.74,81.92,76.31,108.08,,,126.47,98.94,118.76,205.84,70.05,,,118.31,137.69,,425.07,60.08,66.32,83.36,,,,,,109.85,,219.03,78.67,120.28,111.49,,111.85,,,224.01,182.45,202.11,129.03
1852,80.21,73.57,81.05,92.36,104.16,,,143.71,106.77,132.18,224.24,68.54,,,133.55,140.16,,420.53,62.09,68.01,94.93,,,,,,108.68,,216.69,63.19,112.38,110.30,,114.61,,,196.05,155.16,180.21,144.90
1853,100.92,85.27,99.47,84.04,113.50,,,166.83,109.24,160.08,200.92,111.95,,,159.06,189.52,,370.41,67.44,90.42,153.49,,,,,,108.68,,216.69,92.88,115.69,107.06,,146.22,,,221.62,193.16,183.08,156.98
1854,102.38,90.77,91.53,67.31,128.82,,,166.45,118.18,166.22,146.90,152.60,,,158.79,174.38,,340.84,63.70,85.41,163.24,,,,,,100.00,,199.38,94.58,123.18,86.57,,174.55,,,196.08,180.65,169.19,134.13
1855,101.76,104.61,87.26,84.30,124.43,,,156.75,135.84,170.64,119.30,178.46,,,154.24,165.86,,305.76,44.28,82.25,130.28,,,,,,97.14,,193.67,91.88,116.69,92.79,,155.42,,,220.94,170.50,166.46,128.74
1856,96.67,131.02,88.96,86.45,122.91,,,188.18,97.08,133.82,187.65,144.36,,,147.67,179.88,,311.71,43.51,96.97,143.94,,,,,,99.03,,197.44,93.66,129.51,112.33,,151.24,,,256.30,168.62,173.91,157.19
1857,96.22,159.87,88.06,99.91,135.64,,,187.29,106.94,133.92,177.48,123.68,,,150.12,169.54,,279.72,42.27,94.93,170.08,,,,,,96.33,,192.14,85.81,128.76,126.38,,157.45,,,309.41,195.24,172.03,168.00
1858,99.58,138.10,88.17,80.96,126.41,,,164.13,110.75,104.76,220.69,93.49,,,138.03,164.91,,245.41,44.82,87.87,154.82,,,,,,102.01,,203.38,90.05,128.75,133.98,,144.66,,,264.01,196.88,175.44,159.08
1859,98.59,139.84,90.72,88.15,120.67,,,156.90,124.31,117.37,183.39,125.30,,,136.66,165.11,,242.98,44.37,99.64,124.34,,,,,,100.99,,201.36,76.42,138.22,120.59,,165.26,,,245.55,218.70,169.06,171.93
