year,total,manufactured,other
1900,10100,4000,6100
1901,10200,3900,6300
1902,10400,4000,6400
1903,11100,4200,6900
1904,11500,4400,7100
1905,12300,4900,7400
1906,13700,5500,8200
1907,14500,5900,8600
1908,13600,5400,8200
1909,14500,5600,8900
1910,15900,6200,9700
1911,16800,6700,10100
1912,18300,7400,10900
1913,19500,8000,11500
1921,19700,8200,11500
1922,21700,9000,12700
1923,24500,9900,14600
1924,27400,10900,16500
1925,31400,12700,18700
1926,29800,12200,17600
1927,31400,13000,18400
1928,32700,13900,18800
1929,33000,14600,18400
1930,26300,11800,14500
1931,18700,8400,10300
1932,12700,5400,7300
1933,14700,6300,8400
1934,18800,8000,10800
1935,19500,8600,10900
1936,21100,8900,12200
1937,25800,11100,14700
1938,22700,10300,12400
1948,57300,24100,33200
1950,60900,25100,35800
1951,82400,35300,47100
1952,80000,36700,43300
1953,82000,38700,43300
1954,85500,40600,44900
1955,92800,45600,47200
1956,102800,51800,51000
1957,110800,56500,54300
1958,106800,56100,50700
1959,114700,61300,53400
1960,127300,69500,57800
