Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
1960,2.97   ,3.02   ,3.05   ,3.04   ,3.05   ,2.97   ,3.26   ,3.31   ,3.25   ,3.25   ,3.25   ,3.25   
1961,3.03   ,2.97   ,2.97   ,3.14   ,3.35   ,3.20   ,3.05   ,2.80   ,2.69   ,2.73   ,2.53   ,2.46   
1962,2.30   ,2.36   ,2.65   ,2.69   ,2.60   ,2.63   ,2.92   ,3.24   ,3.18   ,3.28   ,3.65   ,4.29   
1963,5.41   ,6.06   ,6.62   ,7.65   ,10.36   ,9.92   ,9.05   ,6.63   ,7.63   ,10.67   ,11.63   ,10.36   
1964,10.64   ,9.11   ,7.43   ,8.05   ,7.12   ,5.33   ,4.80   ,4.37   ,3.71   ,3.70   ,3.40   ,2.76   
1965,2.41   ,2.25   ,2.63   ,2.40   ,2.35   ,1.96   ,1.94   ,1.79   ,1.85   ,2.03   ,1.81   ,1.96   
1966,2.47   ,2.25   ,2.17   ,2.09   ,2.09   ,1.72   ,1.78   ,1.69   ,1.55   ,1.59   ,1.47   ,1.41   
1967,1.35   ,1.71   ,1.61   ,2.10   ,2.59   ,2.52   ,1.90   ,1.68   ,1.80   ,2.15   ,2.32   ,2.17   
1968,2.20   ,2.17   ,1.93   ,1.84   ,1.98   ,1.78   ,1.71   ,1.66   ,1.45   ,1.90   ,2.39   ,2.77   
1969,2.95   ,3.23   ,3.70   ,3.76   ,3.78   ,3.95   ,3.72   ,3.18   ,3.10   ,3.12   ,3.08   ,2.86   
1970,3.12   ,3.23   ,3.44   ,3.61   ,3.75   ,3.82   ,3.86   ,3.89   ,3.93   ,3.99   ,4.18   ,4.16   
1971,4.73   ,4.83   ,4.71   ,4.61   ,4.35   ,4.14   ,4.20   ,4.37   ,3.99   ,4.18   ,4.20   ,5.95   
1972,8.25   ,8.62   ,8.73   ,7.29   ,7.01   ,6.58   ,5.58   ,6.28   ,7.04   ,7.42   ,7.25   ,9.08   
1973,9.40   ,9.06   ,8.89   ,9.06   ,9.67   ,9.77   ,9.81   ,9.09   ,9.01   ,9.56   ,10.14   ,11.83   
1974,15.32   ,21.28   ,21.27   ,21.77   ,23.65   ,23.67   ,25.40   ,31.45   ,34.35   ,39.63   ,57.17   ,44.97   
1975,38.32   ,33.72   ,26.50   ,24.06   ,17.38   ,13.83   ,17.06   ,18.73   ,15.45   ,14.09   ,13.40   ,13.29   
1976,14.04   ,13.52   ,14.92   ,14.06   ,14.58   ,12.99   ,13.21   ,9.99   ,8.16   ,8.03   ,7.91   ,7.54   
1977,8.37   ,8.56   ,8.98   ,10.12   ,8.94   ,7.82   ,7.38   ,7.61   ,7.30   ,7.08   ,7.07   ,8.09   
1978,8.77   ,8.48   ,7.74   ,7.59   ,7.33   ,7.23   ,6.43   ,7.08   ,8.17   ,8.96   ,8.01   ,8.00   
1979,7.57   ,8.24   ,8.47   ,7.82   ,7.86   ,8.14   ,8.52   ,8.85   ,9.91   ,11.93   ,13.69   ,14.86   
1980,17.23   ,23.03   ,20.12   ,21.61   ,31.33   ,31.61   ,28.12   ,31.98   ,35.12   ,41.09   ,37.94   ,29.00   
1981,28.04   ,24.27   ,21.77   ,17.90   ,15.08   ,16.35   ,16.32   ,14.76   ,11.66   ,12.13   ,11.96   ,12.96   
1982,12.99   ,13.05   ,11.24   ,9.53   ,8.12   ,6.85   ,7.83   ,6.80   ,5.90   ,5.91   ,6.50   ,6.27   
1983,5.98   ,6.40   ,6.18   ,6.71   ,9.27   ,10.80   ,10.53   ,10.52   ,9.46   ,9.67   ,8.52   ,7.82   
1984,6.95   ,6.58   ,6.42   ,5.96   ,5.58   ,5.48   ,4.51   ,4.01   ,4.11   ,4.66   ,4.41   ,3.51   
1985,3.59   ,3.66   ,3.78   ,3.37   ,2.77   ,2.74   ,3.15   ,4.35   ,5.14   ,5.01   ,5.53   ,5.37   
1986,4.87   ,5.55   ,7.07   ,8.36   ,7.64   ,6.36   ,5.58   ,5.50   ,4.67   ,5.42   ,5.93   ,5.66   
1987,6.47   ,7.32   ,7.51   ,6.64   ,6.71   ,6.40   ,6.03   ,5.57   ,5.79   ,6.60   ,7.28   ,8.25   
1988,9.64   ,8.40   ,8.48   ,8.49   ,8.85   ,10.52   ,14.04   ,11.09   ,10.18   ,10.29   ,10.82   ,11.28   
1989,9.69   ,10.49   ,11.54   ,12.14   ,11.93   ,12.63   ,14.01   ,13.96   ,14.13   ,14.42   ,15.02   ,13.52   
1990,14.38   ,14.63   ,15.39   ,15.24   ,14.62   ,12.99   ,11.92   ,10.92   ,11.00   ,9.77   ,10.00   ,9.72   
1991,8.88   ,8.57   ,9.22   ,8.55   ,7.88   ,9.37   ,10.26   ,9.45   ,9.39   ,9.10   ,8.79   ,9.03   
