Country,Inc_pw_us,TFP_K06_US,Measure,Year
Algeria,0.321,0.362,LF,1961
Algeria,0.255,0.295,LF,1962
Algeria,0.302,0.358,LF,1963
Algeria,0.346,0.423,LF,1964
Algeria,0.366,0.461,LF,1965
Algeria,0.307,0.401,LF,1966
Algeria,0.321,0.431,LF,1967
Algeria,0.325,0.445,LF,1968
Algeria,0.326,0.453,LF,1969
Algeria,0.348,0.485,LF,1970
Algeria,0.314,0.44,LF,1971
Algeria,0.368,0.519,LF,1972
Algeria,0.331,0.468,LF,1973
Algeria,0.338,0.471,LF,1974
Algeria,0.357,0.487,LF,1975
Algeria,0.379,0.51,LF,1976
Algeria,0.364,0.484,LF,1977
Algeria,0.358,0.471,LF,1978
Algeria,0.393,0.514,LF,1979
Algeria,0.415,0.54,LF,1980
Algeria,0.407,0.532,LF,1981
Algeria,0.441,0.575,LF,1982
Algeria,0.431,0.56,LF,1983
Algeria,0.414,0.544,LF,1984
Algeria,0.422,0.557,LF,1985
Algeria,0.419,0.56,LF,1986
Algeria,0.404,0.551,LF,1987
Algeria,0.359,0.497,LF,1988
Algeria,0.349,0.491,LF,1989
Algeria,0.327,0.467,LF,1990
Algeria,0.328,0.475,LF,1991
Algeria,0.315,0.464,LF,1992
Algeria,0.295,0.444,LF,1993
Algeria,0.273,0.419,LF,1994
Algeria,0.267,0.42,LF,1995
Algeria,0.263,0.423,LF,1996
Algeria,0.249,0.41,LF,1997
Algeria,0.242,0.406,LF,1998
Algeria,0.236,0.405,LF,1999
Algeria,0.225,0.395,LF,2000
Angola,0.144,0.376,LF,1961
Angola,0.14,0.365,LF,1962
Angola,0.138,0.364,LF,1963
Angola,0.137,0.361,LF,1964
Angola,0.138,0.364,LF,1965
Angola,0.135,0.355,LF,1966
Angola,0.141,0.36,LF,1967
Angola,0.137,0.343,LF,1968
Angola,0.144,0.357,LF,1969
Angola,0.15,0.365,LF,1970
Angola,0.148,0.355,LF,1971
Angola,0.143,0.339,LF,1972
Angola,0.146,0.344,LF,1973
Angola,0.139,0.329,LF,1974
Angola,0.094,0.226,LF,1975
Angola,0.08,0.196,LF,1976
Angola,0.078,0.195,LF,1977
Angola,0.078,0.199,LF,1978
Angola,0.077,0.2,LF,1979
Angola,0.08,0.212,LF,1980
Angola,0.072,0.193,LF,1981
Angola,0.073,0.197,LF,1982
Angola,0.076,0.205,LF,1983
Angola,0.073,0.202,LF,1984
Angola,0.076,0.213,LF,1985
Angola,0.076,0.216,LF,1986
Angola,0.08,0.23,LF,1987
Angola,0.082,0.243,LF,1988
Angola,0.079,0.238,LF,1989
Angola,0.076,0.234,LF,1990
Angola,0.075,0.237,LF,1991
Angola,0.073,0.238,LF,1992
Angola,0.045,0.146,LF,1993
Angola,0.043,0.144,LF,1994
Angola,0.047,0.158,LF,1995
Angola,0.05,0.17,LF,1996
Angola,0.048,0.166,LF,1997
Angola,0.05,0.176,LF,1998
Angola,0.052,0.185,LF,1999
Angola,0.047,0.172,LF,2000
Argentina,0.537,0.649,LF,1961
Argentina,0.507,0.609,LF,1962
Argentina,0.464,0.56,LF,1963
Argentina,0.48,0.578,LF,1964
Argentina,0.5,0.602,LF,1965
Argentina,0.47,0.57,LF,1966
Argentina,0.477,0.579,LF,1967
Argentina,0.477,0.58,LF,1968
Argentina,0.506,0.612,LF,1969
Argentina,0.52,0.623,LF,1970
Argentina,0.535,0.635,LF,1971
Argentina,0.517,0.61,LF,1972
Argentina,0.506,0.599,LF,1973
Argentina,0.542,0.641,LF,1974
Argentina,0.555,0.651,LF,1975
Argentina,0.519,0.606,LF,1976
Argentina,0.53,0.615,LF,1977
Argentina,0.487,0.569,LF,1978
Argentina,0.525,0.614,LF,1979
Argentina,0.553,0.645,LF,1980
Argentina,0.513,0.604,LF,1981
Argentina,0.487,0.576,LF,1982
Argentina,0.484,0.578,LF,1983
Argentina,0.462,0.56,LF,1984
Argentina,0.424,0.523,LF,1985
Argentina,0.436,0.546,LF,1986
Argentina,0.433,0.548,LF,1987
Argentina,0.391,0.501,LF,1988
Argentina,0.343,0.447,LF,1989
Argentina,0.321,0.426,LF,1990
Argentina,0.362,0.485,LF,1991
Argentina,0.398,0.534,LF,1992
Argentina,0.455,0.611,LF,1993
Argentina,0.462,0.621,LF,1994
Argentina,0.441,0.597,LF,1995
Argentina,0.449,0.611,LF,1996
Argentina,0.46,0.63,LF,1997
Argentina,0.456,0.627,LF,1998
Argentina,0.421,0.588,LF,1999
Argentina,0.398,0.564,LF,2000
Australia,0.856,0.769,LF,1961
Australia,0.856,0.768,LF,1962
Australia,0.871,0.779,LF,1963
Australia,0.881,0.784,LF,1964
Australia,0.84,0.75,LF,1965
Australia,0.83,0.743,LF,1966
Australia,0.844,0.755,LF,1967
Australia,0.868,0.774,LF,1968
Australia,0.876,0.781,LF,1969
Australia,0.904,0.804,LF,1970
Australia,0.896,0.796,LF,1971
Australia,0.867,0.774,LF,1972
Australia,0.858,0.769,LF,1973
Australia,0.861,0.776,LF,1974
Australia,0.889,0.801,LF,1975
Australia,0.873,0.787,LF,1976
Australia,0.829,0.756,LF,1977
Australia,0.824,0.759,LF,1978
Australia,0.816,0.759,LF,1979
Australia,0.844,0.79,LF,1980
Australia,0.848,0.8,LF,1981
Australia,0.842,0.801,LF,1982
