year,terms_of_trade
1901,64.1
1902,69.5
1903,76.0
1904,76.9
1905,80.9
1906,79.7
1907,78.6
1908,76.1
1909,76.0
1910,76.4
1911,73.2
1912,73.6
1913,75.0
1914,73.7
1915,74.5
1916,73.6
1917,72.4
1918,67.4
1919,57.9
1920,56.6
1921,48.7
1922,46.3
1923,66.7
1924,90.6
1925,105.7
1926,76.6
1927,76.9
1928,85.7
1929,80.1
1930,64.1
1931,48.6
1932,48.6
1933,51.3
1934,66.7
1935,55.9
1936,69.5
1937,80.6
1938,67.7
1939,55.9
1940,57.9
1941,51.9
1942,45.6
1943,42.5
1944,40.9
1945,44.3
1946,48.9
1947,59.4
1948,70.6
1949,79.1
1950,80.2
1951,117.3
1952,73.6
1953,79.7
1954,82.8
1955,77.2
1956,68.9
1957,74.1
1958,68.6
1959,61.8
1960,66.8
1961,63.9
1962,64.6
1963,66.0
1964,72.7
1965,69.3
1966,69.3
1967,68.9
1968,66.1
1969,67.8
1970,69.1
1971,64.7
1972,60.6
1973,72.2
1974,77.6
1975,70.6
1976,67.4
1977,65.2
1978,59.3
1979,59.7
1980,61.9
1981,61.4
1982,60.4
1983,59.5
1984,61.0
1985,60.0
1986,54.3
1987,51.4
1988,55.8
1989,64.1
1990,64.3
1991,60.9
1992,59.0
1993,56.6
1994,55.0
1995,56.8
1996,58.6
1997,60.4
1998,60.0
1999,57.1
2000,59.4
2001,60.4
2002,61.3
2003,62.2
2004,66.8
2005,73.2
2006,81.1
2007,87.0
2008,91.8
2009,98.9
2010,94.9
2011,114.4
2012,114.9
2013,103.8
2014,100.0
,89.7
