"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2013-01","Jan-2013","IDX","Index","0","Units","2010_100","2010=100",106.9463,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2013-02","Feb-2013","IDX","Index","0","Units","2010_100","2010=100",107.3198,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2013-03","Mar-2013","IDX","Index","0","Units","2010_100","2010=100",107.8485,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2013-04","Apr-2013","IDX","Index","0","Units","2010_100","2010=100",107.8745,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2013-05","May-2013","IDX","Index","0","Units","2010_100","2010=100",108.0241,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2013-06","Jun-2013","IDX","Index","0","Units","2010_100","2010=100",108.1413,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2013-07","Jul-2013","IDX","Index","0","Units","2010_100","2010=100",108.1737,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2013-08","Aug-2013","IDX","Index","0","Units","2010_100","2010=100",108.2924,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2013-09","Sep-2013","IDX","Index","0","Units","2010_100","2010=100",108.4433,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2013-10","Oct-2013","IDX","Index","0","Units","2010_100","2010=100",108.5463,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2013-11","Nov-2013","IDX","Index","0","Units","2010_100","2010=100",108.5129,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2013-12","Dec-2013","IDX","Index","0","Units","2010_100","2010=100",108.8115,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2014-01","Jan-2014","IDX","Index","0","Units","2010_100","2010=100",108.5304,,
