"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTNTVA01","Net trade in goods (value)","USA","United States","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","1990-01","Jan-1990","USD","US Dollar","9","Billions",,,-9.7672,,
"XTNTVA01","Net trade in goods (value)","USA","United States","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","1990-02","Feb-1990","USD","US Dollar","9","Billions",,,-7.4548,,
"XTNTVA01","Net trade in goods (value)","USA","United States","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","1990-03","Mar-1990","USD","US Dollar","9","Billions",,,-8.6426,,
"XTNTVA01","Net trade in goods (value)","USA","United States","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","1990-04","Apr-1990","USD","US Dollar","9","Billions",,,-7.7525,,
"XTNTVA01","Net trade in goods (value)","USA","United States","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","1990-05","May-1990","USD","US Dollar","9","Billions",,,-8.0886,,
"XTNTVA01","Net trade in goods (value)","USA","United States","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","1990-06","Jun-1990","USD","US Dollar","9","Billions",,,-6.9911,,
"XTNTVA01","Net trade in goods (value)","USA","United States","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","1990-07","Jul-1990","USD","US Dollar","9","Billions",,,-9.0081,,
"XTNTVA01","Net trade in goods (value)","USA","United States","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","1990-08","Aug-1990","USD","US Dollar","9","Billions",,,-9.2384,,
"XTNTVA01","Net trade in goods (value)","USA","United States","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","1990-09","Sep-1990","USD","US Dollar","9","Billions",,,-9.0322,,
"XTNTVA01","Net trade in goods (value)","USA","United States","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","1990-10","Oct-1990","USD","US Dollar","9","Billions",,,-9.3829,,
