year,total,food,mineral_fuels,manufactures,machines
1950,2436,931,168,631,281
1951,3362,1131,262,961,391
1952,3637,1237,352,1050,413
1953,3712,1234,327,1057,519
1954,4162,1333,447,1124,611
1955,4634,1445,524,1276,673
1956,4935,1492,603,1325,696
1957,5341,1499,764,1400,778
1958,5548,1541,729,1477,908
1959,6218,1763,668,1664,1088
1960,6945,1856,812,1843,1283
1961,7130,1796,849,1855,1390
1962,7531,1913,888,1885,1538
1963,8151,2082,829,2111,1690
1964,9541,2280,869,2505,2172
1965,10502,2575,916,2836,2194
1966,11092,2582,806,3069,2370
1967,11971,2838,942,3257,2412
1968,13703,3289,1097,3634,2705
1969,16429,3795,1358,4676,3132
1970,19341,4497,2065,5260,3539
1971,22133,4850,2637,6274,4048
1972,24458,5262,3024,6646,4521
1973,30348,6657,3945,7958,5302
1974,39929,7371,6368,10101,6239
1975,40230,8534,7066,9373,7004
1976,48108,9611,8508,11204,8817
1977,48643,10000,8829,11305,8445
1978,49094,10345,7931,11318,9077
1979,57943,11275,11037,12446,10002
1980,66691,12470,14782,13935,11218
1981,77493,15419,18595,15110,12259
1982,80211,16067,19177,15552,12927
1983,83655,16095,20013,15711,13512
1984,95595,17896,21970,18020,15561
1985,102562,18464,23676,19874,17154
1986,89524,17651,13580,19678,17693
1987,85318,17530,9453,19519,17877
1988,92470,18458,7862,21986,20270
1989,104101,20520,9415,24785,23519
1990,108536,21066,10508,26044,25610
1991,113014,22205,11168,27500,26701
1992,111875,22907,9593,27605,26828
1993,117230,24243,10410,27256,29184
1994,130440,25788,9783,30262,32975
1995,143468,26873,10106,32792,38653
1996,153752,27891,11488,35308,44066
1997,171421,28603,12378,39910,51986
1998,180729,29361,10150,42114,59551
1999,188598,29985,11130,43200,63966
2000,231854,33157,19917,50144,79469
2001,241339,34755,22224,51245,83153
2002,232704,35505,19004,49939,76170
2003,234166,35375,19366,49866,76720
2004,255697,36674,0,0,84219
2005,281307,38019,30813,56786,90732
2006,318961,40633,41430,65956,97937
2007,347510,44470,42214,66628,113398
2008,370489,48234,56803,69954,107391
2009,309369,46042,0,0,88256
2010,371549,51367,50963,70000,106479
2011,409358,55084,67812,76391,111812
2012,429717,57196,82827,77076,109819
2013,433106,61159,85711,78313,109013
2014,433405,62468,73302,82741,115213
2015,418982,62156,56955,85144,117097
2016,425039,65303,50490,90195,121388
