TIME,GEO,UNIT,NA_ITEM,Value
2007,European Union (28 countries),Euro,Compensation per employee,31440.1
2007,European Union (28 countries),Euro,Compensation of employees per hour worked,19.5
2007,European Union (28 countries),Euro,Nominal labour productivity per person,
2007,European Union (28 countries),Euro,Nominal labour productivity per hour worked,
2007,European Union (28 countries),Euro,Real labour productivity per person,
2007,European Union (28 countries),Euro,Real labour productivity per hour worked,
2007,European Union (28 countries),Euro,Nominal unit labour cost based on persons,
2007,European Union (28 countries),Euro,Nominal unit labour cost based on hours worked,
2007,European Union (28 countries),Purchasing power standard (PPS),Compensation per employee,31440.1
2007,European Union (28 countries),Purchasing power standard (PPS),Compensation of employees per hour worked,19.5
2007,European Union (28 countries),Purchasing power standard (PPS),Nominal labour productivity per person,
2007,European Union (28 countries),Purchasing power standard (PPS),Nominal labour productivity per hour worked,
2007,European Union (28 countries),Purchasing power standard (PPS),Real labour productivity per person,
2007,European Union (28 countries),Purchasing power standard (PPS),Real labour productivity per hour worked,
2007,European Union (28 countries),Purchasing power standard (PPS),Nominal unit labour cost based on persons,
2007,European Union (28 countries),Purchasing power standard (PPS),Nominal unit labour cost based on hours worked,
2007,European Union (28 countries),"Index, 2010=100",Compensation per employee,
2007,European Union (28 countries),"Index, 2010=100",Compensation of employees per hour worked,
2007,European Union (28 countries),"Index, 2010=100",Nominal labour productivity per person,
2007,European Union (28 countries),"Index, 2010=100",Nominal labour productivity per hour worked,
2007,European Union (28 countries),"Index, 2010=100",Real labour productivity per person,100.5
2007,European Union (28 countries),"Index, 2010=100",Real labour productivity per hour worked,98.8
2007,European Union (28 countries),"Index, 2010=100",Nominal unit labour cost based on persons,96.4
2007,European Union (28 countries),"Index, 2010=100",Nominal unit labour cost based on hours worked,96.4
2007,European Union (28 countries),"Percentage of EU28 total (based on million PPS), current prices",Compensation per employee,
2007,European Union (28 countries),"Percentage of EU28 total (based on million PPS), current prices",Compensation of employees per hour worked,
2007,European Union (28 countries),"Percentage of EU28 total (based on million PPS), current prices",Nominal labour productivity per person,100
2007,European Union (28 countries),"Percentage of EU28 total (based on million PPS), current prices",Nominal labour productivity per hour worked,100
2007,European Union (28 countries),"Percentage of EU28 total (based on million PPS), current prices",Real labour productivity per person,
2007,European Union (28 countries),"Percentage of EU28 total (based on million PPS), current prices",Real labour productivity per hour worked,
2007,European Union (28 countries),"Percentage of EU28 total (based on million PPS), current prices",Nominal unit labour cost based on persons,
2007,European Union (28 countries),"Percentage of EU28 total (based on million PPS), current prices",Nominal unit labour cost based on hours worked,
2007,European Union (15 countries),Euro,Compensation per employee,36334.6
2007,European Union (15 countries),Euro,Compensation of employees per hour worked,23.6
2007,European Union (15 countries),Euro,Nominal labour productivity per person,
2007,European Union (15 countries),Euro,Nominal labour productivity per hour worked,
2007,European Union (15 countries),Euro,Real labour productivity per person,
2007,European Union (15 countries),Euro,Real labour productivity per hour worked,
2007,European Union (15 countries),Euro,Nominal unit labour cost based on persons,
2007,European Union (15 countries),Euro,Nominal unit labour cost based on hours worked,
2007,European Union (15 countries),Purchasing power standard (PPS),Compensation per employee,34451.5
2007,European Union (15 countries),Purchasing power standard (PPS),Compensation of employees per hour worked,22.4
2007,European Union (15 countries),Purchasing power standard (PPS),Nominal labour productivity per person,
2007,European Union (15 countries),Purchasing power standard (PPS),Nominal labour productivity per hour worked,
2007,European Union (15 countries),Purchasing power standard (PPS),Real labour productivity per person,
2007,European Union (15 countries),Purchasing power standard (PPS),Real labour productivity per hour worked,
2007,European Union (15 countries),Purchasing power standard (PPS),Nominal unit labour cost based on persons,
2007,European Union (15 countries),Purchasing power standard (PPS),Nominal unit labour cost based on hours worked,
2007,European Union (15 countries),"Index, 2010=100",Compensation per employee,
2007,European Union (15 countries),"Index, 2010=100",Compensation of employees per hour worked,
2007,European Union (15 countries),"Index, 2010=100",Nominal labour productivity per person,
2007,European Union (15 countries),"Index, 2010=100",Nominal labour productivity per hour worked,
2007,European Union (15 countries),"Index, 2010=100",Real labour productivity per person,101
2007,European Union (15 countries),"Index, 2010=100",Real labour productivity per hour worked,99.3
2007,European Union (15 countries),"Index, 2010=100",Nominal unit labour cost based on persons,96.7
2007,European Union (15 countries),"Index, 2010=100",Nominal unit labour cost based on hours worked,96.8
2007,European Union (15 countries),"Percentage of EU28 total (based on million PPS), current prices",Compensation per employee,
2007,European Union (15 countries),"Percentage of EU28 total (based on million PPS), current prices",Compensation of employees per hour worked,
2007,European Union (15 countries),"Percentage of EU28 total (based on million PPS), current prices",Nominal labour productivity per person,110.2
2007,European Union (15 countries),"Percentage of EU28 total (based on million PPS), current prices",Nominal labour productivity per hour worked,114.3
2007,European Union (15 countries),"Percentage of EU28 total (based on million PPS), current prices",Real labour productivity per person,
2007,European Union (15 countries),"Percentage of EU28 total (based on million PPS), current prices",Real labour productivity per hour worked,
2007,European Union (15 countries),"Percentage of EU28 total (based on million PPS), current prices",Nominal unit labour cost based on persons,
2007,European Union (15 countries),"Percentage of EU28 total (based on million PPS), current prices",Nominal unit labour cost based on hours worked,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Euro,Compensation per employee,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Euro,Compensation of employees per hour worked,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Euro,Nominal labour productivity per person,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Euro,Nominal labour productivity per hour worked,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Euro,Real labour productivity per person,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Euro,Real labour productivity per hour worked,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Euro,Nominal unit labour cost based on persons,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Euro,Nominal unit labour cost based on hours worked,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Purchasing power standard (PPS),Compensation per employee,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Purchasing power standard (PPS),Compensation of employees per hour worked,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Purchasing power standard (PPS),Nominal labour productivity per person,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Purchasing power standard (PPS),Nominal labour productivity per hour worked,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Purchasing power standard (PPS),Real labour productivity per person,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Purchasing power standard (PPS),Real labour productivity per hour worked,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Purchasing power standard (PPS),Nominal unit labour cost based on persons,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Purchasing power standard (PPS),Nominal unit labour cost based on hours worked,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Compensation per employee,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Compensation of employees per hour worked,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Nominal labour productivity per person,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Nominal labour productivity per hour worked,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Real labour productivity per person,100.7
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Real labour productivity per hour worked,99
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Nominal unit labour cost based on persons,92.9
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Index, 2010=100",Nominal unit labour cost based on hours worked,93
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of EU28 total (based on million PPS), current prices",Compensation per employee,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of EU28 total (based on million PPS), current prices",Compensation of employees per hour worked,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of EU28 total (based on million PPS), current prices",Nominal labour productivity per person,110.5
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of EU28 total (based on million PPS), current prices",Nominal labour productivity per hour worked,115
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of EU28 total (based on million PPS), current prices",Real labour productivity per person,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of EU28 total (based on million PPS), current prices",Real labour productivity per hour worked,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of EU28 total (based on million PPS), current prices",Nominal unit labour cost based on persons,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of EU28 total (based on million PPS), current prices",Nominal unit labour cost based on hours worked,
2007,Euro area (19 countries),Euro,Compensation per employee,33388.9
2007,Euro area (19 countries),Euro,Compensation of employees per hour worked,21.8
2007,Euro area (19 countries),Euro,Nominal labour productivity per person,
2007,Euro area (19 countries),Euro,Nominal labour productivity per hour worked,
2007,Euro area (19 countries),Euro,Real labour productivity per person,
2007,Euro area (19 countries),Euro,Real labour productivity per hour worked,
2007,Euro area (19 countries),Euro,Nominal unit labour cost based on persons,
2007,Euro area (19 countries),Euro,Nominal unit labour cost based on hours worked,
2007,Euro area (19 countries),Purchasing power standard (PPS),Compensation per employee,33523
2007,Euro area (19 countries),Purchasing power standard (PPS),Compensation of employees per hour worked,21.9
2007,Euro area (19 countries),Purchasing power standard (PPS),Nominal labour productivity per person,
2007,Euro area (19 countries),Purchasing power standard (PPS),Nominal labour productivity per hour worked,
2007,Euro area (19 countries),Purchasing power standard (PPS),Real labour productivity per person,
2007,Euro area (19 countries),Purchasing power standard (PPS),Real labour productivity per hour worked,
2007,Euro area (19 countries),Purchasing power standard (PPS),Nominal unit labour cost based on persons,
2007,Euro area (19 countries),Purchasing power standard (PPS),Nominal unit labour cost based on hours worked,
2007,Euro area (19 countries),"Index, 2010=100",Compensation per employee,
2007,Euro area (19 countries),"Index, 2010=100",Compensation of employees per hour worked,
2007,Euro area (19 countries),"Index, 2010=100",Nominal labour productivity per person,
2007,Euro area (19 countries),"Index, 2010=100",Nominal labour productivity per hour worked,
