year,gdp,export_volume,import_volume
1280,3187.3760411752,30.0555542072,
1281,3389.5141168517,32.3097207728,
1282,3290.1865189732,31.0574060141,
1283,3130.2095033775,31.5583319176,
1284,3239.452091523,38.1956001383,
1285,3282.5166387801,34.0629614349,
1286,3238.3361726454,29.9303227314,
1287,3547.235246486,29.5546283038,
1288,3441.4970854807,33.3115725797,
1289,3177.7627442685,36.9432853797,
1290,3225.1401938693,39.1974519453,
1291,3231.3509503905,34.5694335313,
1292,3403.0531725185,30.4878423307,
1293,3483.2309155269,26.8881620273,
1294,3456.8999001222,23.7134937056,
1295,3701.9813436112,20.9136564692,
1296,3849.8271845143,18.6594899037,
1297,3683.4811616776,26.6743043589,
1298,3874.3170468238,32.8106466762,
1299,3731.019244167,26.549072883,
1300,3705.2472268753,39.5731463728,
1301,3731.1895793132,43.3300906487,
1302,3827.5035472418,21.0388879451,
1303,3986.0829324025,39.3226834211,
1304,3605.6782768246,40.7002296556,
1305,3705.5038101566,58.1074048006,
1306,3598.4014689649,51.8458310075,
1307,3771.924181977,52.0962939592,
1308,3816.1360223645,46.0851831177,
1309,3910.1388098233,50.5935162488,
1310,3857.9761463132,43.7057850763,
1311,3993.569497631,47.2122664005,
1312,3887.6589359206,48.3393496833,
1313,3956.5378172439,46.3356460695,
1314,3957.4190061374,24.1696748416,
1315,3555.6718477194,40.7002296556,
1316,3356.1716697666,26.1733784555,
1317,3510.6626475497,34.9395817659,
1318,3873.3211780509,34.3134243866,
1319,3889.5919148713,27.0499987865,
1320,3761.6726579319,39.447914897,
1321,3180.9003764992,37.4442112832,
1322,3347.0589203821,23.0425915589,
1323,3471.8782154736,37.6946742349,
1324,3162.9905764473,28.8032394486,
1325,3422.8904779018,33.4368040555,
1326,3488.0441940707,23.5435174623,
1327,3449.1546666457,32.3097207728,
1328,3223.249556158,24.4201377934,
1329,3411.3952818554,39.447914897,
1330,3342.7880067946,36.692822428,
1331,3205.4863867185,42.5787017936,
1332,3394.4957915469,46.4608775453,
1333,3517.461217082,35.5657391452,
1334,3422.2298648468,43.3300906487,
1335,3298.9937113799,42.7039332694,
1336,3476.253946647,22.917360083,
1337,3876.2308242565,5.3849534621,
1338,3975.5675877474,24.4201377934,
1339,3264.7516168707,52.3467569109,
1340,3680.0389151848,24.9210636968,
1341,3741.0091447013,23.2930545106,
1342,3939.9128571725,28.5527764969,
1343,3853.6522944549,16.7810177657,
1344,4140.2082977608,18.9809088427,
1345,3879.3844815337,21.4691924843,
