country,total
Norway,63.3574362307
Switzerland,57.7934680431
Belgium,52.1867299869
Sweden,49.8040093092
Denmark,48.4711389063
Australia,47.6772917105
Germany,45.7920699549
Finland,42.6019643514
Austria,41.5302563356
France,39.8099573276
Netherlands,39.6215738271
Ireland,38.1718710908
Canada,36.5946201859
United States,35.6690280056
Japan,35.3371864386
Italy,34.181892886
United Kingdom,31.2338825701
Spain,26.8330713526
New Zealand,24.76770978
Singapore,24.1644098062
"Korea, Republic of",20.7156326293
Israel,20.1396837538
Greece,19.4146073455
Argentina,18.8725100179
Portugal,12.0967687527
Czech Republic,11.949793043
Slovakia,11.2959264488
Brazil,11.2046589956
Estonia,10.4079711512
Taiwan,9.4557728993
Hungary,8.9478415552
Poland,8.2511199022
Mexico,6.3644280252
Philippines,2.1015013351
