year,exports,average_price
1991,73887.0258,50.4457961538
1992,79768.192,49.5857346939
1993,76957.131,43.1488596154
1994,74130.3984,47.9694529412
1995,65962.0646,81.2081686275
1996,74271.9895,89.0745384615
1997,81884.0558,76.9523979592
1998,77961.8372,92.4162081633
1999,82872.4404,80.912855102
2000,92405.0347,65.9555888889
2001,87970.0873,56.4590869565
2002,85759.1038,38.9589454545
2003,90260.2697,37.9271111111
2004,87985.6011,40.2093818182
2005,89841.0714,45.7570634146
2006,88136.7472,64.7678358974
2007,98495.2617,72.4879638889
2008,94173.0921,79.6790641026
2009,95466.1745,91.7931222222
2010,94645.423,86.0312
2011,103285.4194,99.0545709677
2012,108981.8612,131.34306
2013,109966.0157,115.8625666667
2014,115011.8274,95.3831933333
2015,111947.479,108.78348
2016,119637.2026,99.405273913
