year,PSE,CSE,P_to_C,PSEp,CSEp
1986,86702.0593699406,-63913.9206072662,-74119.4788888677,38.6282338988,-34.7865819265
1987,92001.5565218803,-69641.0037146959,-80286.8040115425,41.5874087289,-38.4202535521
1988,85483.8457266421,-62993.0910149068,-71876.0498216602,37.4473181895,-33.8420959937
1989,72615.5121593642,-51216.7561008929,-58177.7241044434,29.3230062754,-25.3726027573
1990,83046.4153396921,-54223.4925914249,-62528.3368257774,32.9219849357,-27.5365404862
1991,98213.517726429,-65473.1762067199,-76752.6053404373,38.3270082162,-31.9619232588
1992,86561.2823116842,-52362.0739135765,-62327.4481232785,34.4707006599,-26.111868445
1993,88757.5580673853,-51353.5279424685,-59836.046584731,36.7408681618,-27.1960849449
1994,89426.4991766582,-49599.1567109755,-56683.047212651,35.6779137455,-24.6800147812
1995,95049.3843739735,-49544.4845559745,-55320.9124182416,34.9824235052,-21.9553216437
1996,96611.6137958214,-47524.717975882,-51979.1243672562,34.0757243357,-21.1025227873
1997,91739.0540151446,-44082.6456143931,-48557.4101020682,32.3727749921,-19.3666185059
1998,97888.0770096531,-51706.8676818817,-58112.0883898445,35.4249916941,-23.2678197574
1999,105657.246345544,-60271.832027557,-66844.5787217097,38.5170822758,-26.423345878
2000,95298.4124255341,-43644.9947058543,-47649.1324051216,33.1914113633,-19.1412375366
2001,91676.9115742494,-37760.9269225064,-41223.192588941,30.6488097998,-15.8455002824
2002,100012.301118293,-48205.4342713708,-50639.9284785517,34.2650786169,-20.049275869
2003,100195.187618112,-45233.5401264071,-49222.9162371984,34.1547738503,-18.9590922167
2004,112167.37555753,-50539.7261447506,-54056.6860347937,33.4194929426,-19.0038242813
2005,102872.78144319,-41394.1480065386,-44792.9220401695,31.2314319021,-15.9089487993
2006,101239.009115242,-36399.0587826931,-37505.5373891504,29.5276719837,-13.1458870551
2007,91612.5789549539,-29693.0943704321,-30609.0952778603,23.5626533162,-9.2772722795
2008,95704.0928748611,-27711.4196493456,-28376.5277781923,23.1769036539,-8.3103062525
2009,87579.736778412,-20152.7576828102,-21125.9819457278,23.6472215078,-6.9052329175
2010,80618.7965454919,-11529.404059674,-13058.3471052745,20.3259296716,-3.6591314095
2011,80003.0509553093,-8799.1007318119,-10297.2565157396,18.5020636068,-2.4768124963
2012,87613.4036821707,-16189.5430217689,-16936.3227360206,19.684151169,-4.3556673851
2013,92805.9963373134,-21461.1405576361,-22496.9481529132,20.3928954339,-5.6212286112
2014,84318.2219416801,-18730.7423337445,-15474.3647446368,18.6004661699,-4.6364938479
2015,84599.7010059608,-15471.0746503232,-16485.9326601697,19.1434552314,-3.997789783
2016,90188.6013329143,-20504.2292010629,-20524.0753532177,20.9929180636,-5.3291877315
