Year,Production,Shipments,Imports,Exports,Stocks,Apparent consumption,Unit value nominal,Unit value constant,World production
1935,49,NA,NA,NA,NA,49,NA,NA,49
1936,22.4,NA,NA,NA,NA,22,NA,NA,22.4
1937,23.1,NA,NA,NA,NA,23,NA,NA,23.1
1938,29.2,NA,NA,NA,NA,29,2830,32700,29.2
1939,30.1,NA,NA,NA,NA,30,2800,32900,30.1
1940,45.3,NA,NA,NA,NA,56,2360,27500,45.3
1941,77.5,106,NA,NA,NA,57,2010,22300,77.5
1942,159,173,NA,NA,NA,173,2140,21400,159
1943,558,559,NA,NA,NA,559,2260,21400,558
1944,608,592,NA,NA,NA,609,2390,22100,608
1945,454,291,NA,NA,99,454,2510,22900,454
1946,279,211,NA,NA,139,278,2640,22000,279
1947,337,251,NA,NA,94,337,2760,20200,337
1948,303,244,NA,NA,NA,303,2760,18700,303
1949,264,247,NA,NA,NA,244,2760,18900,264
1950,390,390,NA,NA,NA,388,2870,19400,390
1951,537,537,NA,NA,NA,523,2760,17400,537
1952,693,693,NA,NA,NA,695,2760,17000,693
1953,772,756,NA,NA,NA,757,2780,16900,772
1954,914,910,NA,NA,418,911,2990,18100,914
1955,1060,1130,NA,NA,341,1130,3670,22400,1060
1956,1170,1280,NA,NA,222,1280,3670,22000,1170
1957,1400,1488,NA,NA,117,1490,3670,21200,1400
1958,1600,1688,NA,NA,83,1690,3670,20700,1600
1959,2290,1800,NA,NA,518,1800,3670,20500,2290
1960,3080,2280,NA,NA,1310,2280,3670,20200,3080
1961,3490,2650,NA,NA,2140,2640,3670,19900,3490
1962,3420,2870,NA,43,2510,3020,7440,40000,3420
1963,10700,3010,NA,0,10100,3170,7440,39600,10800
1964,19300,3200,NA,0,26000,3420,7440,39200,19400
1965,20900,3350,NA,0,43500,3630,7440,38400,21000
1966,22100,3880,NA,0,61000,4540,7440,37400,22100
1967,22500,4350,NA,192,79200,4160,7440,36300,22700
1968,22300,4160,NA,312,97400,3840,7440,34900,22500
1969,22300,3640,NA,431,116000,3210,7440,33100,22500
1970,22100,3100,NA,503,135000,2600,7440,31200,22200
1971,21900,2770,NA,513,154000,2250,7440,30000,22400
1972,19600,3010,NA,537,171000,2470,7440,29000,20200
1973,15400,3100,NA,561,183000,2540,7440,27300,16000
1974,4240,3350,NA,618,184000,2730,7440,24600,4900
1975,5170,3570,NA,690,185000,2880,7440,22500,5870
1976,6690,3880,NA,834,187000,3040,7440,21300,7120
1977,6370,4510,NA,805,189000,3730,7440,20000,7830
1978,6550,4740,NA,911,191000,3890,7440,18600,8400
1979,7280,5270,NA,1170,193000,3920,7440,16700,8890
1980,6540,5630,NA,1430,194000,4140,7440,14700,7560
1981,5110,6020,NA,1860,193000,4150,7440,13300,5580
1982,1110,5970,NA,1810,188000,4160,7440,12600,1830
1983,2760,6530,NA,1760,184000,4770,7970,13000,3480
1984,5630,7850,NA,1880,182000,5970,7970,12500,8570
1985,4780,9030,0,2100,178000,6920,7970,12100,9750
1986,4770,9310,0,2070,173000,7230,7970,11900,10000
1987,9240,10500,0,2370,172000,8130,7970,11400,11600
1988,10700,12100,0,3110,171000,8970,7970,11000,13300
1989,11200,13500,0,3740,165000,9780,7970,10500,14800
1990,17800,14400,0,4180,162000,10200,7970,9950,15600
1991,14600,14900,0,4590,161000,10300,7990,9560,15900
1992,15600,16000,0,5200,161000,10800,11700,13600,16900
1993,16800,16200,0,4740,162000,11400,11700,13200,16900
1994,19000,16900,0,4230,164000,12800,11700,12900,17900
1995,17100,16300,0,4690,164000,11600,11700,12500,18800
1996,17400,16000,0,3860,166000,12200,11700,12200,18800
1997,19600,18100,24,4990,167000,13100,11700,11900,23400
1998,19300,19000,40,4710,163000,14300,11700,11700,22700
1999,19300,19800,0,4540,166000,15200,11700,11400,22900
2000,16600,21500,0,6260,161000,15200,10500,9940,19800
2001,14700,22300,0,7280,153000,15100,10700,9850,17900
2002,14800,21500,0,6690,147000,14800,11000,9970,18500
2003,14700,20700,0,7000,141000,13700,11200,9920,24400
2004,14600,22000,0,7600,133000,14000,11500,9920,26100
2005,12900,22500,0,8700,124000,13800,11500,9600,27100
2006,13400,23200,0,10500,114000,12700,12000,9700,28100
2007,13000,23400,0,10900,103000,12400,12500,9830,28900
2008,13500,22000,0,11800,94900,10200,12900,9770,29600
2009,13200,20000,0,12000,87900,7960,13300,10100,24900
2010,12700,21700,0,13000,79100,8500,13800,10300,28400
2011,12000,22000,0,13900,68300,8090,15900,11500,29100
2012,12400,22500,0,14400,59700,8130,16100,11400,29500
2013,11700,20000,339,13700,51700,6640,17900,12500,28900
2014,12700,17300,1190,11300,42500,7140,20300,14000,27800
2015,11200,14900,2710,11000,38500,6600,22200,15300,26400
