"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDISTOCK","INWARD","PC_GDP","A","2012",38.855235525603,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2013",37.011163624455,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2014",38.612249035108,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2015",43.223115453695,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2012",30.122747708843,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2013",29.77300679991,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2014",30.638425487385,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2015",31.887871144353,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2012",42.139132579389,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2013",43.570697534419,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2014",41.714199082069,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2015",45.418186904645,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2016",39.520937954108,
"AUT","FDISTOCK","OUTWARD","PC_GDP","A","2012",52.959978481709,
"AUT","FDISTOCK","OUTWARD","PC_GDP","A","2013",55.658694331481,
"AUT","FDISTOCK","OUTWARD","PC_GDP","A","2014",50.099078223836,
"AUT","FDISTOCK","OUTWARD","PC_GDP","A","2015",55.620224538467,
"AUT","FDISTOCK","OUTWARD","PC_GDP","A","2016",54.474585295239,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2012",97.658521993,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2013",92.857781591913,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2014",78.177342402494,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2015",93.871279005703,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2016",97.816902839511,
"BEL","FDISTOCK","OUTWARD","PC_GDP","A","2012",84.28464409461,
"BEL","FDISTOCK","OUTWARD","PC_GDP","A","2013",89.508702874707,
"BEL","FDISTOCK","OUTWARD","PC_GDP","A","2014",82.663589891841,
"BEL","FDISTOCK","OUTWARD","PC_GDP","A","2015",95.151949207984,
"BEL","FDISTOCK","OUTWARD","PC_GDP","A","2016",95.031043923475,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2012",52.267097923575,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2013",53.322193549663,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2014",53.44141117871,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2015",48.98668876671,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2016",61.989903837048,
"CAN","FDISTOCK","OUTWARD","PC_GDP","A","2012",53.283328859065,
"CAN","FDISTOCK","OUTWARD","PC_GDP","A","2013",61.389296470729,
"CAN","FDISTOCK","OUTWARD","PC_GDP","A","2014",60.792611252785,
"CAN","FDISTOCK","OUTWARD","PC_GDP","A","2015",69.168572083639,
"CAN","FDISTOCK","OUTWARD","PC_GDP","A","2016",79.850758516754,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2012",65.819383362359,
