Round,HomeTeam,AwayTeam,HGFT,AGFT,Result,HGHT,AGHT,ResultHT,HY,AY,HR,AR,Home,Draw,Away
1,Bayern Munich,Werder Bremen,6,0,H,2,0,H,0,1,0,0,1.15,7,15
1,Augsburg,Wolfsburg,0,2,A,0,1,A,1,2,0,0,2.6,3.2,2.6
1,Dortmund,Mainz,2,1,H,1,0,H,0,3,0,0,1.4,4.4,7.3
1,Ein Frankfurt,Schalke 04,1,0,H,1,0,H,2,2,1,0,3.1,3.3,2.2
1,FC Koln,Darmstadt,2,0,H,1,0,H,3,3,0,0,1.8,3.5,4.2
1,Hamburg,Ingolstadt,1,1,D,1,0,H,2,2,0,0,2.1,3.3,3.3
1,M'gladbach,Leverkusen,2,1,H,1,0,H,3,3,0,0,2.5,3.2,2.75
1,Hertha,Freiburg,2,1,H,0,0,D,0,3,0,0,2.2,3.2,3.2
1,Hoffenheim,RB Leipzig,2,2,D,0,0,D,2,4,0,0,2.6,3.2,2.6
2,Schalke 04,Bayern Munich,0,2,A,0,0,D,2,4,0,0,8.5,5,1.35
2,Darmstadt,Ein Frankfurt,1,0,H,0,0,D,1,2,0,0,2.9,3.2,2.5
2,Freiburg,M'gladbach,3,1,H,0,1,A,2,2,0,0,3.8,3.4,2
2,Ingolstadt,Hertha,0,2,A,0,1,A,3,1,0,0,2.4,3.2,3.05
2,Leverkusen,Hamburg,3,1,H,0,0,D,2,1,0,0,1.55,4,6.2
2,RB Leipzig,Dortmund,1,0,H,0,0,D,2,2,0,0,5.5,4,1.6
2,Wolfsburg,FC Koln,0,0,D,0,0,D,2,3,0,0,1.85,3.6,4.2
2,Mainz,Hoffenheim,4,4,D,4,1,H,1,3,1,0,2.1,3.4,3.5
2,Werder Bremen,Augsburg,1,2,A,1,0,H,2,3,0,0,2.3,3.3,3.15
3,FC Koln,Freiburg,3,0,H,3,0,H,1,1,0,0,1.9,3.5,4.1
3,Bayern Munich,Ingolstadt,3,1,H,1,1,D,1,2,0,0,1.08,11,25
3,Dortmund,Darmstadt,6,0,H,1,0,H,0,4,0,1,1.17,7.5,15
3,Ein Frankfurt,Leverkusen,2,1,H,0,0,D,3,0,0,0,4.1,3.5,1.9
3,Hamburg,RB Leipzig,0,4,A,0,0,D,5,1,0,0,2.6,3.3,2.7
3,Hoffenheim,Wolfsburg,0,0,D,0,0,D,2,1,0,0,2.95,3.3,2.4
3,M'gladbach,Werder Bremen,4,1,H,4,0,H,0,3,0,1,1.5,4.2,6.5
3,Augsburg,Mainz,1,3,A,0,1,A,1,2,0,1,2.2,3.35,3.3
3,Hertha,Schalke 04,2,0,H,0,0,D,1,1,0,0,2.7,3.3,2.6
3,Darmstadt,Hoffenheim,1,1,D,0,0,D,1,1,0,0,3.35,3.4,2.15
3,Freiburg,Hamburg,1,0,H,0,0,D,1,0,0,0,2.4,3.3,2.95
3,Ingolstadt,Ein Frankfurt,0,2,A,0,1,A,0,1,0,0,2.4,3.3,2.95
3,Wolfsburg,Dortmund,1,5,A,0,2,A,2,0,0,0,4.2,3.6,1.85
3,Bayern Munich,Hertha,3,0,H,1,0,H,1,0,0,0,1.15,8,16
3,Leverkusen,Augsburg,0,0,D,0,0,D,0,2,0,0,1.55,4,6.2
3,RB Leipzig,M'gladbach,1,1,D,1,0,H,1,2,0,0,2.5,3.3,2.85
3,Schalke 04,FC Koln,1,3,A,1,1,D,2,1,0,0,2.15,3.35,3.4
3,Werder Bremen,Mainz,1,2,A,1,0,H,2,2,0,0,2.75,3.4,2.5
4,Dortmund,Freiburg,3,1,H,1,0,H,2,3,0,0,1.17,7.5,15
4,Augsburg,Darmstadt,1,0,H,0,0,D,2,1,0,1,1.7,3.7,5
4,Ein Frankfurt,Hertha,3,3,D,2,1,H,4,2,0,0,2.4,3.4,2.9
4,Hamburg,Bayern Munich,0,1,A,0,0,D,2,3,0,0,10,6,1.27
4,Mainz,Leverkusen,2,3,A,2,1,H,3,2,0,0,2.9,3.4,2.4
4,M'gladbach,Ingolstadt,2,0,H,1,0,H,2,3,0,0,1.7,3.7,5
4,Werder Bremen,Wolfsburg,2,1,H,0,0,D,1,3,0,0,3.7,3.5,2
4,FC Koln,RB Leipzig,1,1,D,1,1,D,1,2,0,0,2.5,3.3,2.85
4,Hoffenheim,Schalke 04,2,1,H,2,1,H,1,1,0,0,2.65,3.3,2.65
5,RB Leipzig,Augsburg,2,1,H,1,1,D,0,3,0,0,1.8,3.6,4.5
5,Bayern Munich,FC Koln,1,1,D,1,0,H,1,2,0,0,1.18,7.5,13
5,Darmstadt,Werder Bremen,2,2,D,1,0,H,2,1,0,0,2.7,3.3,2.6
5,Freiburg,Ein Frankfurt,1,0,H,1,0,H,4,3,0,0,2.3,3.3,3.15
5,Hertha,Hamburg,2,0,H,1,0,H,2,6,0,0,2,3.4,3.8
5,Ingolstadt,Hoffenheim,1,2,A,0,2,A,1,2,0,0,2.25,3.35,3.2
5,Leverkusen,Dortmund,2,0,H,1,0,H,5,1,0,0,3.5,3.4,2.1
5,Schalke 04,M'gladbach,4,0,H,0,0,D,0,0,0,0,2.6,3.3,2.7
5,Wolfsburg,Mainz,0,0,D,0,0,D,0,0,0,0,1.9,3.5,4.1
6,Dortmund,Hertha,1,1,D,0,0,D,1,5,1,1,1.4,4.8,7.5
6,Augsburg,Schalke 04,1,1,D,0,0,D,2,3,0,0,2.95,3.3,2.4
6,Ein Frankfurt,Bayern Munich,2,2,D,1,1,D,2,4,1,0,10,5.8,1.28
6,FC Koln,Ingolstadt,2,1,H,2,0,H,3,3,0,0,1.75,3.6,4.8
6,Hoffenheim,Freiburg,2,1,H,1,0,H,2,3,0,0,2.1,3.4,3.5
6,M'gladbach,Hamburg,0,0,D,0,0,D,2,4,0,1,1.7,3.7,5
6,Werder Bremen,Leverkusen,2,1,H,1,1,D,2,2,0,0,4.5,3.8,1.75
6,Mainz,Darmstadt,2,1,H,1,0,H,3,1,0,0,1.55,4,6.2
6,Wolfsburg,RB Leipzig,0,1,A,0,0,D,2,1,0,0,2.3,3.3,3.15
7,Hamburg,Ein Frankfurt,0,3,A,0,1,A,0,4,1,0,2.4,3.2,3.05
7,Bayern Munich,M'gladbach,2,0,H,2,0,H,0,1,0,0,1.25,6,11
7,Darmstadt,Wolfsburg,3,1,H,1,0,H,0,2,0,1,4.3,3.5,1.85
7,Freiburg,Augsburg,2,1,H,0,0,D,1,0,0,0,2.25,3.35,3.2
7,Hertha,FC Koln,2,1,H,1,0,H,2,1,0,0,2.6,3.2,2.8
7,Ingolstadt,Dortmund,3,3,D,2,0,H,0,1,0,0,6.5,4.2,1.5
7,Leverkusen,Hoffenheim,0,3,A,0,1,A,0,1,1,0,1.55,4,6.2
7,RB Leipzig,Werder Bremen,3,1,H,1,0,H,4,3,0,0,1.6,4,5.5
7,Schalke 04,Mainz,3,0,H,1,0,H,2,3,0,0,2,3.4,3.8
8,M'gladbach,Ein Frankfurt,0,0,D,0,0,D,1,2,0,0,1.85,3.5,4.3
8,Augsburg,Bayern Munich,1,3,A,0,2,A,2,0,0,0,9,5.7,1.3
8,Darmstadt,RB Leipzig,0,2,A,0,0,D,4,2,0,0,4.8,3.6,1.75
8,Dortmund,Schalke 04,0,0,D,0,0,D,4,4,0,0,1.6,4,5.5
8,Mainz,Ingolstadt,2,0,H,0,0,D,1,0,0,1,2,3.4,3.8
8,Werder Bremen,Freiburg,1,3,A,0,2,A,1,3,0,0,2.25,3.35,3.2
8,Wolfsburg,Leverkusen,1,2,A,1,0,H,1,3,0,0,2.7,3.3,2.6
8,FC Koln,Hamburg,3,0,H,0,0,D,3,1,0,1,1.7,3.7,5
8,Hoffenheim,Hertha,1,0,H,1,0,H,0,4,0,0,2.2,3.3,3.35
9,Hertha,M'gladbach,3,0,H,2,0,H,2,2,0,1,2.6,3.3,2.7
9,Bayern Munich,Hoffenheim,1,1,D,1,1,D,0,2,0,0,1.22,6.2,13.5
9,Ein Frankfurt,FC Koln,1,0,H,1,0,H,3,3,0,0,2.6,3.3,2.7
9,Freiburg,Wolfsburg,0,3,A,0,1,A,3,2,1,0,2.65,3.3,2.65
9,Hamburg,Dortmund,2,5,A,0,3,A,2,0,0,0,6.5,4.2,1.5
9,Ingolstadt,Augsburg,0,2,A,0,0,D,2,1,1,0,2.3,3.3,3.15
9,Leverkusen,Darmstadt,3,2,H,1,0,H,0,1,0,0,1.3,5.5,9.5
9,RB Leipzig,Mainz,3,1,H,3,0,H,0,3,0,0,1.65,3.8,5.3
9,Schalke 04,Werder Bremen,3,1,H,2,1,H,2,3,0,0,1.55,4,6.2
10,Leverkusen,RB Leipzig,2,3,A,2,1,H,1,3,0,0,2.4,3.3,2.95
